C.km content.tsv
Level	Esperanto	km	en-us	Grupo	Alternativoj	Pronoco
level	doni	ដើម្បីផ្តល់ឱ្យ	to give	grupo	alternativoj	prononco
level	mi	ខ្ញុំ ខ្ញុំ	I, me	grupo	alternativoj	prononco
level	vi	អ្នក	you	grupo	alternativoj	prononco
level	havi	មាន, ពាក់, កាន់, ជាម្ចាស់	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	នាង	she	grupo	alternativoj	prononco
level	li	គាត់	he	grupo	alternativoj	prononco
level	ili	ពួកគេ	they	grupo	alternativoj	prononco
level	ĝi	វា។	it	grupo	alternativoj	prononco
level	oni	មួយ, នរណាម្នាក់, នរណាម្នាក់	one, someone, somebody	grupo	alternativoj	prononco
level	ni	យើង, យើង	we, us	grupo	alternativoj	prononco
level	si	ខ្លួនឯង	oneself	grupo	alternativoj	prononco
level	mem	ដោយខ្លួនឯង	by oneself	grupo	alternativoj	prononco
level	ĝis ~	upto ~, រហូតដល់ ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	នៃ ~	of ~	grupo	alternativoj	prononco
level	da ~	(ច្រើន) នៃ ~ , (ច្រើន) នៃ ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(បច្ច័យ) វត្ថុ, ការបង្ហាញជាក់ស្តែង	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	ជិត, ជិត, ឆាប់, នៅជិត	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(បច្ច័យ) សកម្មភាពដដែលៗ, សកម្មភាពយូរអង្វែង	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(បច្ច័យ) បច្ចុប្បន្នកាល	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(បច្ច័យ) អតីតកាល	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	ក្លាយជា	to be	grupo	alternativoj	prononco
level	-os	(បច្ច័យ) អនាគតកាល	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) មុន ~, មុខ ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	ដើម្បីធ្វើ, ដើម្បីធ្វើ	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) ផងដែរ	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	បន្ទាប់ពី ~	after ~	grupo	alternativoj	prononco
level	mal-	(បុព្វបទ) ទល់មុខ	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(បច្ច័យ) បុគ្គល​មាន​លក្ខណៈ​ខ្លះ	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(បច្ច័យ) ស្រី	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(បច្ច័យ) បច្ចុប្បន្នសកម្ម, គឺ ~ing, នរណាម្នាក់ដែលកំពុង ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(បច្ច័យ) សកម្មអតីតកាល, គឺ ~ ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(បច្ច័យ) អនាគតសកម្ម, will be ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	និង	and	grupo	alternativoj	prononco
level	aŭ	ឬ	or	grupo	alternativoj	prononco
level	alta	ខ្ពស់, ខ្ពស់។	high, tall	grupo	alternativoj	prononco
level	jes	បាទ	yes	grupo	alternativoj	prononco
level	ne	មិនមែនទេ។	not, no	grupo	alternativoj	prononco
level	tiom	ច្រើន, ច្រើន, ចំនួនទឹកប្រាក់នោះ។	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	ល្អ	good	grupo	alternativoj	prononco
level	kiom	ប៉ុន្មាន	how much, how many	grupo	alternativoj	prononco
level	ofte	ជាញឹកញាប់, ញឹកញាប់	often, frequently	grupo	alternativoj	prononco
level	iom	បន្តិច, ជា, ខ្លះ, បន្តិច	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	ថ្មី, ប្រលោមលោក	new, novel	grupo	alternativoj	prononco
level	-at-	(បច្ច័យ) ការចូលរួមបច្ចុប្បន្នអកម្ម	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(បច្ច័យ) passive past participle	(suffix)  passive past participle	grupo	alternativoj	prononco
