B.pl content.tsv
Level	Esperanto	pl	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Witam!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Jestem ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	kim jesteś?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	nazywam się ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	cieszę się	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Ja też się cieszę	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	często przychodzi	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	do tego tanecznego miejsca	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	często przychodzisz do tego tanecznego miejsca?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	Nie, czy ty?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ja też	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ to ciekawe imię	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	czy to jest to?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	prawda?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	w jaki sposób?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	jest powiązany z ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	jest to spokrewnione z esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	Co?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Nie słyszałem dobrze	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ jest za głośno	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	Muzyka jest zbyt głośna	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Powiedziałem to ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Powiedziałem, że twoje imię jest spokrewnione z esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	Naprawdę?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	dla mnie wiadomość	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	to dla mnie wiadomość	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	słyszałeś o ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	słyszałeś o esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Tego nie wiedziałem ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	ale nie wiedziałem, że moje imię jest z tym powiązane	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	W rzeczywistości	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	jak się ma ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	jak wygląda relacja?	how is the relation?	grupo	alternativoj	prononco
level	ho!	Oh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	to długa historia	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	powiem Ci	will tell you	grupo	alternativoj	prononco
level	se vi volas	Jeśli chcesz	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Jeśli chcesz, powiem ci później	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	w tym miejscu (w tym miejscu)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	za dużo hałasu	too much noise	grupo	alternativoj	prononco
