C.cs content.tsv
Level	Esperanto	cs	en-us	Grupo	Alternativoj	Pronoco
level	doni	dát	to give	grupo	alternativoj	prononco
level	mi	Já, já	I, me	grupo	alternativoj	prononco
level	vi	vy	you	grupo	alternativoj	prononco
level	havi	mít, nosit, nosit, vlastnit	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ona	she	grupo	alternativoj	prononco
level	li	on	he	grupo	alternativoj	prononco
level	ili	ony	they	grupo	alternativoj	prononco
level	ĝi	to	it	grupo	alternativoj	prononco
level	oni	jeden, někdo, někdo	one, someone, somebody	grupo	alternativoj	prononco
level	ni	my nás	we, us	grupo	alternativoj	prononco
level	si	se	oneself	grupo	alternativoj	prononco
level	mem	sám	by oneself	grupo	alternativoj	prononco
level	ĝis ~	až ~, až ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	z ~	of ~	grupo	alternativoj	prononco
level	da ~	(hodně) z ~, (mnoho) z ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(přípona) věc, konkrétní projev	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	blízko, blízko, brzy, poblíž	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(přípona) opakující se působení, trvající působení	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(přípona) přítomný čas	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(přípona) minulý čas	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	být	to be	grupo	alternativoj	prononco
level	-os	(přípona) budoucí čas	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(předložka) před ~, před ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	dělat, dělat	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(předložka) také	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	po ~	after ~	grupo	alternativoj	prononco
level	mal-	(předpona) opak	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(přípona) člověk nějaké vlastnosti	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(přípona) ženský	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(přípona) činný přítomný, je ~ing, někdo, kdo je ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(přípona) aktivní minulost, byl ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(přípona) aktivní budoucnost, bude ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	a	and	grupo	alternativoj	prononco
level	aŭ	nebo	or	grupo	alternativoj	prononco
level	alta	vysoký, vysoký	high, tall	grupo	alternativoj	prononco
level	jes	Ano	yes	grupo	alternativoj	prononco
level	ne	ne, ne	not, no	grupo	alternativoj	prononco
level	tiom	tolik, takové množství, takové množství	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	dobrý	good	grupo	alternativoj	prononco
level	kiom	kolik kolik	how much, how many	grupo	alternativoj	prononco
level	ofte	často, často	often, frequently	grupo	alternativoj	prononco
level	iom	trochu, spíše, trochu, trochu	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	nový, román	new, novel	grupo	alternativoj	prononco
level	-at-	(přípona) trpné příčestí přítomné	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(přípona) trpné příčestí minulé	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(přípona) pasivní budoucí příčestí	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	velmi, docela, velmi	very, quite, very much	grupo	alternativoj	prononco
level	tro	příliš, příliš, příliš	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	nicméně, ale přesto	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
