A.my content.tsv
Level	Esperanto	my	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	ငါမင်း	I, you	grupo	alternativoj	prononco
level	estas, estis	(ပစ္စုပ္ပန်) ဟူသည်, am, are (အတိတ်) was, were	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	ငါ ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	မင်းက ~	you are ~	grupo	alternativoj	prononco
level	saluton	မင်္ဂလာပါ	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	မင်္ဂလာပါ ငါ ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	ငါ့ရဲ့	my, your	grupo	alternativoj	prononco
level	nomo	နာမည်တစ်ခု	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	ငါ့နာမည် မင်းနာမည်	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	ငါ့နာမည်က ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	မင်းနာမည်က ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(ပစ္စုပ္ပန်) ဖြစ်၏၊ (အတိတ်) ပြု၏။	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(ပစ္စုပ္ပန်) ဖြစ်ခဲ့သည် (နောင်) ဖြစ်လိမ့်မည်။	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	အမည်၊ (ရည်ရွယ်ချက်) အမည်	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	ကိုယ့်အချစ်	my love	grupo	alternativoj	prononco
level	vi fartas	မင်းလုပ်နေတယ်~	you are doing ~	grupo	alternativoj	prononco
level	kiel	ဘယ်လိုလဲ	how	grupo	alternativoj	prononco
level	kiel vi fartas?	နေကောင်းလား?	how are you doing?	grupo	alternativoj	prononco
level	kio	ဘာလဲ	what	grupo	alternativoj	prononco
level	kio estas via nomo?	သင့်နာမည်ဘယ်လိုခေါ်လဲ?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	ကောင်းပြီ၊	good, well	grupo	alternativoj	prononco
level	fartas bone	ကောင်းကောင်းလုပ်နေတယ်။	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	ငါကောင်းကောင်းလုပ်နေတယ်။	I am doing well	grupo	alternativoj	prononco
level	kaj	နှင့်	and	grupo	alternativoj	prononco
level	bone, kaj vi?	ကောင်းပါတယ်သင်ရော?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ တိုင်အောင်	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(ပစ္စုပ္ပန်) မြင်တယ်၊ (အတိတ်) မြင်တယ်။	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(အတိတ်) မြင်တယ်၊ (အတိတ်) ပြန်မြင်တယ်။	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	ထပ်တွေ့တယ်၊ ထပ်တွေ့မယ်။	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	ပြန်မြင်ခြင်း၊ ထပ်တွေ့ခြင်း (ရည်ရွယ်ချက်)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	ပြန်တွေ့မယ်!	see you again!	grupo	alternativoj	prononco
level	dankon	ကျေးဇူးတင်ပါသည်	thank you	grupo	alternativoj	prononco
