C.ru content.tsv
Level	Esperanto	ru	en-us	Grupo	Alternativoj	Pronoco
level	doni	давать	to give	grupo	alternativoj	prononco
level	mi	я, я	I, me	grupo	alternativoj	prononco
level	vi	ты	you	grupo	alternativoj	prononco
level	havi	иметь, носить, носить с собой, владеть	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	она	she	grupo	alternativoj	prononco
level	li	он	he	grupo	alternativoj	prononco
level	ili	они	they	grupo	alternativoj	prononco
level	ĝi	это	it	grupo	alternativoj	prononco
level	oni	один, кто-то, кто-то	one, someone, somebody	grupo	alternativoj	prononco
level	ni	мы нас	we, us	grupo	alternativoj	prononco
level	si	себя	oneself	grupo	alternativoj	prononco
level	mem	по себе	by oneself	grupo	alternativoj	prononco
level	ĝis ~	до ~, пока ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	из ~	of ~	grupo	alternativoj	prononco
level	da ~	(большая часть) из ~, (много) из ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(суффикс) вещь, конкретное проявление	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	рядом, близко, скоро, неподалеку	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(суффикс) повторяющееся действие, длительное действие	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(суффикс) настоящего времени	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(суффикс) прошедшее время	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	быть	to be	grupo	alternativoj	prononco
level	-os	(суффикс) будущее время	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(предлог) перед ~, перед ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	сделать, сделать	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(предлог) тоже, тоже	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	после ~	after ~	grupo	alternativoj	prononco
level	mal-	(префикс) напротив	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(суффикс) человек какой-то черты	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(суффикс) женщина	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(суффикс) активное настоящее время, ~ing, тот, кто ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(суффикс) активное прошлое, было ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(суффикс) активное будущее, будет ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	и	and	grupo	alternativoj	prononco
level	aŭ	или	or	grupo	alternativoj	prononco
level	alta	высокий, высокий	high, tall	grupo	alternativoj	prononco
level	jes	да	yes	grupo	alternativoj	prononco
level	ne	не нет	not, no	grupo	alternativoj	prononco
level	tiom	столько, такая сумма, такая сумма	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	хороший	good	grupo	alternativoj	prononco
level	kiom	сколько, сколько	how much, how many	grupo	alternativoj	prononco
level	ofte	часто, часто	often, frequently	grupo	alternativoj	prononco
level	iom	немного, скорее, немного, несколько	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	новый, роман	new, novel	grupo	alternativoj	prononco
level	-at-	(суффикс) пассивное причастие настоящего времени	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(суффикс) пассивное причастие прошедшего времени	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(суффикс) пассивное причастие будущего времени	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	очень, вполне, очень	very, quite, very much	grupo	alternativoj	prononco
level	tro	слишком, чрезмерно, слишком много	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	однако, тем не менее, но, тем не менее	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Ой! Хо!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	это ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	потому что ~	because ~	grupo	alternativoj	prononco
level	ĉu	ли ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(суффикс) место	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(суффикс) абстрактное название качества	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	оба ~	both ~	grupo	alternativoj	prononco
level	tuj	немедленно, тотчас, тотчас же	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	как будто ~	as if ~	grupo	alternativoj	prononco
level	kiam	когда	when	grupo	alternativoj	prononco
level	silenti	молчать, молчать	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	никогда, никогда, никогда	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	следовательно, так	therefore, so	grupo	alternativoj	prononco
level	kial	Почему? Для чего	why, what for	grupo	alternativoj	prononco
level	kvankam	хотя ~, пока, хотя	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(предлог) у ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	более	more	grupo	alternativoj	prononco
level	plej	большинство	most	grupo	alternativoj	prononco
level	diri	сказать, рассказать	to say, to tell	grupo	alternativoj	prononco
level	ol ~	чем ~	than ~	grupo	alternativoj	prononco
level	paroli	говорить, говорить	to speak, to talk	grupo	alternativoj	prononco
level	kia	какой, какого рода	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	такой, такой, такой	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	едва, едва, едва	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	отправлять	to send	grupo	alternativoj	prononco
level	ĵus	только что (минуту назад), только что	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(суффикс) повелительное наклонение	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	снаружи ~	outside ~	grupo	alternativoj	prononco
level	ge-	(приставка) оба пола, оба пола	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(суффикс) будет, должен, сослагательное наклонение	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
