C.zh-cn content.tsv
Level	Esperanto	zh-cn	en-us	Grupo	Alternativoj	Pronoco
level	doni	给予	to give	grupo	alternativoj	prononco
level	mi	我	I, me	grupo	alternativoj	prononco
level	vi	你	you	grupo	alternativoj	prononco
level	havi	拥有、佩戴、携带、拥有	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	她	she	grupo	alternativoj	prononco
level	li	他	he	grupo	alternativoj	prononco
level	ili	他们	they	grupo	alternativoj	prononco
level	ĝi	它	it	grupo	alternativoj	prononco
level	oni	一个、某人、某人	one, someone, somebody	grupo	alternativoj	prononco
level	ni	我们我们	we, us	grupo	alternativoj	prononco
level	si	自己	oneself	grupo	alternativoj	prononco
level	mem	独自	by oneself	grupo	alternativoj	prononco
level	ĝis ~	直到〜，直到〜	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	的~	of ~	grupo	alternativoj	prononco
level	da ~	（很多）~，（很多）~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	<词尾>事物的具体表现	<suffix> thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	近、接近、不久、附近	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	<词尾>重复动作、持续动作	<suffix> repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	<词尾>现在时	<suffix> present tense	grupo	alternativoj	prononco
level	-is	<词尾>过去式	<suffix> past tense	grupo	alternativoj	prononco
level	esti	成为	to be	grupo	alternativoj	prononco
level	-os	<词尾>将来时	<suffix> future tense	grupo	alternativoj	prononco
level	antaŭ ~	<前置词>在～之前，在～之前	<preposition> before ~, in front of ~	grupo	alternativoj	prononco
level	fari	使，做	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	<前置词>也是	<preposition> also, too	grupo	alternativoj	prononco
level	post ~	之后~	after ~	grupo	alternativoj	prononco
level	mal-	<字首>对面的	<prefix> opposite	grupo	alternativoj	prononco
level	-ul-	<词尾>具有某种特质的人	<suffix> a person of some trait	grupo	alternativoj	prononco
level	-in-	<词尾>女性	<suffix> female	grupo	alternativoj	prononco
