A.hu content.tsv
Level	Esperanto	hu	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Én te	I, you	grupo	alternativoj	prononco
level	estas, estis	(jelen) van, vagyok, van (múlt) volt, volt	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	~ vagyok	I am ~	grupo	alternativoj	prononco
level	vi estas ~	te vagy ~	you are ~	grupo	alternativoj	prononco
level	saluton	Helló	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	hello, ~ vagyok	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	az enyém, a tiéd	my, your	grupo	alternativoj	prononco
level	nomo	egy név	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	az én nevem, a te neved	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	a nevem ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	a neved ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(jelen) tesz, (múlt) tette	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(jelen) volt, volt (jövő) lesz	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	egy név, egy (objektív) név	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	szerelmem	my love	grupo	alternativoj	prononco
level	vi fartas	csinálsz ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	hogyan	how	grupo	alternativoj	prononco
level	kiel vi fartas?	hogy vagy?	how are you doing?	grupo	alternativoj	prononco
level	kio	mit	what	grupo	alternativoj	prononco
level	kio estas via nomo?	mi a neved?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	jó, jó	good, well	grupo	alternativoj	prononco
level	fartas bone	jól megy	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	jól vagyok	I am doing well	grupo	alternativoj	prononco
level	kaj	és	and	grupo	alternativoj	prononco
level	bone, kaj vi?	jól. És te?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ig	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(jelen) lát, (múlt) látott	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(múlt) látott, (múlt) újra látott	(past) saw, (past) saw again	grupo	alternativoj	prononco
