B.th content.tsv
Level	Esperanto	th	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	สวัสดี!	hello!	grupo	alternativoj	prononco
level	mi estas ~	ฉัน~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	คุณคือใคร?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	ฉันชื่อ ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	ฉันดีใจ	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	ฉันก็ดีใจเหมือนกัน	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	มักจะมา	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	ไปยังสถานที่เต้นรำแห่งนี้	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	คุณมาที่สถานที่เต้นรำแห่งนี้บ่อยไหม?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	ไม่ คุณล่ะ?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ฉันก็เหมือนกัน	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ เป็นชื่อที่น่าสนใจ	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	ใช่ไหม?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	ไม่ใช่เหรอ?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	อย่างไหนล่ะ, แบบไหนล่ะ?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	มีความเกี่ยวข้องกับ ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	มันเกี่ยวข้องกับภาษาเอสเปรันโต	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	อะไร?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	ฉันได้ยินไม่ดี	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ เสียงดังเกินไป	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	เพลงดังเกินไป	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	ฉันบอกว่า~.	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	ฉันบอกว่าชื่อของคุณเกี่ยวข้องกับภาษาเอสเปรันโต	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	จริงหรือ	really?	grupo	alternativoj	prononco
level	novaĵo por mi	ข่าวสำหรับฉัน	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	นั่นเป็นข่าวสำหรับฉัน	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	คุณเคยได้ยินเกี่ยวกับ ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	คุณเคยได้ยินเกี่ยวกับภาษาเอสเปรันโตหรือไม่?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	ฉันก็ไม่รู้เหมือนกัน~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	แต่ฉันไม่รู้ว่าชื่อของฉันเกี่ยวข้องกับมัน	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	ในความเป็นจริง	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	เป็นยังไงบ้าง ~ ?	how is ~ ?	grupo	alternativoj	prononco
