A.it content.tsv
Level	Esperanto	it	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Io tu	I, you	grupo	alternativoj	prononco
level	estas, estis	(presente) è, sono, sono (passato) era, erano	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Sono ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	tu sei ~	you are ~	grupo	alternativoj	prononco
level	saluton	Ciao	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	ciao, sono ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	mio tuo	my, your	grupo	alternativoj	prononco
level	nomo	un nome	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	il mio nome, il tuo nome	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	il mio nome è ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	il tuo nome è ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(presente) fa, (passato) ha fatto	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(presente) era, erano (futuro) sarà	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	un nome, un nome (oggettivo).	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	Amore mio	my love	grupo	alternativoj	prononco
level	vi fartas	stai facendo ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	Come	how	grupo	alternativoj	prononco
level	kiel vi fartas?	Come va?	how are you doing?	grupo	alternativoj	prononco
level	kio	Che cosa	what	grupo	alternativoj	prononco
level	kio estas via nomo?	come ti chiami?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	bene, bene	good, well	grupo	alternativoj	prononco
level	fartas bone	sta andando bene	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	sto bene	I am doing well	grupo	alternativoj	prononco
level	kaj	E	and	grupo	alternativoj	prononco
level	bone, kaj vi?	bene e tu?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	fino a ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(presente) vede, (passato) visto	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(passato) visto, (passato) visto di nuovo	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	visto di nuovo, rivedrò	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	rivedere, rivedere (obiettivo)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	ci vediamo!	see you again!	grupo	alternativoj	prononco
level	dankon	Grazie	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	grazie e ci vediamo ancora!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	a ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	a te, a me	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(presente) grazie, (passato) ringraziato	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Ti apprezzo	I appreciate to you	grupo	alternativoj	prononco
