A.bn content.tsv
Level	Esperanto	bn	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	আমি তুমি	I, you	grupo	alternativoj	prononco
level	estas, estis	(বর্তমান) is, am, are (অতীত) was, were	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	আমি ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	তুমি ~	you are ~	grupo	alternativoj	prononco
level	saluton	হ্যালো	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	হ্যালো, আমি ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	আমার তোমার	my, your	grupo	alternativoj	prononco
level	nomo	একটি নাম	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	আমার নাম, তোমার নাম	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	আমার নাম ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	তোমার নাম ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(বর্তমান) করে, (অতীত) করেছে	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(বর্তমান) ছিল, ছিল (ভবিষ্যত) হবে	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	একটি নাম, একটি (উদ্দেশ্য) নাম	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	আমার ভালবাসা	my love	grupo	alternativoj	prononco
level	vi fartas	আপনি করছেন ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	কিভাবে	how	grupo	alternativoj	prononco
level	kiel vi fartas?	তুমি কেমন আছ?	how are you doing?	grupo	alternativoj	prononco
level	kio	কি	what	grupo	alternativoj	prononco
level	kio estas via nomo?	আপনার নাম কি?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	বেশ ভালো	good, well	grupo	alternativoj	prononco
level	fartas bone	ভাল করছে	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	আমি ভালো করছি	I am doing well	grupo	alternativoj	prononco
level	kaj	এবং	and	grupo	alternativoj	prononco
level	bone, kaj vi?	ভাল এবং আপনি?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ পর্যন্ত	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(বর্তমান) দেখে, (অতীত) দেখেছে	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(অতীত) দেখেছি, (অতীত) আবার দেখেছি	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	আবার দেখেছি, আবার দেখা হবে	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	আবার দেখা, আবার দেখা (উদ্দেশ্য)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	আবার দেখা হবে!	see you again!	grupo	alternativoj	prononco
