A.km content.tsv
Level	Esperanto	km	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	ខ្ញុំ​អ្នក	I, you	grupo	alternativoj	prononco
level	estas, estis	(បច្ចុប្បន្ន) គឺ, គឺ, គឺ (អតីតកាល) គឺ, គឺ	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	ខ្ញុំ ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	អ្នកគឺ ~	you are ~	grupo	alternativoj	prononco
level	saluton	សួស្តី	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	ជំរាបសួរ, ខ្ញុំ ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	របស់ខ្ញុំ របស់អ្នក។	my, your	grupo	alternativoj	prononco
level	nomo	ឈ្មោះមួយ។	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	ឈ្មោះរបស់ខ្ញុំ ឈ្មោះរបស់អ្នក។	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	ខ្ញុំឈ្មោះ ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	ឈ្មោះរបស់អ្នកគឺ ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(បច្ចុប្បន្ន) ធ្វើ, (អតីតកាល) បានធ្វើ	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(បច្ចុប្បន្ន) គឺ, ត្រូវបាន (អនាគត) នឹង	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ឈ្មោះមួយ (គោលបំណង) ឈ្មោះ	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	សំណព្វ	my love	grupo	alternativoj	prononco
level	vi fartas	អ្នកកំពុងធ្វើ ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	របៀប	how	grupo	alternativoj	prononco
level	kiel vi fartas?	តើ​អ្នក​សុខសប្បាយជាទេ?	how are you doing?	grupo	alternativoj	prononco
level	kio	អ្វី	what	grupo	alternativoj	prononco
level	kio estas via nomo?	តើ​អ្នក​មាន​ឈ្មោះ​អ្វី?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	ល្អណាស់	good, well	grupo	alternativoj	prononco
level	fartas bone	កំពុងធ្វើបានល្អ	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	ខ្ញុំ​សុខសប្បាយជាទេ	I am doing well	grupo	alternativoj	prononco
level	kaj	និង	and	grupo	alternativoj	prononco
level	bone, kaj vi?	សុខសប្បាយ​ចុះ​អ្នក​វិញ?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	រហូតដល់ ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(បច្ចុប្បន្ន) ឃើញ, (អតីតកាល) ឃើញ	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(អតីតកាល) បានឃើញ (អតីតកាល) បានឃើញម្តងទៀត	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	ឃើញម្តងទៀតនឹងឃើញម្តងទៀត	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	ការមើលឃើញម្តងទៀត ការមើលឃើញម្តងទៀត (គោលបំណង)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	ជួបគ្នាម្តងទៀត!	see you again!	grupo	alternativoj	prononco
level	dankon	សូមអរគុណ	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	អរគុណហើយជួបគ្នាម្តងទៀត!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	ទៅ ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	ចំពោះអ្នក ចំពោះខ្ញុំ	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(បច្ចុប្បន្ន) អរគុណ (អតីតកាល) អរគុណ	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	ខ្ញុំសូមកោតសរសើរចំពោះអ្នក។	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	បាទ​អត់​ទេ	yes, no	grupo	alternativoj	prononco
level	jes, dankon	បាទ អរគុណ	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	បរិភោគ, នឹងបរិភោគ	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	ខ្ញុំមិនញ៉ាំទេ។	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	ទេ ខ្ញុំមិនញ៉ាំទេ។	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	ស្រស់ស្អាត, ស្រស់ស្អាត	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	មានតម្លៃ (បញ្ចប់)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	គួរ​ឱ្យ​សរសើរ​គួរ​ឱ្យ​សរសើរ​	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	ទាំងមូល, ទាំងមូល	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	ទាំងអស់, (គោលបំណង) ទាំងអស់។	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	មិនអីទេ អ្នកស្វាគមន៍	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	ទាំងស្រុងទេ។	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	ការអភ័យទោស ការអភ័យទោស	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	ការអភ័យទោសដល់ខ្ញុំ	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	ខ្ញុំ​សុំទោស! (អត់ទោសឱ្យខ្ញុំ)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	ខ្ញុំសុំទោស	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	អរុណសួស្តី	a good morning	grupo	alternativoj	prononco
level	bonan matenon	អរុណ​សួស្តី	good morning	grupo	alternativoj	prononco
level	bonan nokton	រាត្រី​សួស្តី	good night	grupo	alternativoj	prononco
level	bonan sonĝon	សុ​បិ​ន្ត​ល្អ	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(មាន) ដំណើរដ៏ល្អសម្រាប់អ្នក	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	ថ្ងៃ​ល្អ!	good day!	grupo	alternativoj	prononco
level	ĉu ~	តើ​វា ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	តើអ្នកសុខសប្បាយទេ? (អ្នក​សុខសប្បាយ​ទេ?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	បាទ​ខ្ញុំ​សុខសប្បាយ​ទេ	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	ទេ មិនមែនទាល់តែសោះ	no, not at all	grupo	alternativoj	prononco
level	tre, tro	ខ្លាំងពេក	very, too much	grupo	alternativoj	prononco
level	granda, grande	ធំ, ធំ	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	ល្អណាស់ធំពេក	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	អ្នកកំពុងធ្វើបានល្អណាស់។	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	មិនល្អ​សោះ	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	ដើម្បីរៀន, រៀន	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	កំពុងរកមើល, អ្នកទស្សនា	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	កំពុងរៀន សិស្ស (អ្នករៀន)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	គឺ -ing, មនុស្សម្នាក់ដែលកំពុងធ្វើ	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	សិស្ស, មនុស្សម្នាក់ដែលបានរៀន	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	ខ្ញុំ​ជា​សិស្ស​ម្នាក់។	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ ជាមិត្តរបស់ខ្ញុំ	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	គាត់​នាង	he, she	grupo	alternativoj	prononco
level	sidi, sidas	អង្គុយ, អង្គុយ	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	កំពុងអង្គុយ, អង្គុយ, នឹងអង្គុយ	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	គាត់កំពុងអង្គុយហើយនាងកំពុងរៀន	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	បន្ទប់​មួយ	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	រៀននៅក្នុងបន្ទប់មួយ។	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	សិស្សនិងកីឡាករកីឡា	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	កីឡានិងអ្នកកីឡា	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	អ្នកកីឡាគឺកីឡា	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	គាត់​ជា​សិស្ស	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	គាត់ជាសិស្ស និងជាអ្នកលេងកីឡា	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	ឥឡូវនេះគាត់កំពុងអង្គុយ	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	ហើយឥឡូវនេះកំពុងរៀន	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	កំពុងអង្គុយហើយកំពុងរៀន	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	ឥឡូវនេះនៅក្នុងបន្ទប់មួយ។	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	គឺនៅលើតុមួយ។	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	ក្រដាសមួយនិងក្រដាស	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	តុមួយនិងតុ	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	សៀវភៅនិងសៀវភៅ	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	ឯកសារ និងសៀវភៅ	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	វាស្ថិតនៅលើតុ។	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	កំពុងសរសេរនៅលើតុសរសេរ	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	សៀវភៅគឺ ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	នៅ​លើ​តុ	on the table	grupo	alternativoj	prononco
