C.uk content.tsv
Level	Esperanto	uk	en-us	Grupo	Alternativoj	Pronoco
level	doni	давати	to give	grupo	alternativoj	prononco
level	mi	я, я	I, me	grupo	alternativoj	prononco
level	vi	ви	you	grupo	alternativoj	prononco
level	havi	мати, носити, носити, володіти	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	вона	she	grupo	alternativoj	prononco
level	li	він	he	grupo	alternativoj	prononco
level	ili	Вони	they	grupo	alternativoj	prononco
level	ĝi	це	it	grupo	alternativoj	prononco
level	oni	один, хтось, хтось	one, someone, somebody	grupo	alternativoj	prononco
level	ni	ми нас	we, us	grupo	alternativoj	prononco
level	si	себе	oneself	grupo	alternativoj	prononco
level	mem	сам по собі	by oneself	grupo	alternativoj	prononco
level	ĝis ~	до ~, до ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	з ~	of ~	grupo	alternativoj	prononco
level	da ~	(багато) з ~, (багато) з ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(суфікс) річ, конкретний вияв	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	поблизу, близько, незабаром, поблизу	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(суфікс) повторювана дія, тривала дія	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(суфікс) теперішній час	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(суфікс) минулого часу	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	бути	to be	grupo	alternativoj	prononco
level	-os	(суфікс) майбутній час	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(прийменник) перед ~, перед ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	робити, робити	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(прийменник) теж теж	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	після ~	after ~	grupo	alternativoj	prononco
level	mal-	(префікс) протилежний	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(суфікс) особа якоїсь риси	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(суфікс) жіночий	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(суфікс) активний теперішній час, є ~ing, хтось, хто ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(суфікс) активний минулий, was ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(суфікс) активний майбутній, буде ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	і	and	grupo	alternativoj	prononco
level	aŭ	або	or	grupo	alternativoj	prononco
level	alta	високий, високий	high, tall	grupo	alternativoj	prononco
level	jes	так	yes	grupo	alternativoj	prononco
level	ne	ні, ні	not, no	grupo	alternativoj	prononco
level	tiom	стільки, така сума, така сума	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	добре	good	grupo	alternativoj	prononco
level	kiom	скільки, скільки	how much, how many	grupo	alternativoj	prononco
level	ofte	часто, часто	often, frequently	grupo	alternativoj	prononco
level	iom	трохи, швидше, трохи, дещо	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	новий, роман	new, novel	grupo	alternativoj	prononco
level	-at-	(суфікс) пасивний дієприкметник теперішнього часу	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(суфікс) пасивний дієприкметник минулого часу	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(суфікс) пасивний дієприкметник майбутнього стану	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	дуже, досить, дуже багато	very, quite, very much	grupo	alternativoj	prononco
level	tro	занадто, надмірно, занадто багато	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	однак, тим не менш, але, тим не менше	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	О! Хо!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	що ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	тому що ~	because ~	grupo	alternativoj	prononco
level	ĉu	чи ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(суфікс) місце	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(суфікс) абстрактна назва якості	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	обидва ~	both ~	grupo	alternativoj	prononco
level	tuj	негайно, негайно, відразу	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	ніби ~	as if ~	grupo	alternativoj	prononco
level	kiam	коли	when	grupo	alternativoj	prononco
level	silenti	мовчати, мовчати	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	ніколи, ніколи, ніколи	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	отже, так	therefore, so	grupo	alternativoj	prononco
level	kial	чому, для чого	why, what for	grupo	alternativoj	prononco
level	kvankam	хоча ~, поки, хоча	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(прийменник) при ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	більше	more	grupo	alternativoj	prononco
level	plej	більшість	most	grupo	alternativoj	prononco
level	diri	казати, розповідати	to say, to tell	grupo	alternativoj	prononco
