C.te content.tsv
Level	Esperanto	te	en-us	Grupo	Alternativoj	Pronoco
level	doni	ఇవ్వాలని	to give	grupo	alternativoj	prononco
level	mi	నేను, నేను	I, me	grupo	alternativoj	prononco
level	vi	మీరు	you	grupo	alternativoj	prononco
level	havi	కలిగి, ధరించడానికి, తీసుకువెళ్లడానికి, స్వంతం చేసుకోవడానికి	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ఆమె	she	grupo	alternativoj	prononco
level	li	అతను	he	grupo	alternativoj	prononco
level	ili	వాళ్ళు	they	grupo	alternativoj	prononco
level	ĝi	అది	it	grupo	alternativoj	prononco
level	oni	ఒకరు, ఎవరైనా, ఎవరైనా	one, someone, somebody	grupo	alternativoj	prononco
level	ni	మేము, మేము	we, us	grupo	alternativoj	prononco
level	si	తమనుతాము	oneself	grupo	alternativoj	prononco
level	mem	ఎవరైనా స్వయంగా	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~ వరకు, ~ వరకు	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	యొక్క ~	of ~	grupo	alternativoj	prononco
level	da ~	(చాలా) ~, (చాలా) ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(ప్రత్యయం) విషయం, నిర్దిష్ట అభివ్యక్తి	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	సమీపంలో, దగ్గరగా, త్వరలో, సమీపంలో	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(ప్రత్యయం) పునరావృత చర్య, శాశ్వత చర్య	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(ప్రత్యయం) వర్తమాన కాలం	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(ప్రత్యయం) గత కాలం	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	ఉండాలి	to be	grupo	alternativoj	prononco
level	-os	(ప్రత్యయం) భవిష్యత్తు కాలం	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(ప్రిపోజిషన్) ~ ముందు, ~ ముందు	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	చేయడానికి, చేయడానికి	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(ప్రిపోజిషన్) కూడా	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	~ తర్వాత	after ~	grupo	alternativoj	prononco
level	mal-	(ఉపసర్గ) ఎదురుగా	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(ప్రత్యయం) కొంత లక్షణం ఉన్న వ్యక్తి	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(ప్రత్యయం) స్త్రీ	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(ప్రత్యయం) యాక్టివ్ ప్రస్తుతం, ~ing, ఎవరైనా ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(ప్రత్యయం) క్రియాశీల గతం, ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(ప్రత్యయం) క్రియాశీల భవిష్యత్తు, ~ing అవుతుంది	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	మరియు	and	grupo	alternativoj	prononco
level	aŭ	లేదా	or	grupo	alternativoj	prononco
level	alta	ఎత్తైన, పొడవైన	high, tall	grupo	alternativoj	prononco
level	jes	అవును	yes	grupo	alternativoj	prononco
level	ne	కాదు, లేదు	not, no	grupo	alternativoj	prononco
level	tiom	అంత, అంత మొత్తం, ఆ మొత్తం	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	మంచిది	good	grupo	alternativoj	prononco
