A.ur content.tsv
Level	Esperanto	ur	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	میں، تم	I, you	grupo	alternativoj	prononco
level	estas, estis	(موجودہ) ہے، ہوں، ہیں (ماضی) تھا، تھے۔	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	میں ہوں ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	آپ ہیں ~	you are ~	grupo	alternativoj	prononco
level	saluton	ہیلو	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	ہیلو، میں ہوں ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	میرا آپکا	my, your	grupo	alternativoj	prononco
level	nomo	ایک نام	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	میرا نام، آپ کا نام	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	میرا نام ~ ہے۔	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	آپ کا نام ~ ہے۔	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(موجودہ) کرتا ہے، (ماضی) کرتا ہے۔	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(موجودہ) تھا، تھے (مستقبل) ہوں گے۔	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ایک نام، ایک (مقصد) نام	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	میری محبت	my love	grupo	alternativoj	prononco
level	vi fartas	آپ کر رہے ہیں ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	کیسے	how	grupo	alternativoj	prononco
level	kiel vi fartas?	آپ کیسے ہیں؟	how are you doing?	grupo	alternativoj	prononco
level	kio	کیا	what	grupo	alternativoj	prononco
level	kio estas via nomo?	آپ کا نام کیا ہے؟	what is your name?	grupo	alternativoj	prononco
level	bona, bone	اچھا، اچھا	good, well	grupo	alternativoj	prononco
level	fartas bone	اچھا کر رہا ہے	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	میں اچھا کر رہا ہوں۔	I am doing well	grupo	alternativoj	prononco
level	kaj	اور	and	grupo	alternativoj	prononco
level	bone, kaj vi?	ٹھیک اور آپ؟	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ تک	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(موجودہ) دیکھتا ہے، (ماضی) دیکھا	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(ماضی) دیکھا، (ماضی) دوبارہ دیکھا	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	دوبارہ دیکھا، دوبارہ دیکھیں گے۔	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	دوبارہ دیکھنا، دوبارہ دیکھنا (مقصد)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	پھر ملیں گے!	see you again!	grupo	alternativoj	prononco
level	dankon	شکریہ	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	آپ کا شکریہ اور آپ کو دوبارہ ملتے ہیں!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	کو ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	آپ کو، مجھے	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(موجودہ) شکریہ، (ماضی) شکریہ	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	میں آپ کی تعریف کرتا ہوں۔	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	ہاں نہیں	yes, no	grupo	alternativoj	prononco
level	jes, dankon	جی ہاں، آپ کا شکریہ	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	کھاتا ہے، کھائے گا۔	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	میں نہیں کھاتا	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	نہیں، میں نہیں کھاتا	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	خوبصورت، خوبصورتی سے	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	قابل قدر (ختم)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	قابل تعریف، شکریہ ادا کرنے کے قابل	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	مجموعی طور پر، مجموعی طور پر	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	تمام، (مقصد) تمام	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	بالکل نہیں، آپ کا استقبال ہے۔	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	بالکل نہیں	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	معاف کرنا، معاف کرنے والا	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	مجھے معاف کرنے والا	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	میں معافی چاہتا ہوں! (مجھے معاف کرنا)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	آئی ایم سوری پلیز	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	صبح بخیر	a good morning	grupo	alternativoj	prononco
level	bonan matenon	صبح بخیر	good morning	grupo	alternativoj	prononco
level	bonan nokton	شب بخیر	good night	grupo	alternativoj	prononco
level	bonan sonĝon	پرسکون سوئیں	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	آپ کا سفر اچھا گزرے۔	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	اچھا دن!	good day!	grupo	alternativoj	prononco
level	ĉu ~	کیا یہ ~	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	کیا تم صحیح کر رہے ہو؟ (آپ کیسے ہو؟)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	جی ہاں، میں ٹھیک ہوں	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	کوئی بالکل نہیں	no, not at all	grupo	alternativoj	prononco
level	tre, tro	بہت، بہت زیادہ	very, too much	grupo	alternativoj	prononco
level	granda, grande	بڑے، بڑے پیمانے پر	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	بہت بڑا، بہت بڑا	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	آپ بہت اچھا کر رہے ہیں	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	زیادہ ٹھیک نہیں	not very well	grupo	alternativoj	prononco
