A.fr content.tsv
Level	Esperanto	fr	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	moi, toi	I, you	grupo	alternativoj	prononco
level	estas, estis	(présent) est, suis, sont (passé) était, étaient	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	je suis ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	tu es ~	you are ~	grupo	alternativoj	prononco
level	saluton	Bonjour	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	bonjour, je suis ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	mon ton	my, your	grupo	alternativoj	prononco
level	nomo	un nom	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mon nom, ton nom	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	je m'appelle ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	ton nom est ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(présent) fait, (passé) fait	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(présent) était, étaient (futur) sera	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	un nom, un nom (objectif)	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	mon amour	my love	grupo	alternativoj	prononco
level	vi fartas	tu fais ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	comment	how	grupo	alternativoj	prononco
level	kiel vi fartas?	comment allez-vous?	how are you doing?	grupo	alternativoj	prononco
level	kio	quoi	what	grupo	alternativoj	prononco
level	kio estas via nomo?	quel est ton nom ?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	bon bien	good, well	grupo	alternativoj	prononco
level	fartas bone	ça va bien	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	je me débrouille bien	I am doing well	grupo	alternativoj	prononco
level	kaj	et	and	grupo	alternativoj	prononco
level	bone, kaj vi?	bien et toi?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	jusqu'à ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(présent) voit, (passé) a vu	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(passé) vu, (passé) revu	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	j'ai revu, je reverrai	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	revoir, revoir (objectif)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	à la prochaine!	see you again!	grupo	alternativoj	prononco
level	dankon	merci	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	merci et à bientôt !	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	à ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	à toi, à moi	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(présent) merci, (passé) remercié	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	je t'apprécie	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	Oui Non	yes, no	grupo	alternativoj	prononco
level	jes, dankon	oui, je te remercie	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	mange, va manger	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	je ne mange pas	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	non, je ne mange pas	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	beau, magnifiquement	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	ça vaut le coup (fin)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	appréciable, ça vaut la peine de remercier	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	l'ensemble, dans son ensemble	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	tout, (objectif) tout	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	pas du tout, de rien	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	totalement non	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	pardonner, un pardon	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	un pardon pour moi	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Je suis désolé! (Excusez-moi)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Je suis désolé s'il vous plaît	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	un bon matin	a good morning	grupo	alternativoj	prononco
level	bonan matenon	bonjour	good morning	grupo	alternativoj	prononco
level	bonan nokton	bonne nuit	good night	grupo	alternativoj	prononco
level	bonan sonĝon	doux rêve	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(faire) un bon voyage à toi	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	bonne journée!	good day!	grupo	alternativoj	prononco
level	ĉu ~	est-ce ~ ?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	tu vas bien? (comment vas-tu?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Oui je vais bien	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	Non pas du tout	no, not at all	grupo	alternativoj	prononco
level	tre, tro	très, trop	very, too much	grupo	alternativoj	prononco
level	granda, grande	grand, en grande partie	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	très gros, trop gros	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	tu t'en sors très bien	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	pas très bien	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	apprendre, un apprentissage	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	regarde, un spectateur	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	est en train d'apprendre, un étudiant (une personne qui apprend)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	est -ing, une personne qui fait	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	un étudiant, une personne qui a appris	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Je suis étudiant.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ est mon ami	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	il Elle	he, she	grupo	alternativoj	prononco
level	sidi, sidas	s'asseoir, s'asseoir	to sit, sits	grupo	alternativoj	prononco
