C.mr content.tsv
Level	Esperanto	mr	en-us	Grupo	Alternativoj	Pronoco
level	doni	देणे	to give	grupo	alternativoj	prononco
level	mi	मी, मी	I, me	grupo	alternativoj	prononco
level	vi	आपण	you	grupo	alternativoj	prononco
level	havi	असणे, परिधान करणे, वाहून नेणे, स्वतःचे असणे	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ती	she	grupo	alternativoj	prononco
level	li	तो	he	grupo	alternativoj	prononco
level	ili	ते	they	grupo	alternativoj	prononco
level	ĝi	ते	it	grupo	alternativoj	prononco
level	oni	एक, कोणीतरी, कोणीतरी	one, someone, somebody	grupo	alternativoj	prononco
level	ni	आम्ही	we, us	grupo	alternativoj	prononco
level	si	स्वतःला	oneself	grupo	alternativoj	prononco
level	mem	स्वतःहून	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~ पर्यंत, ~ पर्यंत	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	च्या ~	of ~	grupo	alternativoj	prononco
level	da ~	(बहुतांश) ~ चे, (अनेक) ~ चे	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(प्रत्यय) गोष्ट, ठोस प्रकटीकरण	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	जवळ, जवळ, लवकरच, जवळ	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(प्रत्यय) पुनरावृत्ती क्रिया, चिरस्थायी क्रिया	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(प्रत्यय) वर्तमान काल	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(प्रत्यय) भूतकाळ	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	असल्याचे	to be	grupo	alternativoj	prononco
level	-os	(प्रत्यय) भविष्यकाळ	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) ~ च्या आधी, ~ च्या समोर	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	करणे, करणे	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) देखील, खूप	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	~ नंतर	after ~	grupo	alternativoj	prononco
level	mal-	(उपसर्ग) विरुद्ध	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(प्रत्यय) काही गुणांची व्यक्ती	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(प्रत्यय) स्त्री	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(प्रत्यय) सक्रिय वर्तमान, ~ing आहे, कोणीतरी ~ing आहे	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(प्रत्यय) सक्रिय भूतकाळ, was ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(प्रत्यय) सक्रिय भविष्य, ~ing असेल	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	आणि	and	grupo	alternativoj	prononco
level	aŭ	किंवा	or	grupo	alternativoj	prononco
level	alta	उंच, उंच	high, tall	grupo	alternativoj	prononco
level	jes	होय	yes	grupo	alternativoj	prononco
level	ne	नाही, नाही	not, no	grupo	alternativoj	prononco
level	tiom	तेवढी, इतकी रक्कम, ती रक्कम	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	चांगले	good	grupo	alternativoj	prononco
level	kiom	किती, किती	how much, how many	grupo	alternativoj	prononco
level	ofte	अनेकदा, वारंवार	often, frequently	grupo	alternativoj	prononco
level	iom	थोडे, ऐवजी, काही, थोडेसे	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	नवीन, कादंबरी	new, novel	grupo	alternativoj	prononco
level	-at-	(प्रत्यय) निष्क्रिय उपस्थित कृदंत	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(प्रत्यय) निष्क्रिय भूतकाळातील कृदंत	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(प्रत्यय) निष्क्रिय भविष्यातील पार्टिसिपल	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	खूप, खूप, खूप	very, quite, very much	grupo	alternativoj	prononco
level	tro	खूप, जास्त, खूप	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	तथापि, तरीही, परंतु, तरीही	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	अरेरे! हो!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	ते ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	कारण ~	because ~	grupo	alternativoj	prononco
level	ĉu	असो ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(प्रत्यय) जागा	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(प्रत्यय) गुणवत्तेचे अमूर्त नाव	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	दोन्ही ~	both ~	grupo	alternativoj	prononco
level	tuj	ताबडतोब, त्वरित, लगेच	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	जणू ~	as if ~	grupo	alternativoj	prononco
level	kiam	कधी	when	grupo	alternativoj	prononco
level	silenti	शांत राहणे, शांत असणे	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	कधीही, कधीही, कधीही नाही	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	म्हणून, म्हणून	therefore, so	grupo	alternativoj	prononco
level	kial	का, कशासाठी	why, what for	grupo	alternativoj	prononco
level	kvankam	जरी ~, असताना, तरी	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) at ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	अधिक	more	grupo	alternativoj	prononco
level	plej	सर्वाधिक	most	grupo	alternativoj	prononco
level	diri	सांगणे, सांगणे	to say, to tell	grupo	alternativoj	prononco
level	ol ~	पेक्षा ~	than ~	grupo	alternativoj	prononco
level	paroli	बोलणे, बोलणे	to speak, to talk	grupo	alternativoj	prononco
level	kia	कोणत्या प्रकारचे, कोणत्या प्रकारचे	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	असा, त्या प्रकारचा, असा	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	क्वचित, महत्प्रयासाने, भीतीने	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	पाठवण्यासाठी	to send	grupo	alternativoj	prononco
level	ĵus	फक्त (एका क्षणापूर्वी), आत्ताच	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(प्रत्यय) अनिवार्य	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	बाहेर ~	outside ~	grupo	alternativoj	prononco
level	ge-	(उपसर्ग) दोन्ही लिंग, दोन्ही लिंग	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(प्रत्यय) will, should, subjunctive	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	लवकरच	soon	grupo	alternativoj	prononco
level	almenaŭ	किमान, दुसरे काहीही नसल्यास	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(प्रत्यय) कंटेनर; देश	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	जाणून घेण्यासाठी	to learn	grupo	alternativoj	prononco
level	ek-	(उपसर्ग) सुरुवात; अचानक सुरुवात	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
