B.hi content.tsv
Level	Esperanto	hi	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	नमस्ते!	hello!	grupo	alternativoj	prononco
level	mi estas ~	मैं ~ हूँ	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	आप कौन हैं?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	मेरा नाम ~ है	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	ख़ुशी हुई	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	मैं भी खुश हूं	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	अक्सर आता है	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	इस नृत्य स्थल पर	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	क्या आप अक्सर इस नृत्य स्थल पर आते हैं?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	नहीं आप करते हैं?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	मैं भी नहीं	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ एक दिलचस्प नाम है	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	यह है?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	यही है ना?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	किस तरह से?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~ से संबंधित है	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	यह एस्पेरान्तो से संबंधित है।	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	क्या?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	मैंने ठीक से सुना नहीं	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ बहुत तेज़ है	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	संगीत बहुत अधिक तेज़ है	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	मैंने कहा कि~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	मैंने कहा कि आपका नाम एस्पेरान्तो से संबंधित है	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	वास्तव में?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	मेरे लिए एक खबर	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	यह मेरे लिए एक खबर है	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	क्या आपने ~ के बारे में सुना?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	क्या आपने एस्पेरान्तो के बारे में सुना?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	मैं यह नहीं जानता था~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	लेकिन मुझे नहीं पता था कि मेरा नाम इससे जुड़ा है	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	वास्तव में	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	कैसा है~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	रिश्ता कैसा है?	how is the relation?	grupo	alternativoj	prononco
level	ho!	ओह!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	यह एक लंबी कहानी है	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	आपको बताऊंगा	will tell you	grupo	alternativoj	prononco
level	se vi volas	अगर आप चाहते हैं	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	यदि आप चाहें तो मैं आपको बाद में बताऊंगा	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	इस स्थान पर (इस स्थान पर)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	आवाज़ की दुकानशोर	too much noise	grupo	alternativoj	prononco
