C.zh-tw content.tsv
Level	Esperanto	zh-tw	en-us	Grupo	Alternativoj	Pronoco
level	doni	給予	to give	grupo	alternativoj	prononco
level	mi	我	I, me	grupo	alternativoj	prononco
level	vi	你	you	grupo	alternativoj	prononco
level	havi	擁有、穿戴、攜帶、擁有	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	她	she	grupo	alternativoj	prononco
level	li	他	he	grupo	alternativoj	prononco
level	ili	他們	they	grupo	alternativoj	prononco
level	ĝi	它	it	grupo	alternativoj	prononco
level	oni	一個、某人、某人	one, someone, somebody	grupo	alternativoj	prononco
level	ni	我們我們	we, us	grupo	alternativoj	prononco
level	si	自己	oneself	grupo	alternativoj	prononco
level	mem	獨自	by oneself	grupo	alternativoj	prononco
level	ĝis ~	直到〜，直到〜	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	的~	of ~	grupo	alternativoj	prononco
level	da ~	（很多）~，（很多）~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	&lt;詞尾&gt;事物的具體表現	<suffix> thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	近、接近、不久、附近	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	&lt;詞尾&gt;重複動作、持續動作	<suffix> repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	&lt;詞尾&gt;現在式	<suffix> present tense	grupo	alternativoj	prononco
level	-is	&lt;詞尾&gt;過去式	<suffix> past tense	grupo	alternativoj	prononco
level	esti	成為	to be	grupo	alternativoj	prononco
level	-os	&lt;詞尾&gt;將來式	<suffix> future tense	grupo	alternativoj	prononco
level	antaŭ ~	&lt;前置詞&gt;在～之前，在～之前	<preposition> before ~, in front of ~	grupo	alternativoj	prononco
level	fari	使，做	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	&lt;前置詞&gt;也是	<preposition> also, too	grupo	alternativoj	prononco
level	post ~	之後~	after ~	grupo	alternativoj	prononco
level	mal-	&lt;字首&gt;對面的	<prefix> opposite	grupo	alternativoj	prononco
level	-ul-	&lt;詞尾&gt;具有某種特質的人	<suffix> a person of some trait	grupo	alternativoj	prononco
level	-in-	&lt;詞尾&gt;女性	<suffix> female	grupo	alternativoj	prononco
level	-ant-	&lt;詞尾&gt;主動現在，正在〜ing，正在〜ing的人	<suffix> active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	&lt;字尾&gt;活躍的過去，was ~ing	<suffix> active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	&lt;詞尾&gt;積極的未來，將會~ing	<suffix> active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	和	and	grupo	alternativoj	prononco
level	aŭ	或者	or	grupo	alternativoj	prononco
level	alta	高，高	high, tall	grupo	alternativoj	prononco
level	jes	是的	yes	grupo	alternativoj	prononco
level	ne	不，不	not, no	grupo	alternativoj	prononco
level	tiom	那麼多那麼多	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	好的	good	grupo	alternativoj	prononco
level	kiom	多少多少	how much, how many	grupo	alternativoj	prononco
level	ofte	經常頻繁	often, frequently	grupo	alternativoj	prononco
level	iom	一點，相當，一些，有點	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	新的，新穎的	new, novel	grupo	alternativoj	prononco
level	-at-	&lt;詞尾&gt;被動現在分詞	<suffix> passive present participle	grupo	alternativoj	prononco
level	-it-	&lt;詞尾&gt;被動過去分詞	<suffix> passive past participle	grupo	alternativoj	prononco
level	-ot-	&lt;詞尾&gt;被動將來分詞	<suffix> passive future participle	grupo	alternativoj	prononco
level	tre	非常、相當、非常	very, quite, very much	grupo	alternativoj	prononco
level	tro	太多，太多，太多	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	然而，儘管如此，但是，儘管如此	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	哦！嗬！	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	那個~	that ~	grupo	alternativoj	prononco
level	ĉar ~	因為~	because ~	grupo	alternativoj	prononco
level	ĉu	是否~	whether ~	grupo	alternativoj	prononco
level	-ej-	&lt;詞尾&gt;地方	<suffix> place	grupo	alternativoj	prononco
level	-ec-	&lt;詞尾&gt;品質的抽象名稱	<suffix> abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	兩者都有~	both ~	grupo	alternativoj	prononco
level	tuj	立即，立即，馬上	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	好像~	as if ~	grupo	alternativoj	prononco
level	kiam	什麼時候	when	grupo	alternativoj	prononco
level	silenti	保持沉默，保持安靜	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	從來沒有，從來沒有，從來沒有	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	因此，所以	therefore, so	grupo	alternativoj	prononco
level	kial	為什麼，為什麼	why, what for	grupo	alternativoj	prononco
level	kvankam	雖然〜，同時，雖然	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	&lt;前置字&gt;在〜	<preposition> at ~	grupo	alternativoj	prononco
level	pli	更多的	more	grupo	alternativoj	prononco
level	plej	最多	most	grupo	alternativoj	prononco
level	diri	說，告訴	to say, to tell	grupo	alternativoj	prononco
level	ol ~	比~	than ~	grupo	alternativoj	prononco
level	paroli	說話，說話	to speak, to talk	grupo	alternativoj	prononco
level	kia	什麼樣的，什麼樣的	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	這樣的，那樣的，這樣的	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	勉強，勉強，勉強	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	傳送	to send	grupo	alternativoj	prononco
level	ĵus	就在（剛才），就在現在	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	&lt;詞尾&gt;至關重要的	<suffix> imperative	grupo	alternativoj	prononco
level	ekster ~	外面~	outside ~	grupo	alternativoj	prononco
level	ge-	&lt;字首&gt;男女皆宜，男女皆宜	<prefix> both sex, both gender	grupo	alternativoj	prononco
level	-us	&lt;詞尾&gt;將會、應該、虛擬語氣	<suffix> would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	很快	soon	grupo	alternativoj	prononco
level	almenaŭ	至少，如果沒有別的事的話	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	分散前綴	dis-	grupo	alternativoj	prononco
level	-uj-	&lt;詞尾&gt;容器;國家	<suffix> container; country	grupo	alternativoj	prononco
level	lerni	學習	to learn	grupo	alternativoj	prononco
level	ek-	&lt;字首&gt;開始;突然開始	<prefix> beginning; sudden start	grupo	alternativoj	prononco
level	se	如果，前提是	if, provided that	grupo	alternativoj	prononco
level	eĉ	甚至	even	grupo	alternativoj	prononco
level	amo	愛情	a love	grupo	alternativoj	prononco
level	jam	已經，這麼快，到目前為止	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	這裡！瞧！看哪	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	結束，完成，終止	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	那麼，那麼，因此	so, then, therefore	grupo	alternativoj	prononco
level	ajn	〜曾經，（什麼）曾經，根本，-soever	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	容易的，輕而易舉的	easy, facile	grupo	alternativoj	prononco
level	re-	&lt;字首&gt;關於-	<prefix> re-	grupo	alternativoj	prononco
level	granda	大，偉大，大	big, great, large	grupo	alternativoj	prononco
level	-ist-	&lt;詞尾&gt;專業的	<suffix> professional	grupo	alternativoj	prononco
level	pro ~	&lt;前置詞&gt;因為～，由於～	<preposition> because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	&lt;詞尾&gt;領導者, 老闆, 首領, 酋長	<suffix> leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	什麼	what	grupo	alternativoj	prononco
level	manĝi	去吃	to eat	grupo	alternativoj	prononco
level	nenio	什麼都沒有，沒有，什麼都沒有	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	年輕的	young	grupo	alternativoj	prononco
level	ĉio	一切	everything	grupo	alternativoj	prononco
level	riĉa	有錢的，有錢的，富裕的	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	那件事，那個	that thing, that	grupo	alternativoj	prononco
level	konstrui	建造，建造	to build, to construct	grupo	alternativoj	prononco
