A.vi-vn content.tsv
Level	Esperanto	vi-vn	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	tôi, bạn	I, you	grupo	alternativoj	prononco
level	estas, estis	(hiện tại) là, sáng, là (quá khứ) đã, đã	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Tôi là ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	bạn là ~	you are ~	grupo	alternativoj	prononco
level	saluton	Xin chào	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	xin chào, tôi là ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	của tôi, của bạn	my, your	grupo	alternativoj	prononco
level	nomo	một cái tên	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	tên tôi, tên bạn	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	tên tôi là ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	tên bạn là ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(hiện tại) làm, (quá khứ) đã làm	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(hiện tại) đã, đã (tương lai) sẽ là	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	một cái tên, một cái tên (khách quan)	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	Tình yêu của tôi	my love	grupo	alternativoj	prononco
level	vi fartas	bạn đang làm ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	Làm sao	how	grupo	alternativoj	prononco
level	kiel vi fartas?	Bạn dạo này thế nào?	how are you doing?	grupo	alternativoj	prononco
level	kio	Gì	what	grupo	alternativoj	prononco
level	kio estas via nomo?	Tên của bạn là gì?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	cũng tốt	good, well	grupo	alternativoj	prononco
level	fartas bone	là làm tốt	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	tôi đang làm tốt	I am doing well	grupo	alternativoj	prononco
level	kaj	Và	and	grupo	alternativoj	prononco
level	bone, kaj vi?	ổn, còn bạn?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	cho đến khi ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(hiện tại) thấy, (quá khứ) đã thấy	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(quá khứ) đã thấy, (quá khứ) đã thấy lại	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	đã gặp lại, sẽ gặp lại	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	nhìn thấy lại, nhìn thấy lại (khách quan)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	hẹn gặp lại!	see you again!	grupo	alternativoj	prononco
level	dankon	Cảm ơn	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	cảm ơn và hẹn gặp lại!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	đến ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	với bạn, với tôi	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(hiện tại) cảm ơn, (quá khứ) cảm ơn	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Tôi đánh giá cao bạn	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	có không	yes, no	grupo	alternativoj	prononco
level	jes, dankon	vâng, cảm ơn bạn	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	ăn, sẽ ăn	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	tôi không ăn	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	không, tôi không ăn	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	đẹp, đẹp	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	đáng giá (kết thúc)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	đáng trân trọng, đáng để cảm ơn	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	toàn bộ, như một tổng thể	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	tất cả, (khách quan) tất cả	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	không có gì, không có gì	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	hoàn toàn không	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	tha thứ, tha thứ	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	sự tha thứ cho tôi	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Tôi xin lỗi! (xin lỗi tôi)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Tôi xin lỗi xin vui lòng	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	chào buổi sáng	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Chào buổi sáng	good morning	grupo	alternativoj	prononco
level	bonan nokton	Chúc ngủ ngon	good night	grupo	alternativoj	prononco
level	bonan sonĝon	giấc mơ ngọt ngào	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(chúc bạn có một chuyến đi vui vẻ)	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	ngày tốt!	good day!	grupo	alternativoj	prononco
level	ĉu ~	phải không ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	bạn đang làm tốt chứ? (Bạn khỏe không?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	vâng, tôi ổn	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	không hoàn toàn không	no, not at all	grupo	alternativoj	prononco
level	tre, tro	rất, quá nhiều	very, too much	grupo	alternativoj	prononco
level	granda, grande	lớn, phần lớn	big, largely	grupo	alternativoj	prononco
