A.nl content.tsv
Level	Esperanto	nl	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Ik jij	I, you	grupo	alternativoj	prononco
level	estas, estis	(heden) is, ben, zijn (verleden) was, waren	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Ik ben ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	jij bent ~	you are ~	grupo	alternativoj	prononco
level	saluton	Hallo	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	Hallo, ik ben ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	mijn Jouw	my, your	grupo	alternativoj	prononco
level	nomo	een naam	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mijn naam, jouw naam	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	mijn naam is ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	jouw naam is ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(heden) doet, (verleden) deed	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(heden) was, waren (toekomstig) zullen zijn	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	een naam, een (objectieve) naam	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	Mijn liefje	my love	grupo	alternativoj	prononco
level	vi fartas	je doet ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	Hoe	how	grupo	alternativoj	prononco
level	kiel vi fartas?	Hoe is het met je?	how are you doing?	grupo	alternativoj	prononco
level	kio	Wat	what	grupo	alternativoj	prononco
level	kio estas via nomo?	hoe heet je?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	goed, wel	good, well	grupo	alternativoj	prononco
level	fartas bone	doet het goed	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	het gaat goed met mij	I am doing well	grupo	alternativoj	prononco
level	kaj	En	and	grupo	alternativoj	prononco
level	bone, kaj vi?	goed en met jou?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	tot ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(heden) ziet, (verleden) zag	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(verleden) zag, (verleden) zag opnieuw	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	zag opnieuw, zal opnieuw zien	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	opnieuw zien, opnieuw zien (objectief)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	tot ziens!	see you again!	grupo	alternativoj	prononco
level	dankon	Bedankt	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	bedankt en tot ziens!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	naar ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	voor jou, voor mij	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(heden) bedankt, (verleden) bedankt	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Ik waardeer het voor je	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	Ja nee	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ja, dank je	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	eet, zal eten	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	Ik eet niet	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	nee, ik eet niet	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	mooi, prachtig	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	de moeite waard (einde)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	waardevol, de moeite waard om te bedanken	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	geheel, als geheel	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	alles, (objectief) alles	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	Helemaal niet, graag gedaan	not at all, you're welcome	grupo	alternativoj	prononco
