C.ms content.tsv
Level	Esperanto	ms	en-us	Grupo	Alternativoj	Pronoco
level	doni	untuk memberi	to give	grupo	alternativoj	prononco
level	mi	saya, saya	I, me	grupo	alternativoj	prononco
level	vi	awak	you	grupo	alternativoj	prononco
level	havi	untuk memiliki, memakai, membawa, memiliki	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	dia	she	grupo	alternativoj	prononco
level	li	dia	he	grupo	alternativoj	prononco
level	ili	mereka	they	grupo	alternativoj	prononco
level	ĝi	ia	it	grupo	alternativoj	prononco
level	oni	satu, seseorang, seseorang	one, someone, somebody	grupo	alternativoj	prononco
level	ni	kami semua	we, us	grupo	alternativoj	prononco
level	si	diri sendiri	oneself	grupo	alternativoj	prononco
level	mem	oleh diri sendiri	by oneself	grupo	alternativoj	prononco
level	ĝis ~	sehingga ~, sehingga ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	daripada ~	of ~	grupo	alternativoj	prononco
level	da ~	(banyak) daripada ~, (banyak) daripada ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	<suffix>perkara, manifestasi konkrit	<suffix> thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	dekat, dekat, dekat, dekat	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	<suffix>tindakan berulang, tindakan yang berkekalan	<suffix> repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	<suffix>masa kini	<suffix> present tense	grupo	alternativoj	prononco
level	-is	<suffix>masa lampau	<suffix> past tense	grupo	alternativoj	prononco
level	esti	akan menjadi	to be	grupo	alternativoj	prononco
level	-os	<suffix>masa hadapan	<suffix> future tense	grupo	alternativoj	prononco
level	antaŭ ~	<preposition>sebelum ~, di hadapan ~	<preposition> before ~, in front of ~	grupo	alternativoj	prononco
level	fari	untuk membuat, untuk melakukan	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	<preposition>juga, juga	<preposition> also, too	grupo	alternativoj	prononco
level	post ~	selepas ~	after ~	grupo	alternativoj	prononco
level	mal-	<prefix>bertentangan	<prefix> opposite	grupo	alternativoj	prononco
level	-ul-	<suffix>seseorang yang mempunyai sifat tertentu	<suffix> a person of some trait	grupo	alternativoj	prononco
level	-in-	<suffix>perempuan	<suffix> female	grupo	alternativoj	prononco
level	-ant-	<suffix>aktif hadir, sedang ~, seseorang yang sedang ~	<suffix> active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	<suffix>masa lalu yang aktif, sedang ~ing	<suffix> active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	<suffix>masa depan yang aktif, akan ~ing	<suffix> active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	dan	and	grupo	alternativoj	prononco
level	aŭ	atau	or	grupo	alternativoj	prononco
level	alta	tinggi, tinggi	high, tall	grupo	alternativoj	prononco
level	jes	ya	yes	grupo	alternativoj	prononco
level	ne	tidak, tidak	not, no	grupo	alternativoj	prononco
level	tiom	sebanyak itu, jumlah itu, jumlah itu	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	baik	good	grupo	alternativoj	prononco
level	kiom	berapa banyak berapa banyak	how much, how many	grupo	alternativoj	prononco
level	ofte	kerap, kerap	often, frequently	grupo	alternativoj	prononco
level	iom	sedikit, agak, beberapa, agak	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	baru, novel	new, novel	grupo	alternativoj	prononco
level	-at-	<suffix>participle hadir pasif	<suffix> passive present participle	grupo	alternativoj	prononco
level	-it-	<suffix>participle lepas pasif	<suffix> passive past participle	grupo	alternativoj	prononco
level	-ot-	<suffix>participle masa depan pasif	<suffix> passive future participle	grupo	alternativoj	prononco
level	tre	sangat, agak, sangat	very, quite, very much	grupo	alternativoj	prononco
level	tro	terlalu, berlebihan, terlalu banyak	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	walau bagaimanapun, walau bagaimanapun, tetapi, walau bagaimanapun	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Oh! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	itu ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	kerana ~	because ~	grupo	alternativoj	prononco
level	ĉu	sama ada ~	whether ~	grupo	alternativoj	prononco
level	-ej-	<suffix>tempat	<suffix> place	grupo	alternativoj	prononco
level	-ec-	<suffix>nama abstrak kualiti	<suffix> abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	kedua-duanya ~	both ~	grupo	alternativoj	prononco
level	tuj	serta merta, serta merta, serta merta	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	seolah-olah ~	as if ~	grupo	alternativoj	prononco
level	kiam	bila	when	grupo	alternativoj	prononco
level	silenti	untuk diam, untuk diam	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	tidak pernah, tidak pernah, tidak pernah	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	oleh itu, jadi	therefore, so	grupo	alternativoj	prononco
level	kial	kenapa, untuk apa	why, what for	grupo	alternativoj	prononco
level	kvankam	walaupun ~, sementara, walaupun	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	<preposition>di ~	<preposition> at ~	grupo	alternativoj	prononco
level	pli	lebih	more	grupo	alternativoj	prononco
level	plej	paling	most	grupo	alternativoj	prononco
