C.el content.tsv
Level	Esperanto	el	en-us	Grupo	Alternativoj	Pronoco
level	doni	το να δίνεις	to give	grupo	alternativoj	prononco
level	mi	Εγώ, εγώ	I, me	grupo	alternativoj	prononco
level	vi	εσείς	you	grupo	alternativoj	prononco
level	havi	να έχεις, να φοράς, να κουβαλάς, να κατέχεις	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	αυτή	she	grupo	alternativoj	prononco
level	li	αυτός	he	grupo	alternativoj	prononco
level	ili	αυτοί	they	grupo	alternativoj	prononco
level	ĝi	το	it	grupo	alternativoj	prononco
level	oni	ένας, κάποιος, κάποιος	one, someone, somebody	grupo	alternativoj	prononco
level	ni	εμεις ΕΜΑΣ	we, us	grupo	alternativoj	prononco
level	si	εαυτός	oneself	grupo	alternativoj	prononco
level	mem	από τον εαυτό του	by oneself	grupo	alternativoj	prononco
level	ĝis ~	μέχρι ~, μέχρι ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	του ~	of ~	grupo	alternativoj	prononco
level	da ~	(πολύ) από ~, (πολλά) από ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(κατάληξη) πράγμα, συγκεκριμένη εκδήλωση	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	κοντά, κοντά, σύντομα, κοντά	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(κατάληξη) επαναλαμβανόμενη δράση, δράση διαρκείας	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(επίθημα) ενεστώτα	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(επίθημα) παρελθοντικό	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	να είναι	to be	grupo	alternativoj	prononco
level	-os	(επίθημα) μέλλοντα	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(πρόθεση) πριν από ~, μπροστά από ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	να φτιάξω, να κάνω	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(πρόθεση) επίσης	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	μετά από ~	after ~	grupo	alternativoj	prononco
level	mal-	(πρόθεμα) απέναντι	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(επίθημα) άτομο κάποιου χαρακτηριστικού	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(επίθημα) θηλυκό	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(κατάληξη) ενεργητικός ενεστώτας, είναι ~ing, κάποιος που είναι ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(επίθημα) ενεργητικό παρελθόν, ήταν ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(επίθημα) ενεργητικό μέλλον, θα είναι ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	και	and	grupo	alternativoj	prononco
level	aŭ	ή	or	grupo	alternativoj	prononco
level	alta	ψηλός, ψηλός	high, tall	grupo	alternativoj	prononco
level	jes	Ναί	yes	grupo	alternativoj	prononco
level	ne	όχι, όχι	not, no	grupo	alternativoj	prononco
level	tiom	τόσο πολύ, τέτοιο ποσό, αυτό το ποσό	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	Καλός	good	grupo	alternativoj	prononco
level	kiom	Πόσο Πόσο	how much, how many	grupo	alternativoj	prononco
level	ofte	συχνά, συχνά	often, frequently	grupo	alternativoj	prononco
level	iom	λίγο, μάλλον, λίγο, κάπως	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	νέο, μυθιστόρημα	new, novel	grupo	alternativoj	prononco
level	-at-	(επίθημα) παθητικός ενεστώτας	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(επίθημα) παθητικό παρατατικό	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(επίθημα) παθητικός μέλλοντας	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	πολύ, αρκετά, πάρα πολύ	very, quite, very much	grupo	alternativoj	prononco
level	tro	επίσης, υπερβολικά, πάρα πολύ	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	ωστόσο, παρ' όλα αυτά, αλλά, παρ' όλα αυτά	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Ω! Χο!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	ότι ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	γιατί ~	because ~	grupo	alternativoj	prononco
level	ĉu	είτε ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(επίθημα) τόπος	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(επίθημα) αφηρημένο όνομα ποιότητας	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	και τα δύο ~	both ~	grupo	alternativoj	prononco
