B.sk content.tsv
Level	Esperanto	sk	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Ahoj!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Ja som ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	kto si?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	moje meno je ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Som rád	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Aj ja som rád	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	často prichádza	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	na toto tanečné miesto	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	chodíš často na toto tanečné miesto?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	nie, ty?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ani ja	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ je zaujímavé meno	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	je to?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	nie?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	akým spôsobom?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	súvisí s ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	súvisí s esperantom.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	čo?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	nepočul som dobre	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ je príliš hlasný	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	hudba je príliš hlasná	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Povedal som, že ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Povedal som, že vaše meno súvisí s esperantom	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	naozaj?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	pre mňa novinka	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	to je pre mňa novinka	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	počuli ste o ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	počuli ste o esperante?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	To som nevedel ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	ale nevedel som, že moje meno s tým súvisí	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	v skutočnosti	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	ako je ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	aký je vzťah?	how is the relation?	grupo	alternativoj	prononco
level	ho!	oh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	to je dlhý príbeh	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	vám povie	will tell you	grupo	alternativoj	prononco
level	se vi volas	Ak chceš	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Poviem vám to neskôr, ak chcete	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	na tomto mieste (na tomto mieste)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	príliš veľa hluku	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	na tomto mieste je príliš veľa hluku	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Áno, máte pravdu	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	zatancujeme si?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	dobrý nápad!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	ďakujem za príjemný večer	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	Ďakujem ti)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	bolo to veľmi dobré	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	hudba je príjemná pre ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	hudba ma veľmi potešila	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	aj mne	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	tanec je veľmi zábavný	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	tancovať s tebou	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	bolo veľmi zábavné s tebou tancovať	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	tu je moja vizitka	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	Ak to chceš	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	tu je moja vizitka, ak chceš	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	na ňom je tiež ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	je na nej aj adresa	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	existuje adresa webovej stránky	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	adresu stránky s kurzom espernata	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Ďakujem	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	pošlem ti e-mail	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	dobre!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	uvidíme sa znova a dobrú noc!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	Maj sa!	see you!	grupo	alternativoj	prononco
level	aperas en ~	objaví sa v ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	instant messenger	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ sa zobrazí v instant messangeri	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	ty si tá osoba?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	tá osoba, ktorá so mnou tancovala	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	sobotňajšia noc	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	si ten človek, ktorý so mnou v sobotu večer tancoval?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	áno som to ja	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Som rád, že ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Som rád, že ste prišli na stránku	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	páči sa ti to? (páči sa ti to?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	áno, áno	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	je to veľmi pekné	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	vyzerá zaujímavo	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	je to veľmi pekné a vyzerá to zaujímavo	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ešte nie ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	nie je úplne pripravený	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	ešte nie je úplne pripravený	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	ale čoskoro to bude	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	chápem (vidím)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	ale už existuje veľa pomocných nástrojov	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	slovník	a dictionary	grupo	alternativoj	prononco
level	superrigardo	prehľad	an overview	grupo	alternativoj	prononco
level	ekzerco	spotrebná daň	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	príklady slov, prehľad, posol a ukážky	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	prehľad gramatiky	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	instant messenger a rôzne cvičenia	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	je to dobrý začiatok	it is a good start	grupo	alternativoj	prononco
level	pardonon	prepáčte, prepáčte	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Musím hovoriť s ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	hovoriť s inou osobou	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Prepáč, mal by som sa porozprávať s inou osobou	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
