C.my content.tsv
Level	Esperanto	my	en-us	Grupo	Alternativoj	Pronoco
level	doni	ပေးရန်	to give	grupo	alternativoj	prononco
level	mi	ငါ၊ငါ	I, me	grupo	alternativoj	prononco
level	vi	သင်	you	grupo	alternativoj	prononco
level	havi	ရှိရန်၊ ဝတ်ဆင်ရန်၊ သယ်ဆောင်ရန်၊ ပိုင်ဆိုင်ရန်	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	သူမ	she	grupo	alternativoj	prononco
level	li	သူ	he	grupo	alternativoj	prononco
level	ili	သူတို့	they	grupo	alternativoj	prononco
level	ĝi	အဲဒါ	it	grupo	alternativoj	prononco
level	oni	တစ်ခု၊ တစ်စုံတစ်ယောက်၊ တစ်စုံတစ်ယောက်	one, someone, somebody	grupo	alternativoj	prononco
level	ni	ငါတို့က	we, us	grupo	alternativoj	prononco
level	si	ကိုယ်တိုင်	oneself	grupo	alternativoj	prononco
level	mem	ကိုယ်တိုင်	by oneself	grupo	alternativoj	prononco
level	ĝis ~	upto ~ ၊ အထိ ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	၏ ~	of ~	grupo	alternativoj	prononco
level	da ~	(much) of ~ , ( many ) of ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(နောက်ဆက်) အရာ၊ ခိုင်မာသော ထင်ရှားခြင်း။	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	အနီး၊ အနီး၊ မကြာမီ၊ အနီး	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(နောက်ဆက်) အထပ်ထပ် လုပ်ဆောင်ချက်၊ တည်မြဲသော လုပ်ဆောင်ချက်	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(နောက်ဆက်) ပစ္စုပ္ပန်ကာလ	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(နောက်ဆက်) အတိတ်ကာလ	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	ဖြစ်ရန်	to be	grupo	alternativoj	prononco
level	-os	(နောက်ဆက်) အနာဂတ်ကာလ	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(ဝိဘတ်) before ~, in front of ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
