C.pl content.tsv
Level	Esperanto	pl	en-us	Grupo	Alternativoj	Pronoco
level	doni	dawać	to give	grupo	alternativoj	prononco
level	mi	Ja ja	I, me	grupo	alternativoj	prononco
level	vi	Ty	you	grupo	alternativoj	prononco
level	havi	mieć, nosić, nosić, posiadać	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ona	she	grupo	alternativoj	prononco
level	li	On	he	grupo	alternativoj	prononco
level	ili	Oni	they	grupo	alternativoj	prononco
level	ĝi	To	it	grupo	alternativoj	prononco
level	oni	jeden, ktoś, ktoś	one, someone, somebody	grupo	alternativoj	prononco
level	ni	my nas	we, us	grupo	alternativoj	prononco
level	si	się	oneself	grupo	alternativoj	prononco
level	mem	samemu	by oneself	grupo	alternativoj	prononco
level	ĝis ~	do ~, do ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	z ~	of ~	grupo	alternativoj	prononco
level	da ~	(dużo) z ~, (wiele) z ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(przyrostek) rzecz, konkretna manifestacja	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	blisko, blisko, wkrótce, niedaleko	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(przyrostek) czynność powtarzalna, czynność trwała	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(przyrostek) czas teraźniejszy	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(przyrostek) czas przeszły	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	być	to be	grupo	alternativoj	prononco
level	-os	(przyrostek) czas przyszły	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(przyimek) przed ~, przed ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	zrobić, zrobić	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(przyimek) także, także	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	po ~	after ~	grupo	alternativoj	prononco
level	mal-	(przedrostek) naprzeciwko	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(przyrostek) osoba posiadająca jakąś cechę	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(przyrostek) kobieta	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(przyrostek) aktywny teraźniejszość, jest ~ing, ktoś, kto jest ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(przyrostek) aktywna przeszłość, was ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(przyrostek) aktywna przyszłość, będzie ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	I	and	grupo	alternativoj	prononco
level	aŭ	Lub	or	grupo	alternativoj	prononco
level	alta	wysokiego wzrostu	high, tall	grupo	alternativoj	prononco
level	jes	Tak	yes	grupo	alternativoj	prononco
level	ne	nie nie	not, no	grupo	alternativoj	prononco
level	tiom	tyle, taką kwotę, taką kwotę	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	Dobry	good	grupo	alternativoj	prononco
level	kiom	jak dużo jak wiele	how much, how many	grupo	alternativoj	prononco
level	ofte	często, często	often, frequently	grupo	alternativoj	prononco
level	iom	trochę, raczej, trochę, trochę	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	nowy, powieść	new, novel	grupo	alternativoj	prononco
level	-at-	(przyrostek) imiesłów bierny teraźniejszy	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(przyrostek) imiesłów bierny czasu przeszłego	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(przyrostek) bierny imiesłów przyszły	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	bardzo, całkiem, bardzo	very, quite, very much	grupo	alternativoj	prononco
level	tro	zbyt, nadmiernie, za dużo	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	jednakże, jednak, ale, jednak	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Oh! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	to ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	ponieważ ~	because ~	grupo	alternativoj	prononco
level	ĉu	czy ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(przyrostek) miejsce	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(przyrostek) abstrakcyjna nazwa jakości	(suffix)  abstract name of quality	grupo	alternativoj	prononco
