B.km content.tsv
Level	Esperanto	km	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	សួស្តី!	hello!	grupo	alternativoj	prononco
level	mi estas ~	ខ្ញុំ ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	អ្នក​ជា​នរណា?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	ខ្ញុំឈ្មោះ ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	ខ្ញុំ​រីករាយ​ណាស់	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	ខ្ញុំក៏រីករាយដែរ។	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	ជាញឹកញាប់មក	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	ទៅកន្លែងរាំនេះ។	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	តើអ្នកមកកន្លែងរាំនេះញឹកញាប់ទេ?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	ទេមែនទេ?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ខ្ញុំក៏មិនមែនដែរ។	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ គឺជាឈ្មោះគួរឱ្យចាប់អារម្មណ៍	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	តើមែនទេ?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	មែនទេ?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	តើតាមរបៀបណា?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	គឺទាក់ទងនឹង ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	វាទាក់ទងនឹង Esperanto ។	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	អ្វី?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	ខ្ញុំស្តាប់មិនសូវបានល្អទេ។	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ ខ្លាំងពេក	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	តន្ត្រីគឺខ្លាំងពេក	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	ខ្ញុំបាននិយាយថា ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	ខ្ញុំបាននិយាយថាឈ្មោះរបស់អ្នកគឺទាក់ទងនឹង Esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	ពិតជា?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	ដំណឹងមួយសម្រាប់ខ្ញុំ	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	នោះជាដំណឹងសម្រាប់ខ្ញុំ	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	តើអ្នកបានឮអំពី ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	តើអ្នកបានលឺអំពី Esperanto ទេ?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	ខ្ញុំ​មិន​បាន​ដឹង​ថា ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	ប៉ុន្តែខ្ញុំមិនដឹងថាឈ្មោះរបស់ខ្ញុំទាក់ទងនឹងវាទេ។	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	ជាការពិត	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	យ៉ាងម៉េចហើយ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	តើទំនាក់ទំនងយ៉ាងម៉េចដែរ?	how is the relation?	grupo	alternativoj	prononco
level	ho!	អូ!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	នោះជារឿងដ៏វែងមួយ។	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	នឹងប្រាប់អ្នក។	will tell you	grupo	alternativoj	prononco
level	se vi volas	បើសិនជា​អ្នក​ចង់	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	ខ្ញុំនឹងប្រាប់អ្នកនៅពេលក្រោយប្រសិនបើអ្នកចង់	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	នៅកន្លែងនេះ (នៅក្នុងទីតាំងនេះ)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	សំលេងរំខានច្រើនពេក	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	នៅកន្លែងនេះមានសំលេងរំខានខ្លាំងពេក	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	បាទ​អ្នក​ត្រូវ​ហើយ	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	តើយើងនឹងរាំទេ?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	គំនិត​ល្អ!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	អរគុណសម្រាប់រាត្រីដ៏រីករាយ	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	សូមអរគុណ (ចំពោះអ្នក)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	វាល្អណាស់	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	តន្ត្រីរីករាយ ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	តន្ត្រី​គឺ​ជា​ការ​ពេញ​ចិត្ត​ខ្លាំង​ណាស់​សម្រាប់​ខ្ញុំ​	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	ដល់ខ្ញុំផងដែរ។	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	ការរាំគឺគួរឱ្យអស់សំណើចណាស់។	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	ដើម្បីរាំជាមួយអ្នក	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	វាគួរឱ្យអស់សំណើចណាស់ក្នុងការរាំជាមួយអ្នក	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	នេះគឺជាកាតឈ្មោះរបស់ខ្ញុំ	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	ប្រសិនបើអ្នកចង់បាន	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	នេះជាកាតរបស់ខ្ញុំប្រសិនបើអ្នកចង់	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	នៅលើវាក៏មាន ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	នៅលើវាក៏មានអាសយដ្ឋានផងដែរ។	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	មានអាសយដ្ឋានទៅកាន់គេហទំព័រមួយ។	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	អាសយដ្ឋានទៅកាន់គេហទំព័រដែលមានវគ្គសិក្សា Espernato	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	សូមអរគុណ	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	ខ្ញុំនឹងផ្ញើអ៊ីមែលទៅអ្នក។	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	យល់ព្រម!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	ជួបគ្នាម្តងទៀតហើយរាត្រីសួស្តី!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	លាហើយ!	see you!	grupo	alternativoj	prononco
level	aperas en ~	លេចឡើងក្នុង ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	អ្នកនាំសារភ្លាមៗ	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ លេចឡើងក្នុងកម្មវិធីផ្ញើសារបន្ទាន់	~ appears in the instant messanger	grupo	alternativoj	prononco
