C.id content.tsv
Level	Esperanto	id	en-us	Grupo	Alternativoj	Pronoco
level	doni	memberi	to give	grupo	alternativoj	prononco
level	mi	aku, aku	I, me	grupo	alternativoj	prononco
level	vi	Anda	you	grupo	alternativoj	prononco
level	havi	untuk memiliki, memakai, membawa, memiliki	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	dia	she	grupo	alternativoj	prononco
level	li	Dia	he	grupo	alternativoj	prononco
level	ili	mereka	they	grupo	alternativoj	prononco
level	ĝi	dia	it	grupo	alternativoj	prononco
level	oni	satu, seseorang, seseorang	one, someone, somebody	grupo	alternativoj	prononco
level	ni	kita, kita	we, us	grupo	alternativoj	prononco
level	si	diri	oneself	grupo	alternativoj	prononco
level	mem	sendirian	by oneself	grupo	alternativoj	prononco
level	ĝis ~	sampai ~, sampai ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	dari ~	of ~	grupo	alternativoj	prononco
level	da ~	(banyak) dari ~, (banyak) dari ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffix) benda, wujud nyata	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	dekat, dekat, segera, dekat	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffix) tindakan berulang-ulang, tindakan yang bertahan lama	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffix) Kala Kini	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffix) waktu lampau	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	menjadi	to be	grupo	alternativoj	prononco
level	-os	(suffix) kalimat masa depan	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) sebelum ~, di depan ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	untuk membuat, melakukan	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) juga, juga	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	setelah ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefix) di depan	(prefix)  opposite	grupo	alternativoj	prononco
