C.lv content.tsv
Level	Esperanto	lv	en-us	Grupo	Alternativoj	Pronoco
level	doni	dot	to give	grupo	alternativoj	prononco
level	mi	Es, es	I, me	grupo	alternativoj	prononco
level	vi	tu	you	grupo	alternativoj	prononco
level	havi	būt, nēsāt, nēsāt, piederēt	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	viņa	she	grupo	alternativoj	prononco
level	li	viņš	he	grupo	alternativoj	prononco
level	ili	viņi	they	grupo	alternativoj	prononco
level	ĝi	to	it	grupo	alternativoj	prononco
level	oni	viens, kāds, kāds	one, someone, somebody	grupo	alternativoj	prononco
level	ni	mēs mūs	we, us	grupo	alternativoj	prononco
level	si	sevi	oneself	grupo	alternativoj	prononco
level	mem	pašam	by oneself	grupo	alternativoj	prononco
level	ĝis ~	līdz ~, līdz ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	no ~	of ~	grupo	alternativoj	prononco
level	da ~	(daudz) no ~, (daudz) no ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(sufiksa) lieta, konkrēta izpausme	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	tuvu, tuvu, drīz, tuvumā	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(sufikss) atkārtota darbība, ilgstoša darbība	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(sufikss) tagadne	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(sufikss) pagātnes laiks	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	būt	to be	grupo	alternativoj	prononco
level	-os	(sufikss) nākotnes laiks	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(priekšvārds) pirms ~, ~ priekšā	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	taisīt, darīt	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(priekšvārds) arī, too	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	pēc ~	after ~	grupo	alternativoj	prononco
level	mal-	(priedēklis) pretī	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(sufikss) persona ar kādu īpašību	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(sufikss) sieviete	(suffix)  female	grupo	alternativoj	prononco
