B.vi-vn content.tsv
Level	Esperanto	vi-vn	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Xin chào!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Tôi là ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	bạn là ai?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	tên tôi là ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	tôi rất vui	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Tôi cũng vui mừng	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	thường đến	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	đến nơi khiêu vũ này	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	bạn có thường đến địa điểm khiêu vũ này không?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	không, phải không?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	tôi cũng vậy	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ là một cái tên thú vị	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	Là nó?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	phải không?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	bằng cách nào?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	có liên quan đến ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	nó có liên quan đến Esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	Gì?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	tôi nghe không rõ	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ ồn ào quá	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	âm nhạc quá lớn	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Tôi đã nói thế mà ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Tôi đã nói rằng tên của bạn có liên quan đến Esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	Thực ra?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	một tin tức cho tôi	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	đó là một tin tức đối với tôi	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	bạn đã nghe về ~ chưa?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	bạn đã nghe nói về Esperanto chưa?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Tôi đã không biết điều đó ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	nhưng tôi không biết rằng tên của tôi có liên quan đến nó	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	Trên thực tế	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	thế nào rồi ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	mối quan hệ thế nào?	how is the relation?	grupo	alternativoj	prononco
level	ho!	Ồ!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	đó là một câu chuyện dài	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	sẽ nói với bạn	will tell you	grupo	alternativoj	prononco
level	se vi volas	nếu bạn muốn	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Tôi sẽ kể cho bạn sau, nếu bạn muốn	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	ở nơi này (ở nơi này)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	quá nhiều tiếng ồn	too much noise	grupo	alternativoj	prononco
