B.zh-tw content.tsv
Level	Esperanto	zh-tw	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	你好！	hello!	grupo	alternativoj	prononco
level	mi estas ~	我是~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	你是誰？	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	我的名字是~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	我很高興	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	我也很高興	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	常來	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	到這個跳舞的地方	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	你常來這個跳舞的地方嗎？	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	不，你呢？	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	我都沒有	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	〜是個有趣的名字	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	是嗎？	is it?	grupo	alternativoj	prononco
level	ĉu ne?	不是嗎？	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	以什麼方式？	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	與~有關	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	它與世界語有關。	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	什麼？	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	我沒聽清楚	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ 太大聲了	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	音樂太大聲	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	我是這麼說的~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	我說你的名字和世界語有關	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	真的嗎？	really?	grupo	alternativoj	prononco
level	novaĵo por mi	給我的消息	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	這對我來說是個好消息	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	你聽過〜嗎？	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	你聽過世界語嗎？	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	我不知道這個~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	但我不知道我的名字與它有關	but I didn't know that my name is related to it	grupo	alternativoj	prononco
