A.lv content.tsv
Level	Esperanto	lv	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	ES tevi	I, you	grupo	alternativoj	prononco
level	estas, estis	(tagadne) ir, esmu, ir (pagātne) bija, bija	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Es esmu ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	tu esi ~	you are ~	grupo	alternativoj	prononco
level	saluton	Sveiki	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	sveiki, es esmu ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	mans, tavs	my, your	grupo	alternativoj	prononco
level	nomo	vārds	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mans vārds, tavs vārds	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	mani sauc ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	tavs vārds ir ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(tagadne) dara, (pagātne) darīja	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(tagadne) bija, bija (nākotne) būs	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	vārds, (objektīvs) nosaukums	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	mana mīlestība	my love	grupo	alternativoj	prononco
level	vi fartas	tu dari ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	kā	how	grupo	alternativoj	prononco
level	kiel vi fartas?	kā tev iet?	how are you doing?	grupo	alternativoj	prononco
level	kio	kas	what	grupo	alternativoj	prononco
level	kio estas via nomo?	kāds ir tavs vārds?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	labi, labi	good, well	grupo	alternativoj	prononco
level	fartas bone	iet labi	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	man iet labi	I am doing well	grupo	alternativoj	prononco
level	kaj	un	and	grupo	alternativoj	prononco
level	bone, kaj vi?	labi un tev?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	līdz ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(tagadne) redz, (pagātne) redzēja	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(pagātne) redzēja, (pagātne) atkal redzēja	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	atkal redzēju, redzēs vēl	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	atkal redzēt, atkal redzēt (mērķis)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	uz tikšanos!	see you again!	grupo	alternativoj	prononco
level	dankon	Paldies	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	paldies un tiekamies atkal!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	uz ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	tev, man	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(tagadne) paldies, (pagātne) pateicās	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Es novērtēju tevi	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	Jā nē	yes, no	grupo	alternativoj	prononco
level	jes, dankon	jā, paldies tev	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	ēd, ēdīs	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	Es neēdu	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	nē, es neēdu	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	skaisti, skaisti	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	vērtīgs (beigas)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	novērtējams, ir vērts pateikties	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	vesels, kopumā	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	viss, (objektīvs) viss	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	nepavisam ne, laipni lūdzam	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	galīgi nē	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	piedot, piedodošs	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	piedošana man	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Man žēl! (Atvainojiet)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Es atvainojos, lūdzu	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	labrīt	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Labrīt	good morning	grupo	alternativoj	prononco
level	bonan nokton	ar labunakti	good night	grupo	alternativoj	prononco
level	bonan sonĝon	Saldus sapņus	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(lai) labs ceļojums jums	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	laba diena!	good day!	grupo	alternativoj	prononco
level	ĉu ~	vai tas ir ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	vai tev iet labi? (kā tev iet?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
