A.pa content.tsv
Level	Esperanto	pa	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	ਮੈਂ, ਤੁਸੀਂ	I, you	grupo	alternativoj	prononco
level	estas, estis	(ਮੌਜੂਦਾ) ਹੈ, ਹਾਂ, ਹਨ (ਅਤੀਤ) ਸੀ, ਸਨ	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	ਮੈਂ ~ ਹਾਂ	I am ~	grupo	alternativoj	prononco
level	vi estas ~	ਤੁਸੀਂ ~ ਹੋ	you are ~	grupo	alternativoj	prononco
level	saluton	ਸਤ ਸ੍ਰੀ ਅਕਾਲ	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	ਹੈਲੋ, ਮੈਂ ਹਾਂ ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	ਮੇਰਾ, ਤੁਹਾਡਾ	my, your	grupo	alternativoj	prononco
level	nomo	ਇੱਕ ਨਾਮ	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	ਮੇਰਾ ਨਾਮ, ਤੁਹਾਡਾ ਨਾਮ	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	ਮੇਰਾ ਨਾਮ ~ ਹੈ	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	ਤੁਹਾਡਾ ਨਾਮ ~ ਹੈ	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(ਵਰਤਮਾਨ) ਕਰਦਾ ਹੈ, (ਅਤੀਤ) ਕਰਦਾ ਹੈ	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(ਵਰਤਮਾਨ) ਸੀ, ਸਨ (ਭਵਿੱਖ ਵਿੱਚ) ਹੋਣਗੇ	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ਇੱਕ ਨਾਮ, ਇੱਕ (ਉਦੇਸ਼) ਨਾਮ	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	ਮੇਰਾ ਪਿਆਰ	my love	grupo	alternativoj	prononco
level	vi fartas	ਤੁਸੀਂ ਕਰ ਰਹੇ ਹੋ ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	ਕਿਵੇਂ	how	grupo	alternativoj	prononco
level	kiel vi fartas?	ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ?	how are you doing?	grupo	alternativoj	prononco
level	kio	ਕੀ	what	grupo	alternativoj	prononco
level	kio estas via nomo?	ਤੁਹਾਡਾ ਨਾਮ ਕੀ ਹੈ?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	ਚੰਗਾ, ਠੀਕ ਹੈ	good, well	grupo	alternativoj	prononco
level	fartas bone	ਚੰਗਾ ਕਰ ਰਿਹਾ ਹੈ	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	ਮੈਂ ਚੰਗਾ ਕਰ ਰਿਹਾ ਹਾਂ	I am doing well	grupo	alternativoj	prononco
level	kaj	ਅਤੇ	and	grupo	alternativoj	prononco
level	bone, kaj vi?	ਠੀਕ ਹੈ ਅਤੇ ਤੁਸੀਂ?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ ਤੱਕ	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(ਵਰਤਮਾਨ) ਵੇਖਦਾ ਹੈ, (ਅਤੀਤ) ਵੇਖਦਾ ਹੈ	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(ਅਤੀਤ) ਦੇਖਿਆ, (ਅਤੀਤ) ਨੇ ਦੁਬਾਰਾ ਦੇਖਿਆ	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	ਦੁਬਾਰਾ ਦੇਖਿਆ, ਦੁਬਾਰਾ ਦੇਖਿਆ ਜਾਵੇਗਾ	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	ਦੁਬਾਰਾ ਵੇਖਣਾ, ਦੁਬਾਰਾ ਵੇਖਣਾ (ਉਦੇਸ਼)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	ਤੁਹਾਨੂੰ ਵੀ ਦੇਖਣ ਨੂੰ!	see you again!	grupo	alternativoj	prononco
level	dankon	ਤੁਹਾਡਾ ਧੰਨਵਾਦ	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	ਤੁਹਾਡਾ ਧੰਨਵਾਦ ਅਤੇ ਤੁਹਾਨੂੰ ਦੁਬਾਰਾ ਮਿਲਾਂਗੇ!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	ਨੂੰ ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	ਤੁਹਾਨੂੰ, ਮੇਰੇ ਲਈ	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(ਮੌਜੂਦਾ) ਧੰਨਵਾਦ, (ਅਤੀਤ) ਧੰਨਵਾਦ ਕੀਤਾ	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	ਮੈਂ ਤੁਹਾਡੀ ਕਦਰ ਕਰਦਾ ਹਾਂ	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	ਹਾਂ ਨਹੀਂ	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ਹਾਂ, ਤੁਹਾਡਾ ਧੰਨਵਾਦ	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	ਖਾਂਦਾ ਹੈ, ਖਾਵੇਗਾ	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	ਮੈਂ ਨਹੀਂ ਖਾਂਦਾ	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	ਨਹੀਂ, ਮੈਂ ਨਹੀਂ ਖਾਂਦਾ	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	ਸੋਹਣਾ, ਸੋਹਣਾ	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	ਸਾਰਥਕ (ਅੰਤ)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	ਸ਼ਲਾਘਾਯੋਗ, ਧੰਨਵਾਦ ਕਰਨ ਯੋਗ	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	ਪੂਰੇ, ਸਮੁੱਚੇ ਤੌਰ 'ਤੇ	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	ਸਾਰੇ, (ਉਦੇਸ਼) ਸਾਰੇ	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	ਬਿਲਕੁਲ ਨਹੀਂ, ਤੁਹਾਡਾ ਸੁਆਗਤ ਹੈ	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	ਬਿਲਕੁਲ ਨਹੀਂ	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	ਮਾਫ਼ ਕਰਨ ਲਈ, ਇੱਕ ਮਾਫ਼ ਕਰਨ ਲਈ	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	ਮੇਰੇ ਲਈ ਮਾਫ਼ ਕਰਨ ਵਾਲਾ	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	ਮੈਨੂੰ ਮੁਆਫ ਕਰੋ! (ਮੈਨੂੰ ਮਾਫ ਕਰਨਾ)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	ਮੈਨੂੰ ਮਾਫ਼ ਕਰਨਾ, ਕਿਰਪਾ ਕਰਕੇ	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	ਇੱਕ ਚੰਗੀ ਸਵੇਰ	a good morning	grupo	alternativoj	prononco
level	bonan matenon	ਸ਼ੁਭ ਸਵੇਰ	good morning	grupo	alternativoj	prononco
level	bonan nokton	ਸ਼ੁਭ ਰਾਤ	good night	grupo	alternativoj	prononco
level	bonan sonĝon	ਮਿੱਠੇ ਸੁਪਨੇ	sweet dream	grupo	alternativoj	prononco
