B.de content.tsv
Level	Esperanto	de	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Hallo!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Ich bin ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	wer bist du?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	mein Name ist ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Ich bin froh	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Ich bin auch froh	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	kommt oft	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	zu diesem Tanzplatz	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	Kommst du oft zu diesem Tanzlokal?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	Nein du?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	mi weder	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ ist ein interessanter Name	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	ist es?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	nicht wahr?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	inwiefern?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	hängt mit ~ zusammen	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	es ist mit Esperanto verwandt.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	Was?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Ich habe nicht gut gehört	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ ist zu laut	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	die Musik ist zu laut	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Das habe ich gesagt ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Ich sagte, dass Ihr Name mit Esperanto verwandt ist	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	Wirklich?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	eine Neuigkeit für mich	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	Das ist eine Neuigkeit für mich	that's a news for me	grupo	alternativoj	prononco
