A.da content.tsv
Level	Esperanto	da	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	jeg, dig	I, you	grupo	alternativoj	prononco
level	estas, estis	(nutid) er, er, er (fortid) var, var	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	jeg er ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	du er ~	you are ~	grupo	alternativoj	prononco
level	saluton	Hej	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	hej, jeg er ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	min din	my, your	grupo	alternativoj	prononco
level	nomo	et navn	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mit navn, dit navn	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	mit navn er ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	dit navn er ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(nutid) gør, (fortid) gjorde	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(nuværende) var, var (fremtiden) vil være	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	et navn, et (objektivt) navn	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	min elskede	my love	grupo	alternativoj	prononco
level	vi fartas	du laver ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	hvordan	how	grupo	alternativoj	prononco
level	kiel vi fartas?	hvordan har du det?	how are you doing?	grupo	alternativoj	prononco
level	kio	hvad	what	grupo	alternativoj	prononco
level	kio estas via nomo?	Hvad hedder du?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	godt så	good, well	grupo	alternativoj	prononco
level	fartas bone	har det godt	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	jeg har det godt	I am doing well	grupo	alternativoj	prononco
level	kaj	og	and	grupo	alternativoj	prononco
level	bone, kaj vi?	fint, og dig?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	indtil ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(nutid) ser, (fortid) så	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(fortid) så, (fortid) så igen	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	så igen, vil se igen	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	se-igen, se-igen (objektiv)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	vi ses!	see you again!	grupo	alternativoj	prononco
level	dankon	tak skal du have	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	tak og på gensyn!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	til ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	til dig, til mig	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(nuværende) tak, (fortid) takkede	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Jeg sætter pris på dig	I appreciate to you	grupo	alternativoj	prononco
