B.ru content.tsv
Level	Esperanto	ru	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	привет!	hello!	grupo	alternativoj	prononco
level	mi estas ~	я ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	кто ты?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	меня зовут ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Я рад	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	я тоже рад	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	часто приходит	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	в это танцевальное место	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	ты часто приходишь в это танцевальное место?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	нет, а ты?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ми тоже	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ интересное имя	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	это?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	не так ли?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	в каком смысле?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	связано с ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	это связано с эсперанто.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	что?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Я плохо слышал	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ слишком громко	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	музыка слишком громкая	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Я сказал это ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Я сказал, что твое имя связано с эсперанто.	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	Действительно?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	новость для меня	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	это новость для меня	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	ты слышал о ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	ты слышал об эсперанто?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Я этого не знал~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	но я не знал, что мое имя с этим связано	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	фактически	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	как ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	как отношения?	how is the relation?	grupo	alternativoj	prononco
level	ho!	ой!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	это долгая история	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	скажу тебе	will tell you	grupo	alternativoj	prononco
level	se vi volas	если ты хочешь	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Я скажу тебе позже, если хочешь	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	в этом месте (в этом месте)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	Слишком много шума	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	в этом месте слишком много шума	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Да, ты прав	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	потанцуем?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	хорошая идея!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	спасибо за приятный вечер	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	Спасибо вам)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	это было очень хорошо	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	музыка нравится ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	музыка мне очень понравилась	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	также мне	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	танцы это очень смешно	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	танцевать с тобой	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	было очень смешно танцевать с тобой	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	вот моя визитка	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	если вы хотите	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	вот моя визитка, если хочешь	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	там тоже есть ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	там еще есть адрес	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	есть адрес веб-сайта	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	адрес сайта с курсом Эспернато	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Спасибо	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Я отправлю тебе электронное письмо	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	хорошо!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	увидимся снова и спокойной ночи!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	Увидимся!	see you!	grupo	alternativoj	prononco
level	aperas en ~	появляется в ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	мессенджер	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ появляется в мессенджере	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	ты тот человек?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	тот человек, который танцевал со мной	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	субботний вечер	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	ты тот человек, который танцевал со мной в субботу вечером?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	Да, это я	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Я рад, что ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Я рад, что вы зашли на сайт	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	тебе это приятно? (вам это нравится?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	да, ура	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	это очень красиво	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	кажется интересным	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	это очень красиво и кажется интересным	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	еще нет ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	не полностью готов	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	оно еще не полностью готово	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	но скоро это будет	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Я понимаю (я вижу)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	но уже есть много вспомогательных инструментов	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	словарь	a dictionary	grupo	alternativoj	prononco
level	superrigardo	обзор	an overview	grupo	alternativoj	prononco
level	ekzerco	акциз	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	примеры слов, обзор, посланник и упражнения	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	обзор грамматики	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	мессенджер и различные упражнения	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	это хорошее начало	it is a good start	grupo	alternativoj	prononco
level	pardonon	прости меня, мне очень жаль	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Мне нужно поговорить с ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	поговорить с другим человеком	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Извините, мне нужно поговорить с другим человеком	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	языковой помощник	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Я ее языковой помощник	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	и теперь она хочет поговорить о ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	поговорить об упражнении	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	скоро вернусь	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Я скоро вернусь к тебе	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	через несколько минут	after several minutes	grupo	alternativoj	prononco
level	finparolis	закончил говорить	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	теперь мы закончили говорить об упражнении	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	между тем, на какое-то время	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Я тем временем читал об эсперанто.	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	я не уверен	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	знает достаточно о ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Я еще недостаточно знаю язык	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	умный ответ	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	посмотрю на сайте	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	и постараюсь немного поучиться	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	ты хочешь быть моим языковым помощником?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	охотно!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	пожалуйста!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	не стоит благодарности, но стоит поцеловать	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	говорит это на эсперанто	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	что? Я не понимаю	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	ты можешь посмотреть в словаре	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	к сожалению	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Мне нужно отключиться от Интернета сейчас	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Я вернусь вечером	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Я думаю, что к тому времени буду на месте	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	идеальный!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	ну, увидимся тогда!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	увидимся позже!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	вечером также в мессенджере	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	и снова здравствуйте! (повторно)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	и снова здравствуйте!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Просмотрел почти все страницы сайта	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	довольно хорошо! потрясающий!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	у меня есть несколько вопросов	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	У тебя есть время?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	да, я свободен вечером	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	так что пишите свои вопросы	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Я постараюсь ответить	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Я читал, что у эсперанто есть культура.	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	однако я не понимаю ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	где я могу найти такую культуру	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	ты найдешь везде, где есть ~	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	любое место, где есть люди, говорящие на эсперанто	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	но никто не использует эсперанто	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	верно!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	но люди, говорящие на эсперанто	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	часто путешествую и встречаюсь с другими эсперантистами	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	во время этих встреч	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	они используют язык в самых разных ситуациях	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	так что там ты найдешь ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	ты найдешь культуру	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	найдете культуру эсперанто	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	окей, а музыка существует?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	музыка, литература, театр	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	и т. д.	etc	grupo	alternativoj	prononco
level	same kiel ~	то же, что ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	то же, что и для других языков	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	количество не такое большое	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	такой же большой, как на национальных языках	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	но это не важно	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	По крайней мере не для меня	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	если хочешь послушать ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	послушать песню на эсперанто	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	вот песня &quot;Лиза рисует картинки&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	слушает песню	listens to the song	grupo	alternativoj	prononco
level	ne malbone	неплохо	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	и вы найдете много книг на эсперанто	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	смотрит книги	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	достаточно много	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	ты много читаешь на эсперанто?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	да, иногда (время от времени)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	если ты когда-нибудь выучишь язык	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Я порекомендую вам несколько хороших книг	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	это примерно ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	другой мой вопрос о моем имени	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	ты сказал ранее, что ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	имеет отношение к ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	сказал, что это имеет отношение к эсперанто	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	о да, об этом	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	мужчина с именем ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	когда-то жил человек с именем ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	он был очень активен в движении эсперанто	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	когда это было совершенно новое	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	перевел книгу на ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	и перевел многие книги на эсперанто.	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	и это сделало его знаменитым?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	один из самых важных для эсперанто того времени	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	и он оказал большое влияние на стиль языка	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	нет, конечно, он был важен и имел влияние	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	однако он внезапно отказался от движения	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Я представляю это ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Думаю, для многих это было большим шоком.	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	почему он ушел из эсперанто?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Я верю в это ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	он был недоволен эсперантистами	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	он сказал что-то похожее на ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Эсперанто должны изучать сами эсперантисты!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	что он хотел сказать ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	что он хотел этим сказать?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	вполне вероятно, что ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	люди плохо говорили на эсперанто	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	вполне вероятно, что люди говорили плохо	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	в 1911 году он оставил эсперанто	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	но я думаю, что ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	выше	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	сегодня уровень языка выше	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	языковой уровень эсперантистов	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	но я думаю, что сегодня уровень выше	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	поэтому мне нужно хорошо выучить язык	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	за то, что ты хороший человек	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	и вам следует использовать простой стиль	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	потому что это было очень важно для него	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	это мне нравится (мне это нравится)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	в эсперанто даже есть слово ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	есть даже слово &quot;кабэй&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	отказаться от движения	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	слово «кабэй», что означает отказ от движения	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	Это интересно!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	теперь я знаю одно слово на эсперанто	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	никогда не забуду	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	и я, наверное, никогда этого не забуду	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	в кафе» через несколько недель	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	ему удалось выучить эсперанто	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	и они используют язык	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	пригласить, приглашение	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	вот, смотри, приглашение на IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	что? И-йо-что?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	молодой человек, группа молодых людей	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK — международный молодежный конгресс.	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Я планирую пойти на это	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	ты тоже хочешь пойти?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	ну, &quot;конгресс&quot; звучит не очень интересно	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	но это (интересно)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	не думай о чем-то скучном, вялый съезд	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	это примерно ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	это просто знакомство с молодыми людьми	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	встреча с молодыми людьми из многих стран	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Там будет от 300 до 400 человек.	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	там вероятно будет от 300 до 400 человек	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	почти все	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	и почти все будут говорить на эсперанто	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	не говорит хорошо	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ок, но я плохо говорю на эсперанто	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	это не имеет значения	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	можно принять участие ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	принять участие в курсах эсперанто там	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	обычно	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	обычно есть два уровня	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	люди, которые уже выучили язык	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	один для начинающих	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	а другой для тех, кто уже выучил язык	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	да, что?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	ты сказал &quot;обычно&quot;	you said, "usually"	grupo	alternativoj	prononco
