C.he content.tsv
Level	Esperanto	he	en-us	Grupo	Alternativoj	Pronoco
level	doni	לתת	to give	grupo	alternativoj	prononco
level	mi	אני, אני	I, me	grupo	alternativoj	prononco
level	vi	אתה	you	grupo	alternativoj	prononco
level	havi	להיות, ללבוש, לשאת, להחזיק	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	היא	she	grupo	alternativoj	prononco
level	li	הוא	he	grupo	alternativoj	prononco
level	ili	הֵם	they	grupo	alternativoj	prononco
level	ĝi	זה	it	grupo	alternativoj	prononco
level	oni	אחד, מישהו, מישהו	one, someone, somebody	grupo	alternativoj	prononco
level	ni	אנחנו	we, us	grupo	alternativoj	prononco
level	si	עַצמוֹ	oneself	grupo	alternativoj	prononco
level	mem	בעצמו	by oneself	grupo	alternativoj	prononco
level	ĝis ~	עד ~, עד ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	של ~	of ~	grupo	alternativoj	prononco
level	da ~	(הרבה) של ~, (רבים) של ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffix) דבר, ביטוי קונקרטי	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	קרוב, קרוב, בקרוב, קרוב	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffix) פעולה חוזרת, פעולה מתמשכת	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffix) זמן הווה	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffix) זמן עבר	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	להיות	to be	grupo	alternativoj	prononco
level	-os	(suffix) לשון עתיד	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) לפני ~, לפני ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	לעשות, לעשות	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) גם	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	אחרי ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefix) מול	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(suffix) אדם בעל תכונה כלשהי	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(suffix) נְקֵבָה	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(suffix) הווה פעיל, הוא ~ing, מישהו שהוא ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffix) עבר פעיל, היה ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(suffix) עתיד פעיל, יהיה ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	ו	and	grupo	alternativoj	prononco
level	aŭ	אוֹ	or	grupo	alternativoj	prononco
level	alta	גבוה, גבוה	high, tall	grupo	alternativoj	prononco
level	jes	כן	yes	grupo	alternativoj	prononco
level	ne	לא לא	not, no	grupo	alternativoj	prononco
level	tiom	כל כך הרבה, כמות כזו, כמות כזו	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	טוֹב	good	grupo	alternativoj	prononco
level	kiom	כמה כמה	how much, how many	grupo	alternativoj	prononco
level	ofte	לעתים קרובות, לעתים קרובות	often, frequently	grupo	alternativoj	prononco
level	iom	קצת, יותר נכון, קצת, קצת	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	חדש, רומן	new, novel	grupo	alternativoj	prononco
level	-at-	(suffix) חלק נוכח פסיבי	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(suffix) חלק עבר פסיבי	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(suffix) חלק עתידי פסיבי	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	מאוד, די, מאוד	very, quite, very much	grupo	alternativoj	prononco
level	tro	מדי, מוגזם, יותר מדי	too, excessively, too much	grupo	alternativoj	prononco
