B.he content.tsv
Level	Esperanto	he	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	שלום!	hello!	grupo	alternativoj	prononco
level	mi estas ~	אני ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	מי אתה?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	שמי הוא ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	אני שמח	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	גם אני שמח	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	לעתים קרובות מגיע	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	למקום הריקוד הזה	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	אתה מגיע לעתים קרובות למקום הריקוד הזה?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	לא, אתה?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	גם אני לא	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ הוא שם מעניין	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	האם זה?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	נכון?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	באיזו דרך?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	קשור ל~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	זה קשור לאספרנטו.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	מה?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	לא שמעתי טוב	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ רועש מדי	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	המוזיקה רועשת מדי	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	אמרתי את זה ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	אמרתי שהשם שלך קשור לאספרנטו	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	בֶּאֱמֶת?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	בשורה בשבילי	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	אלו חדשות עבורי	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	שמעת על ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	שמעת על אספרנטו?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	לא ידעתי את זה ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	אבל לא ידעתי שהשם שלי קשור לזה	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	למעשה	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	מה שלום ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	איך היחס	how is the relation?	grupo	alternativoj	prononco
level	ho!	הו!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	זה סיפור ארוך	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	אספר לך	will tell you	grupo	alternativoj	prononco
level	se vi volas	אם אתה רוצה	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	אני אספר לך מאוחר יותר, אם תרצה	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	במקום הזה (במיקום הזה)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	יותר מדי רעש	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	במקום הזה יש יותר מדי רעש	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	כן אתה צודק	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	הנרקוד?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	רעיון טוב!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	תודה על ערב נעים	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	תודה לך)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	זה היה ממש טוב	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	מוסיקה נעימה ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	המוזיקה מאוד נעימה לי	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	גם אליי	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	ריקוד זה מאוד מצחיק	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	לרקוד איתך	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	זה היה מאוד מצחיק לרקוד איתך	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	הנה כרטיס השם שלי	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	אם אתה רוצה את זה	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	הנה הכרטיס שלי, אם אתה רוצה	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	על זה יש גם ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	על זה יש גם כתובת	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	יש כתובת לאתר	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	כתובת לאתר עם קורס אספרנטו	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	תודה	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	אני אשלח לך מייל	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	בסדר!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	נתראה שוב, ולילה טוב!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	נתראה!	see you!	grupo	alternativoj	prononco
level	aperas en ~	מופיע ב-~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	שליח מיידי	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ מופיע במסנג'ר המיידי	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	אתה האדם הזה?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	האדם הזה, שרקד איתי	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	במוצאי שבת	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	אתה האדם הזה שרקד איתי במוצאי שבת?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	כן זה אני	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	אני שמח ש~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	אני שמח שהגעת לאתר	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	זה נעים לך? (אתה אוהב את זה?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	כן, כן	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	זה מאוד יפה	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	נראה מעניין	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	זה מאוד יפה ונראה מעניין	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	עדיין לא ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	לא לגמרי מוכן	is not completely ready	grupo	alternativoj	prononco
