B.te content.tsv
Level	Esperanto	te	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	హలో!	hello!	grupo	alternativoj	prononco
level	mi estas ~	నేను ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	నీవెవరు?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	నా పేరు ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	నేను సంతోషం గా ఉన్న	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	నేను కూడా సంతోషిస్తున్నాను	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	తరచుగా వస్తుంది	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	ఈ నృత్య ప్రదేశానికి	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	మీరు తరచుగా ఈ డ్యాన్స్ ప్లేస్‌కి వస్తుంటారా?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	లేదు, మీరు చేస్తారా?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	నేను కూడా కాదు	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ అనేది ఆసక్తికరమైన పేరు	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	ఔనా?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	కాదా?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	ఏ విధంగా?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~కి సంబంధించినది	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	ఇది ఎస్పెరాంటోకి సంబంధించినది.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	ఏమిటి?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	నాకు బాగా వినిపించలేదు	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ చాలా బిగ్గరగా ఉంది	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	సంగీతం చాలా బిగ్గరగా ఉంది	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	~ అని చెప్పాను	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	మీ పేరు ఎస్పెరాంటోకి సంబంధించినది అని చెప్పాను	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	నిజంగా?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	నాకు ఒక వార్త	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	అది నాకు ఒక వార్త	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	మీరు ~ గురించి విన్నారా?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	మీరు ఎస్పరాంటో గురించి విన్నారా?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	అది నాకు తెలియదు ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	కానీ నా పేరు దానికి సంబంధించినదని నాకు తెలియదు	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	నిజానికి	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	ఎలా ఉంది ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	సంబంధం ఎలా ఉంది?	how is the relation?	grupo	alternativoj	prononco
level	ho!	ఓహ్!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	అది ఒక పెద్ద కథ	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	మీకు చెప్తాను	will tell you	grupo	alternativoj	prononco
level	se vi volas	మీకు కావాలంటే	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	కావాలంటే తర్వాత చెబుతాను	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	ఈ స్థలంలో (ఈ ప్రదేశంలో)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	చాలా ఎక్కువ శబ్దం	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	ఈ స్థలంలో, చాలా శబ్దం ఉంది	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	అవును మీరు సరి చెప్పారు	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	మనము నృత్యం చేద్దామా?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	మంచి ఆలోచన!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	ఒక ఆహ్లాదకరమైన సాయంత్రం ధన్యవాదాలు	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	ధన్యవాదాలు (మీకు)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	అది చాలా బాగుంది	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	ఒక సంగీతం ఆహ్లాదకరంగా ఉంది ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	సంగీతం నాకు చాలా ఆహ్లాదకరంగా ఉంది	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	నాకు కూడా	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	డ్యాన్స్ చాలా ఫన్నీగా ఉంటుంది	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	మీతో నృత్యం చేయడానికి	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	మీతో డాన్స్ చేయడం చాలా ఫన్నీగా ఉంది	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	ఇదిగో నా పేరు కార్డు	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	మీకు కావాలంటే	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	మీకు కావాలంటే ఇదిగో నా కార్డ్	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	దానిపై ~ కూడా ఉంది	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	దానిపై చిరునామా కూడా ఉంది	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	ఒక వెబ్‌సైట్‌కి చిరునామా ఉంది	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	Espernato కోర్సుతో సైట్‌కి చిరునామా	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	ధన్యవాదాలు	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	నేను మీకు ఈ-మెయిల్ పంపుతాను	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	సరే!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	మళ్ళీ కలుద్దాం, శుభరాత్రి!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	మళ్ళి కలుద్దాం!	see you!	grupo	alternativoj	prononco
level	aperas en ~	~లో కనిపిస్తుంది	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	ఒక తక్షణ దూత	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ తక్షణ సందేశంలో కనిపిస్తుంది	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	నువ్వు ఆ వ్యక్తివా?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	నాతో డ్యాన్స్ చేసిన వ్యక్తి	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	శనివారం రాత్రి	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	శనివారం రాత్రి నాతో డ్యాన్స్ చేసిన వ్యక్తి నువ్వేనా?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	అవును అది నేనే	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	నేను సంతోషిస్తున్నాను ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	మీరు సైట్‌కి వచ్చినందుకు నేను సంతోషిస్తున్నాను	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	ఇది మీకు సంతోషదాయకంగా ఉందా? (నీకు నచ్చిందా?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	అవును, అవును	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	అది చాలా అందంగా ఉంది	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	ఆసక్తికరంగా అనిపిస్తుంది	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	ఇది చాలా అందంగా ఉంది మరియు ఆసక్తికరంగా ఉంది	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ఇంకా లేదు ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	పూర్తిగా సిద్ధంగా లేదు	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	ఇది ఇంకా పూర్తిగా సిద్ధంగా లేదు	it is not yet totally ready	grupo	alternativoj	prononco
