B.eo content.tsv
Level	Esperanto	eo	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	saluton!	hello!	grupo	alternativoj	prononco
level	mi estas ~	mi estas ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	kiu vi estas?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	mia nomo estas ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	mi ĝojas	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	ankaŭ mi ĝojas	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	ofte venas	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	al tiu ĉi dancejo	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	ĉu vi ofte venas al tiu ĉi dancejo?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	ne, ĉu vi?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ankaŭ mi ne	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ estas interesa nomo	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	ĉu?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	ĉu ne?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	en kiu maniero?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	rilatas al ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	ĝi rilatas al Esperanto	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	kio?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	mi ne aŭdis bone	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ estas tro laŭta	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	la muziko estas tro laŭta	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	mi diris, ke ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	mi diris ke via nomo rilatas al Esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	ĉu vere?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	novaĵo por mi	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	tio estas novaĵo por mi	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	ĉu vi aŭdis pri ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	ĉu vi aŭdis pri Esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	mi ne sciis, ke ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	sed mi ne sciis ke mia nomo rilatas al ĝi	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	fakte	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	kia estas ~ ?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	kia estas la rilato?	how is the relation?	grupo	alternativoj	prononco
level	ho!	ho!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	tio estas longa rakonto	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	rakontos al vi	will tell you	grupo	alternativoj	prononco
level	se vi volas	se vi volas	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	mi rakontos al vi poste, se vi volas	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	en ĉi tiu loko	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	tro da bruo	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	en ĉi tiu loko estas tro da bruo	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	jes, vi pravas	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	ĉu ni dancu?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	bona ideo!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	dankon por agrabla vespero	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	dankon al vi	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	estis vere bona	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	muziko plaĉas al ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	la muziko ege plaĉis al mi	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	ankaŭ al mi	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	danci estis tre amuze	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	danci kun vi	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	estis tre amuze danci kun vi	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	jen mia nomkarto	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	se vi volas ĝin	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	jen mia karto, se vi volas	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	sur ĝi estas ankaŭ ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	sur ĝi estas ankaŭ adreso	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	estas ankaŭ adreso al paĝaro	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	adreso al paĝaro kun Esperanto-kurso	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	dankon	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	mi retpoŝtos al vi	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	bone!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	ĝis kaj bonan nokton!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	ĝis la!	see you!	grupo	alternativoj	prononco
level	aperas en ~	aperas en ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	tujmesaĝilo	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ aperas en la tujmesaĝilo	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	ĉu vi estas tiu?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	tiu, kiu dancis kun mi	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	sabata nokto	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	jes, estas mi	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	mi ĝojas, ke ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	mi ĝojas, ke vi venis al la paĝaro	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	ĉu ĝi plaĉas al vi?	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	jes ja	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	ĝi estas tre bela	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	ŝajnas interesa	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	ĝi estas tre bela kaj ŝajnas interesa	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ankoraŭ ne ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	ne estas tute preta	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	ĝi ankoraŭ ne estas tute preta	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	sed baldaŭ estos	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	mi komprenas	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	sed jam estas multaj helpiloj	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	vortaro	a dictionary	grupo	alternativoj	prononco
level	superrigardo	superrigardo	an overview	grupo	alternativoj	prononco
level	ekzerco	ekzerco	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	superrigardo de la gramatiko	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	tujmesaĝilo kaj diversaj ekzercoj	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	estas bona komenco	it is a good start	grupo	alternativoj	prononco
level	pardonon	pardonon	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	mi devas paroli kun ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	paroli kun alia persono	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	pardonon, mi devas paroli kun alia persono	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	lingvohelpanto	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	mi estas ŝia "lingvohelpanto"	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	kaj nun ŝi volas paroli pri ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	paroli pri unu ekzerco	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	baldaŭ revenos	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	mi baldaŭ revenos al vi	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	post kelkaj minutoj	after several minutes	grupo	alternativoj	prononco
level	finparolis	finparolis	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	nun ni finparolis pri la ekzerco	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	dume	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	mi legis pri Esperanto dume	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	mi ne certas	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	scias sufiĉe pri ~	knows enough about ~	grupo	alternativoj	prononco
