B.ro content.tsv
Level	Esperanto	ro	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Buna ziua!	hello!	grupo	alternativoj	prononco
level	mi estas ~	eu sunt ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	Cine eşti tu?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	numele meu este ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Mă bucur	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Si eu ma bucur	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	vine adesea	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	la acest loc de dans	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	vii des în acest loc de dans?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	nu, tu?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	nici eu	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ este un nume interesant	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	este?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	nu-i aşa?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	in ce fel?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	este legat de ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	are legătură cu Esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	ce?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	nu am auzit bine	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ este prea tare	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	muzica este prea tare	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Am spus că ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Am spus că numele tău are legătură cu Esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	într-adevăr?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	o veste pentru mine	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	asta e o veste pentru mine	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	ai auzit de ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	ai auzit de Esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Nu știam că ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	dar nu știam că numele meu are legătură cu el	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	de fapt	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	cum este ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	cum este relatia?	how is the relation?	grupo	alternativoj	prononco
level	ho!	Oh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	asta e o poveste lunga	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	iti voi spune	will tell you	grupo	alternativoj	prononco
level	se vi volas	dacă doriți	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Îți spun mai târziu, dacă vrei	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	în acest loc (în acest loc)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	prea mult zgomot	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	în acest loc, este prea mult zgomot	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	da, ai dreptate	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	sa dansam?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	bună idee!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	multumesc pentru o seara placuta	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	iti multumesc)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	a fost foarte bine	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	o muzică îi este plăcută ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	muzica mi-a fost foarte plăcută	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	de asemenea la mine	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	dansul este foarte amuzant	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	sa dansez cu tine	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	a fost foarte amuzant să dansez cu tine	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	iată cartea mea de vizită	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	daca o vrei	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	iată cardul meu, dacă vrei	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	pe el există și ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	pe el este și o adresă	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	există o adresă către un site web	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	o adresă către un site cu curs de Espernato	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	mulțumesc	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Îți voi trimite un e-mail	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Bine!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	ne revedem si noapte buna!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	te văd!	see you!	grupo	alternativoj	prononco
