B.no content.tsv
Level	Esperanto	no	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Hallo!	hello!	grupo	alternativoj	prononco
level	mi estas ~	jeg er ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	Hvem er du?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	jeg heter ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	jeg er glad	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Jeg er glad også	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	kommer ofte	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	til dette dansestedet	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	kommer du ofte til dette dansestedet?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	Nei gjør du?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	jeg heller ikke	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ er et interessant navn	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	er det?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	er det ikke?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	på hvilken måte?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	er relatert til ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	det er relatert til esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	hva?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Jeg hørte ikke godt	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ er for høyt	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	musikken er for høy	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Jeg sa at ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Jeg sa at navnet ditt er relatert til esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	egentlig?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	en nyhet for meg	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	det er en nyhet for meg	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	hørte du om ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	hørte du om esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Jeg visste ikke at ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	men jeg visste ikke at navnet mitt er relatert til det	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	faktisk	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	hvordan er ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	hvordan er forholdet?	how is the relation?	grupo	alternativoj	prononco
level	ho!	Åh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	det er en lang historie	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	vil fortelle deg	will tell you	grupo	alternativoj	prononco
level	se vi volas	hvis du vil	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Jeg skal fortelle deg senere, hvis du vil	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	på dette stedet (på dette stedet)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	for mye lyd	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	på dette stedet er det for mye støy	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Ja du har rett	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	skal vi danse?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	god idé!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	takk for en hyggelig kveld	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	takk til deg)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	det var veldig bra	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	en musikk er behagelig for ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	musikken var veldig behagelig for meg	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	også til meg	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	dans er veldig morsomt	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	å danse med deg	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	det var veldig morsomt å danse med deg	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	her er visittkortet mitt	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	hvis du vil ha det	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	her er kortet mitt, hvis du vil	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	på den er det også ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	på den er det også en adresse	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	det er en adresse til et nettsted	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	en adresse til et nettsted med Espernato-kurs	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Takk skal du ha	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Jeg sender deg en e-post	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	greit!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	sees igjen, og god natt!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	ser deg!	see you!	grupo	alternativoj	prononco
level	aperas en ~	vises i ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	en instant messenger	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ vises i chatten	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	er du den personen?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	den personen som hadde danset med meg	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Lørdag kveld	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	er du den personen som danset med meg lørdag kveld?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	Ja det er meg	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Jeg er glad for at ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Jeg er glad for at du kom til siden	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	er det gledelig for deg? (liker du det?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	ja, ja	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	det er veldig vakkert	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	virker interessant	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	det er veldig vakkert og virker interessant	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ikke ennå ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	er ikke helt klar	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	den er ennå ikke helt klar	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	men snart blir det det	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Jeg forstår (jeg skjønner)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	men det finnes allerede mange hjelpeverktøy	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	en ordbok	a dictionary	grupo	alternativoj	prononco
level	superrigardo	et overblikk	an overview	grupo	alternativoj	prononco
level	ekzerco	en avgift	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	eksempelord, oversikt, messanger og exerces	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	en oversikt over grammatikken	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	en instant messenger og ulike øvelser	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	det er en god start	it is a good start	grupo	alternativoj	prononco
level	pardonon	unnskyld meg, jeg beklager	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Jeg må snakke med ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	å snakke med en annen person	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Beklager, jeg burde snakke med en annen person	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	en språkhjelper	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Jeg er hennes språkhjelper	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	og nå vil hun snakke om ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	å snakke om en øvelse	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	kommer snart tilbake	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Jeg kommer snart tilbake til deg	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	etter flere minutter	after several minutes	grupo	alternativoj	prononco
level	finparolis	ferdig med å snakke	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	nå er vi ferdige med å snakke om øvelsen	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	i mellomtiden, en stund	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Jeg leste om esperanto i mellomtiden	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Jeg er ikke sikker	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	vet nok om ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Jeg kan ikke nok språket ennå	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	et smart svar	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Jeg skal se på siden	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	og skal prøve å lære litt	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	vil du være min språkhjelper?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	villig!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	værsågod!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	ikke verdt en takk, men verdt et kyss	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	sier det på esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	hva? Jeg forstår ikke	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	du kan se i en ordbok	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	dessverre	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Jeg må gå fra Internett nå	I must go off from Internet now	grupo	alternativoj	prononco
