A.sk content.tsv
Level	Esperanto	sk	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	ja, ty	I, you	grupo	alternativoj	prononco
level	estas, estis	(prítomný) je, som, sú (minulý) bol, bol	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Ja som ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	ty si ~	you are ~	grupo	alternativoj	prononco
level	saluton	Ahoj	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	ahoj ja som ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	môj tvoj	my, your	grupo	alternativoj	prononco
level	nomo	meno	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	moje meno, tvoje meno	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	moje meno je ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	vaše meno je ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(prítomný) robí, (minulý) robil	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(prítomný) bol, bol (budúcnosť) bude	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	meno, (objektívne) meno	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	moja láska	my love	grupo	alternativoj	prononco
level	vi fartas	robíš ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	ako	how	grupo	alternativoj	prononco
level	kiel vi fartas?	ako sa máš?	how are you doing?	grupo	alternativoj	prononco
level	kio	čo	what	grupo	alternativoj	prononco
level	kio estas via nomo?	ako sa voláš?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	dobre, dobre	good, well	grupo	alternativoj	prononco
level	fartas bone	darí sa dobre	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	Ja som na tom dobre	I am doing well	grupo	alternativoj	prononco
level	kaj	a	and	grupo	alternativoj	prononco
level	bone, kaj vi?	dobre a ty?	fine, and you?	grupo	alternativoj	prononco
