level	doni	প্রদান করা	to give	grupo	0    	0000-00-00 00:00:00
level	mi	আমি, আমি	I, me	grupo	0    	0000-00-00 00:00:00
level	vi	আপনি	you	grupo	0    	0000-00-00 00:00:00
level	havi	আছে, পরতে, বহন, মালিকানাধীন	to have, to wear, to carry, to own	grupo	0    	0000-00-00 00:00:00
level	ŝi	সে	she	grupo	0    	0000-00-00 00:00:00
level	li	তিনি	he	grupo	0    	0000-00-00 00:00:00
level	ili	তারা	they	grupo	0    	0000-00-00 00:00:00
level	ĝi	এটা	it	grupo	0    	0000-00-00 00:00:00
level	oni	একজন, কেউ, কেউ	one, someone, somebody	grupo	0    	0000-00-00 00:00:00
level	ni	আমরা আমাদের	we, us	grupo	0    	0000-00-00 00:00:00
level	si	নিজেকে	oneself	grupo	0    	0000-00-00 00:00:00
level	mem	নিজের দ্বারা	by oneself	grupo	0    	0000-00-00 00:00:00
level	ĝis ~	~ পর্যন্ত, ~ পর্যন্ত	upto ~, until ~	grupo	0    	0000-00-00 00:00:00
level	de ~	এর ~	of ~	grupo	0    	0000-00-00 00:00:00
level	da ~	(অনেক) এর ~, (অনেক) এর ~	(much) of ~, (many) of ~	grupo	0    	0000-00-00 00:00:00
level	-aĵo	(প্রত্যয়) জিনিস, কংক্রিট প্রকাশ	(suffix)  thing, concrete manifestation	grupo	0    	0000-00-00 00:00:00
level	proksima	কাছাকাছি, কাছাকাছি, শীঘ্রই, কাছাকাছি	near, close to, soon, nearby	grupo	0    	0000-00-00 00:00:00
level	-adi	(প্রত্যয়) পুনরাবৃত্তিমূলক কর্ম, স্থায়ী কর্ম	(suffix)  repetitive action, lasting action	grupo	0    	0000-00-00 00:00:00
level	-as	(প্রত্যয়) বর্তমান কাল	(suffix)  present tense	grupo	0    	0000-00-00 00:00:00
level	-is	(প্রত্যয়) অতীত কাল	(suffix)  past tense	grupo	0    	0000-00-00 00:00:00
level	esti	হতে	to be	grupo	0    	0000-00-00 00:00:00
level	-os	(প্রত্যয়) ভবিষ্যৎ কাল	(suffix)  future tense	grupo	0    	0000-00-00 00:00:00
level	antaŭ ~	(অব্যয়) ~ এর আগে, ~ এর সামনে	(preposition)  before ~, in front of ~	grupo	0    	0000-00-00 00:00:00
level	fari	করতে, করতে	to make, to do	grupo	0    	0000-00-00 00:00:00
level	ankaŭ ~	(অব্যয়) এছাড়াও, খুব	(preposition)  also, too	grupo	0    	0000-00-00 00:00:00
level	post ~	~ পরে	after ~	grupo	0    	0000-00-00 00:00:00
level	mal-	(উপসর্গ) বিপরীত	(prefix)  opposite	grupo	0    	0000-00-00 00:00:00
level	-ul-	(প্রত্যয়) কিছু বৈশিষ্ট্যের একজন ব্যক্তি	(suffix)  a person of some trait	grupo	0    	0000-00-00 00:00:00
level	-in-	(প্রত্যয়) মহিলা	(suffix)  female	grupo	0    	0000-00-00 00:00:00
level	-ant-	(প্রত্যয়) সক্রিয় বর্তমান, is ~ing, কেউ যিনি ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	0    	0000-00-00 00:00:00
level	-int-	(প্রত্যয়) সক্রিয় অতীত, ছিল ~ing	(suffix)  active past, was ~ing	grupo	0    	0000-00-00 00:00:00
level	-ont-	(প্রত্যয়) সক্রিয় ভবিষ্যৎ, হবে ~ing	(suffix)  active future, will be ~ing	grupo	0    	0000-00-00 00:00:00
level	kaj (k.)	এবং	and	grupo	0    	0000-00-00 00:00:00
level	aŭ	বা	or	grupo	0    	0000-00-00 00:00:00
level	alta	উঁচু লম্বা	high, tall	grupo	0    	0000-00-00 00:00:00
level	jes	হ্যাঁ	yes	grupo	0    	0000-00-00 00:00:00
level	ne	না, না	not, no	grupo	0    	0000-00-00 00:00:00
level	tiom	যে পরিমাণ, এত পরিমাণ, সেই পরিমাণ	that much, such amount, that amount	grupo	0    	0000-00-00 00:00:00
level	bona	ভাল	good	grupo	0    	0000-00-00 00:00:00
level	kiom	কত দাম কত গুলো	how much, how many	grupo	0    	0000-00-00 00:00:00
level	ofte	প্রায়ই, ঘন ঘন	often, frequently	grupo	0    	0000-00-00 00:00:00
level	iom	একটু, বরং, কিছু, কিছুটা	a little, rather, some, somewhat	grupo	0    	0000-00-00 00:00:00
level	nova	নতুন, উপন্যাস	new, novel	grupo	0    	0000-00-00 00:00:00
level	-at-	(প্রত্যয়) নিষ্ক্রিয় বর্তমান কণা	(suffix)  passive present participle	grupo	0    	0000-00-00 00:00:00
level	-it-	(প্রত্যয়) নিষ্ক্রিয় অতীত কণা	(suffix)  passive past participle	grupo	0    	0000-00-00 00:00:00
level	-ot-	(প্রত্যয়) নিষ্ক্রিয় ভবিষ্যত কণা	(suffix)  passive future participle	grupo	0    	0000-00-00 00:00:00
level	tre	খুব, বেশ, খুব	very, quite, very much	grupo	0    	0000-00-00 00:00:00
level	tro	খুব, অত্যধিক, খুব বেশি	too, excessively, too much	grupo	0    	0000-00-00 00:00:00
level	tamen	যাইহোক, তবুও, কিন্তু, তবুও	however, nonetheless, but, nevertheless	grupo	0    	0000-00-00 00:00:00
