B.sl content.tsv
Level	Esperanto	sl	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	zdravo!	hello!	grupo	alternativoj	prononco
level	mi estas ~	jaz sem ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	kdo si	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	moje ime je ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Sem vesel	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Tudi jaz sem vesela	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	pogosto pride	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	na to plesišče	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	pogosto prideš na to plesišče?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	ne, kajne?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	jaz tudi ne	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ je zanimivo ime	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	ali je?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	kajne?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	v kakšnem smislu?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	je povezano s ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	je povezano z esperantom.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	kaj?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Nisem dobro slišal	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ je preglasno	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	glasba je preglasna	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	To sem rekel ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Rekel sem, da je vaše ime povezano z esperantom	I said that your name is related to Esperanto	grupo	alternativoj	prononco
