A.mr content.tsv
Level	Esperanto	mr	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	मी, तू	I, you	grupo	alternativoj	prononco
level	estas, estis	(वर्तमान) आहे, am, आहेत (भूतकाळ) होते, होते	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	मी ~ आहे	I am ~	grupo	alternativoj	prononco
level	vi estas ~	तू आहेस ~	you are ~	grupo	alternativoj	prononco
level	saluton	नमस्कार	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	नमस्कार, मी आहे ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	माझे तुमचे	my, your	grupo	alternativoj	prononco
level	nomo	नाव	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	माझे नाव, तुझे नाव	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	माझे नाव ~ आहे	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	तुझे नाव ~ आहे	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(वर्तमान) करते, (भूतकाळ) केले	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(वर्तमान) होते, होते (भविष्यातील) असतील	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	एक नाव, एक (उद्देश) नाव	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	माझे प्रेम	my love	grupo	alternativoj	prononco
level	vi fartas	तुम्ही करत आहात ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	कसे	how	grupo	alternativoj	prononco
level	kiel vi fartas?	तुम्ही कसे आहात?	how are you doing?	grupo	alternativoj	prononco
level	kio	काय	what	grupo	alternativoj	prononco
level	kio estas via nomo?	तुझं नाव काय आहे?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	चांगले चांगले	good, well	grupo	alternativoj	prononco
level	fartas bone	चांगले करत आहे	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	मी मजेत आहे	I am doing well	grupo	alternativoj	prononco
level	kaj	आणि	and	grupo	alternativoj	prononco
level	bone, kaj vi?	ठीक आहे, आणि तू?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ पर्यंत	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(वर्तमान) पाहतो, (भूतकाळ) पाहिले	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(भूतकाळ) पाहिले, (भूतकाळ) पुन्हा पाहिले	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	पुन्हा पाहिले, पुन्हा पाहीन	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	पुन्हा पाहणे, पुन्हा पाहणे (उद्दिष्ट)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	पुन्हा भेटू!	see you again!	grupo	alternativoj	prononco
level	dankon	धन्यवाद	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	धन्यवाद आणि पुन्हा भेटू!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	ते ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	तुला, मला	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(वर्तमान) धन्यवाद, (भूतकाळ) धन्यवाद	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	मी तुमचे कौतुक करतो	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	होय नाही	yes, no	grupo	alternativoj	prononco
level	jes, dankon	होय, थँक	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	खातो, खातो	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	मी खात नाही	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	नाही, मी खात नाही	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	सुंदर, सुंदर	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	सार्थक (समाप्त)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	कौतुकास्पद, आभार मानण्यासारखे आहे	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	संपूर्ण, संपूर्ण	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	सर्व, (उद्दिष्ट) सर्व	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	अजिबात नाही, तुमचे स्वागत आहे	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	पूर्णपणे नाही	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	क्षमा करणे, क्षमा करणे	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	मला क्षमाशील	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	मला माफ करा! (मला क्षमा)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	मला माफ करा, कृपया	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	शुभ सकाळ	a good morning	grupo	alternativoj	prononco
level	bonan matenon	शुभ प्रभात	good morning	grupo	alternativoj	prononco
level	bonan nokton	शुभ रात्री	good night	grupo	alternativoj	prononco
level	bonan sonĝon	गोड स्वप्न	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	तुमची सहल चांगली जावो	(have) a good trip, to you	grupo	alternativoj	prononco
