C.tr content.tsv
Level	Esperanto	tr	en-us	Grupo	Alternativoj	Pronoco
level	doni	vermek	to give	grupo	alternativoj	prononco
level	mi	ben, ben	I, me	grupo	alternativoj	prononco
level	vi	Sen	you	grupo	alternativoj	prononco
level	havi	sahip olmak, giymek, taşımak, sahip olmak	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	o	she	grupo	alternativoj	prononco
level	li	O	he	grupo	alternativoj	prononco
level	ili	Onlar	they	grupo	alternativoj	prononco
level	ĝi	BT	it	grupo	alternativoj	prononco
level	oni	biri, birisi, birisi	one, someone, somebody	grupo	alternativoj	prononco
level	ni	biz, biz	we, us	grupo	alternativoj	prononco
level	si	kendisi	oneself	grupo	alternativoj	prononco
level	mem	kendi kendine	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~'a kadar, ~'a kadar	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	~	of ~	grupo	alternativoj	prononco
level	da ~	(çok) ~, (birçok) ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffix) şey, somut tezahür	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	yakın, yakın, yakında, yakında	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffix) Tekrarlanan eylem, kalıcı eylem	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffix) şimdiki zaman	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffix) geçmiş zaman	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	olmak	to be	grupo	alternativoj	prononco
level	-os	(suffix) gelecek zaman	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) ~'den önce, ~'den önce	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	yapmak, yapmak	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) ayrıca da	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	~'dan sonra	after ~	grupo	alternativoj	prononco
level	mal-	(prefix) zıt	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(suffix) bazı özelliklere sahip bir kişi	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(suffix) dişi	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(suffix) aktif şimdiki zaman, ~ing, ~ing yapan biri	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffix) aktif geçmiş, ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(suffix) aktif gelecek, olacak	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	Ve	and	grupo	alternativoj	prononco
level	aŭ	veya	or	grupo	alternativoj	prononco
level	alta	yüksek, uzun	high, tall	grupo	alternativoj	prononco
level	jes	Evet	yes	grupo	alternativoj	prononco
level	ne	hayır değil	not, no	grupo	alternativoj	prononco
level	tiom	şu kadar, şu kadar, şu kadar	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	iyi	good	grupo	alternativoj	prononco
level	kiom	ne kadar, kaç	how much, how many	grupo	alternativoj	prononco
level	ofte	sık sık	often, frequently	grupo	alternativoj	prononco
level	iom	biraz, biraz, biraz, biraz	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	yeni, roman	new, novel	grupo	alternativoj	prononco
level	-at-	(suffix) pasif şimdiki zaman katılımcısı	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(suffix) pasif geçmiş katılımcı	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(suffix) pasif gelecek katılımcı	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	çok, oldukça, çok	very, quite, very much	grupo	alternativoj	prononco
level	tro	çok, aşırı derecede, çok fazla	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	bununla birlikte, yine de, ama yine de	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Ah! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	bu ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	çünkü ~	because ~	grupo	alternativoj	prononco
level	ĉu	~ olup olmadığı	whether ~	grupo	alternativoj	prononco
level	-ej-	(suffix) yer	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(suffix) kalitenin soyut adı	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	her ikisi de ~	both ~	grupo	alternativoj	prononco
level	tuj	hemen, anında, hemen	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	sanki ~	as if ~	grupo	alternativoj	prononco
level	kiam	Ne zaman	when	grupo	alternativoj	prononco
level	silenti	susmak, susmak	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	asla, hiçbir zaman, hiçbir zaman	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	bu nedenle, yani	therefore, so	grupo	alternativoj	prononco
level	kial	neden, ne için	why, what for	grupo	alternativoj	prononco
level	kvankam	buna rağmen ~, oysa, yine de	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) ~'da	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	Daha	more	grupo	alternativoj	prononco
level	plej	en	most	grupo	alternativoj	prononco
level	diri	söylemek, söylemek	to say, to tell	grupo	alternativoj	prononco
level	ol ~	~'dan daha	than ~	grupo	alternativoj	prononco
level	paroli	konuşmak, konuşmak	to speak, to talk	grupo	alternativoj	prononco
level	kia	ne tür, ne tür	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	böyle, böyle, böyle bir	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	zar zor, zar zor, neredeyse hiç	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	göndermek	to send	grupo	alternativoj	prononco
level	ĵus	sadece (bir dakika önce), şimdi	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(suffix) zorunlu	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	dışarıda ~	outside ~	grupo	alternativoj	prononco
