C.ne content.tsv
Level	Esperanto	ne	en-us	Grupo	Alternativoj	Pronoco
level	doni	दिनको लागि	to give	grupo	alternativoj	prononco
level	mi	म, म	I, me	grupo	alternativoj	prononco
level	vi	तिमी	you	grupo	alternativoj	prononco
level	havi	राख्नु, लगाउनु, बोक्नु, स्वामित्व लिनु	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	उनी	she	grupo	alternativoj	prononco
level	li	उहाँ	he	grupo	alternativoj	prononco
level	ili	तिनीहरू	they	grupo	alternativoj	prononco
level	ĝi	यो	it	grupo	alternativoj	prononco
level	oni	एक, कोही, कोही	one, someone, somebody	grupo	alternativoj	prononco
level	ni	हामी, हामी	we, us	grupo	alternativoj	prononco
level	si	आफैलाई	oneself	grupo	alternativoj	prononco
level	mem	आफैले	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~ सम्म, ~ सम्म	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	को ~	of ~	grupo	alternativoj	prononco
level	da ~	(धेरै) को ~, (धेरै) को ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	<suffix>कुरा, ठोस अभिव्यक्ति	<suffix> thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	नजिक, नजिक, छिट्टै, नजिकै	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	<suffix>दोहोरिने कार्य, स्थायी कार्य	<suffix> repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	<suffix>वर्तमान काल	<suffix> present tense	grupo	alternativoj	prononco
level	-is	<suffix>भूत काल	<suffix> past tense	grupo	alternativoj	prononco
level	esti	हुनु	to be	grupo	alternativoj	prononco
level	-os	<suffix>भविष्य काल	<suffix> future tense	grupo	alternativoj	prononco
level	antaŭ ~	<preposition>अघि ~, अगाडि ~	<preposition> before ~, in front of ~	grupo	alternativoj	prononco
level	fari	बनाउन, गर्न	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	<preposition>पनि, पनि	<preposition> also, too	grupo	alternativoj	prononco
level	post ~	पछि ~	after ~	grupo	alternativoj	prononco
level	mal-	<prefix>विपरीत	<prefix> opposite	grupo	alternativoj	prononco
level	-ul-	<suffix>केहि विशेषता को एक व्यक्ति	<suffix> a person of some trait	grupo	alternativoj	prononco
level	-in-	<suffix>महिला	<suffix> female	grupo	alternativoj	prononco
level	-ant-	<suffix>सक्रिय वर्तमान, ~ing, कोही जो ~ing छ	<suffix> active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	<suffix>सक्रिय विगत, थियो	<suffix> active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	<suffix>सक्रिय भविष्य, हुनेछ	<suffix> active future, will be ~ing	grupo	alternativoj	prononco
