C.fa content.tsv
Level	Esperanto	fa	en-us	Grupo	Alternativoj	Pronoco
level	doni	دادن	to give	grupo	alternativoj	prononco
level	mi	من، من	I, me	grupo	alternativoj	prononco
level	vi	شما	you	grupo	alternativoj	prononco
level	havi	داشتن، پوشیدن، حمل کردن، داشتن	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	او	she	grupo	alternativoj	prononco
level	li	او	he	grupo	alternativoj	prononco
level	ili	آنها	they	grupo	alternativoj	prononco
level	ĝi	آی تی	it	grupo	alternativoj	prononco
level	oni	یکی، کسی، کسی	one, someone, somebody	grupo	alternativoj	prononco
level	ni	ما، ما	we, us	grupo	alternativoj	prononco
level	si	خود	oneself	grupo	alternativoj	prononco
level	mem	توسط خود	by oneself	grupo	alternativoj	prononco
level	ĝis ~	تا ~، تا ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	از ~	of ~	grupo	alternativoj	prononco
level	da ~	(بسیار) از ~، (بسیاری) از ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffix) چیز، تجلی ملموس	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	نزدیک، نزدیک، به زودی، نزدیک	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffix) عمل تکراری، عمل پایدار	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffix) زمان حال	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffix) زمان گذشته	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	بودن	to be	grupo	alternativoj	prononco
level	-os	(suffix) زمان آینده	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) قبل از ~، در مقابل ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	ساختن، انجام دادن	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) همینطور	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	بعد از ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefix) مقابل	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(suffix) فردی با برخی ویژگی ها	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(suffix) زن	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(suffix) حال حاضر فعال است، کسی است که در حال ~ شدن است	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffix) گذشته فعال، بود	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(suffix) آینده فعال، خواهد بود	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	و	and	grupo	alternativoj	prononco
level	aŭ	یا	or	grupo	alternativoj	prononco
level	alta	بلند، بلند	high, tall	grupo	alternativoj	prononco
level	jes	آره	yes	grupo	alternativoj	prononco
level	ne	نه، نه	not, no	grupo	alternativoj	prononco
level	tiom	آن مقدار، آن مقدار، آن مقدار	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	خوب	good	grupo	alternativoj	prononco
level	kiom	چقدر، چند	how much, how many	grupo	alternativoj	prononco
level	ofte	اغلب، مکرر	often, frequently	grupo	alternativoj	prononco
level	iom	کمی، بلکه، مقداری، تا حدودی	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	جدید، رمان	new, novel	grupo	alternativoj	prononco
level	-at-	(suffix) فعل مفعول	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(suffix) فعل مفعول	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(suffix) مفعول آینده	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	خیلی خیلی خیلی خیلی	very, quite, very much	grupo	alternativoj	prononco
level	tro	بیش از حد، بیش از حد، بیش از حد	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	با این حال، با این وجود، اما، با این وجود	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	اوه! هو!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	که ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	چون ~	because ~	grupo	alternativoj	prononco
level	ĉu	چه ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(suffix) محل	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(suffix) نام انتزاعی کیفیت	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	هر دو ~	both ~	grupo	alternativoj	prononco
level	tuj	بلافاصله، فورا، فورا	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	انگار ~	as if ~	grupo	alternativoj	prononco
level	kiam	چه زمانی	when	grupo	alternativoj	prononco
level	silenti	ساکت بودن، ساکت بودن	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	هرگز، در هیچ زمانی، هرگز	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	بنابراین، بنابراین	therefore, so	grupo	alternativoj	prononco
level	kial	چرا، برای چه	why, what for	grupo	alternativoj	prononco
level	kvankam	اگرچه ~، در حالی که، هر چند	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) در ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	بیشتر	more	grupo	alternativoj	prononco
level	plej	اکثر	most	grupo	alternativoj	prononco
level	diri	گفتن، گفتن	to say, to tell	grupo	alternativoj	prononco
level	ol ~	از ~	than ~	grupo	alternativoj	prononco
level	paroli	صحبت کردن، صحبت کردن	to speak, to talk	grupo	alternativoj	prononco
level	kia	چه نوع، چه نوع	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	چنین، آن نوع، چنین	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	به سختی، به سختی، به سختی	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	فرستادن	to send	grupo	alternativoj	prononco
level	ĵus	همین الان (یک لحظه پیش)، همین الان	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(suffix) امری ضروری	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	بیرون ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefix) هر دو جنس، هر دو جنس	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(suffix) خواهد، باید، فرعی	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	به زودی	soon	grupo	alternativoj	prononco
level	almenaŭ	حداقل، اگر هیچ چیز دیگری	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	از بین بردن	dis-	grupo	alternativoj	prononco
level	-uj-	(suffix) ظرف؛ کشور	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	برای یادگیری	to learn	grupo	alternativoj	prononco
level	ek-	(prefix) شروع شروع ناگهانی	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	اگر، به شرطی که	if, provided that	grupo	alternativoj	prononco
level	eĉ	زوج	even	grupo	alternativoj	prononco
level	amo	یک عشق	a love	grupo	alternativoj	prononco
level	jam	در حال حاضر، خیلی زود، از هم اکنون	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	اینجا! لو! ببین	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	به پایان رساندن، به پایان رساندن، پایان دادن به	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	بنابراین، پس، بنابراین	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~هرگز، (چه)هرگز، در همه، -هرگز	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	آسان، آسان	easy, facile	grupo	alternativoj	prononco
level	re-	(prefix) دوباره	(prefix)  re-	grupo	alternativoj	prononco
level	granda	بزرگ، بزرگ، بزرگ	big, great, large	grupo	alternativoj	prononco
level	-ist-	(suffix) حرفه ای	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) به دلیل ~، به دلیل ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(suffix) رهبر، رئیس، رئیس، رئیس	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	چی	what	grupo	alternativoj	prononco
level	manĝi	برای خوردن	to eat	grupo	alternativoj	prononco
level	nenio	هیچ چیز، هیچ، هیچ چیز	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	جوان	young	grupo	alternativoj	prononco
level	ĉio	همه چيز	everything	grupo	alternativoj	prononco
level	riĉa	ثروتمند، ثروتمند، ثروتمند	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	آن چیز، آن	that thing, that	grupo	alternativoj	prononco
level	konstrui	ساختن، ساختن	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefix) رئیس، پیشرو، اصلی	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposition) بدون ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposition) با ~ (با هم)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
