B.bn content.tsv
Level	Esperanto	bn	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	হ্যালো!	hello!	grupo	alternativoj	prononco
level	mi estas ~	আমি ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	তুমি কে?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	আমার নাম ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	আমি আনন্দিত	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	আমিও খুশি	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	প্রায়ই আসে	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	এই নাচের জায়গায়	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	আপনি কি প্রায়ই এই নাচের জায়গায় আসেন?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	না তুমি কি?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	আমিও না	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ একটি আকর্ষণীয় নাম	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	তাই কি?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	তাই না?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	কোন পথে?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~ এর সাথে সম্পর্কিত	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	এটি এস্পেরান্তোর সাথে সম্পর্কিত।	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	কি?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	আমি ভালো করে শুনিনি	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ খুব জোরে	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	সংগীত খুব উচ্চস্বরে বাজছে	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	আমি বললাম ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	আমি বলেছিলাম যে আপনার নাম এস্পেরান্তোর সাথে সম্পর্কিত	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	সত্যিই?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	আমার জন্য একটি খবর	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	এটা আমার জন্য একটি খবর	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	আপনি কি ~ সম্পর্কে শুনেছেন?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	আপনি কি এস্পেরান্তো সম্পর্কে শুনেছেন?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	আমি যে ~ জানতাম না	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	কিন্তু আমি জানতাম না যে আমার নাম এর সাথে সম্পর্কিত	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	আসলে	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	কেমন আছে ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	সম্পর্ক কেমন?	how is the relation?	grupo	alternativoj	prononco
level	ho!	উহু!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	এটি একটি দীর্ঘ গল্প	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	তোমাকে বলব	will tell you	grupo	alternativoj	prononco
level	se vi volas	তুমি যদি চাও	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	তুমি চাইলে পরে বলবো	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	এই জায়গায় (এই জায়গায়)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	খুব গোলমাল	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	এই জায়গায়, খুব বেশি শব্দ হচ্ছে	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	হ্যাঁ আপনি ঠিক	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	আমরা কি নাচতে পারি?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	ভাল ধারণা!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	একটি সুন্দর সন্ধ্যার জন্য আপনাকে ধন্যবাদ	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	আপনাকে ধন্যবাদ)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	এটা খুব ভাল ছিল	it was very good	grupo	alternativoj	prononco
