A.pl content.tsv
Level	Esperanto	pl	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Ja Ty	I, you	grupo	alternativoj	prononco
level	estas, estis	(obecny) jest, jestem, są (w przeszłości) był, był	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Jestem ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	jesteś ~	you are ~	grupo	alternativoj	prononco
level	saluton	Witam	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	cześć, jestem ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	mój, twój	my, your	grupo	alternativoj	prononco
level	nomo	imię	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	moje imię, twoje imię	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	nazywam się ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	masz na imię ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(obecnie) tak, (przeszłość) tak	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(obecność) była, była (przyszłość) będzie	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	imię, (obiektywne) imię	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	Moja miłość	my love	grupo	alternativoj	prononco
level	vi fartas	robisz ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	Jak	how	grupo	alternativoj	prononco
level	kiel vi fartas?	Jak się masz?	how are you doing?	grupo	alternativoj	prononco
level	kio	Co	what	grupo	alternativoj	prononco
level	kio estas via nomo?	jak masz na imię?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	dobrze, cóż	good, well	grupo	alternativoj	prononco
level	fartas bone	ma się dobrze	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	czuję się dobrze	I am doing well	grupo	alternativoj	prononco
level	kaj	I	and	grupo	alternativoj	prononco
level	bone, kaj vi?	W porządku a ty?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	aż ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(obecnie) widzi, (w przeszłości) widział	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(w przeszłości) widziałem, (w przeszłości) widziałem ponownie	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	widziałem ponownie, zobaczę ponownie	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	ponowne widzenie, ponowne widzenie (obiektyw)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	do zobaczenia!	see you again!	grupo	alternativoj	prononco
level	dankon	Dziękuję	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	dziękuję i do zobaczenia ponownie!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	do ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	do ciebie, do mnie	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(obecnie) dzięki, (w przeszłości) podziękowano	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Doceniam cię	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	tak nie	yes, no	grupo	alternativoj	prononco
level	jes, dankon	tak, dziękuję	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	je, będzie jadł	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	nie jem	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	nie, nie jem	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	pięknie, pięknie	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	warto (koniec)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	godne podziwu, warto podziękować	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	całość, jako całość	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	wszystko, (obiektywnie) wszystko	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	wcale, nie ma za co	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	całkowicie nie	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	przebaczyć, przebaczenie	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	dla mnie przebaczenie	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Przepraszam! (przepraszam)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Przepraszam, proszę	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	dzień dobry	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Dzień dobry	good morning	grupo	alternativoj	prononco
level	bonan nokton	Dobranoc	good night	grupo	alternativoj	prononco
level	bonan sonĝon	słodki sen	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(życzę) udanej podróży, Tobie	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	dobry dzień!	good day!	grupo	alternativoj	prononco
level	ĉu ~	czy to ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	wszystko dobrze? (Jak się masz?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	tak, w porządku	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	nie, wcale	no, not at all	grupo	alternativoj	prononco
level	tre, tro	bardzo, za dużo	very, too much	grupo	alternativoj	prononco
level	granda, grande	duże, w dużej mierze	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	bardzo duży, za duży	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	radzisz sobie bardzo dobrze	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	niezbyt dobrze	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	uczyć się, uczyć się	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	patrzy, widz	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	uczy się, uczeń (osoba ucząca się)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	to -ing, osoba, która robi	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	uczeń, osoba, która się nauczyła	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Jestem studentem.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ jest moim przyjacielem	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	on ona	he, she	grupo	alternativoj	prononco
level	sidi, sidas	siedzieć, siedzieć	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	siedzi, siedzi i będzie siedział	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	on siedzi, a ona się uczy	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	pokój	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	uczy się w pokoju	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	student i sportowiec	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sport i sportowiec	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	sportowiec uprawia sport	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	on jest studentem	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	jest studentem i sportowcem	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	teraz siedzi	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	i teraz się uczy	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	siedzi i się uczy	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	teraz w pokoju	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	jest na stole	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	papier i papiery	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	stół i stoły	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	książka i książki	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	papiery i książki	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	jest na stole.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	pisze na biurku	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	książki są ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	na stole	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	podręcznik i podręczniki	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	na stole jest ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	ojciec i matka	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	ojciec i matka	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	matka mojego przyjaciela	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	w pokoju	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	nie ma go w pokoju	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	teraz pracują	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	jego ojciec jest pracownikiem	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	pracuje w hotelu	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	uczy matka	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ona jest nauczycielką	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	czy ona jest matką?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	nie, ona jest hotelarką	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	nie, nie pracuję	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	jak ona ma na imię?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	kto teraz odpowiada?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	język ich matki	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	masz na imię ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	siedzimy i odpowiadamy	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	jej krzesło robocze	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	jego nazwa nie jest ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	jej język jest ich językiem	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	nasz ojciec i matka	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	twój uczeń, twoi uczniowie	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	czy to twoi uczniowie?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	jesteś studentem?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	jesteś w pokoju?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Nie jestem ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	esperantystka i esperantystka	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	zameldował się w pokoju hotelowym	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	lingwistka i pracownica	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	jego przyjaciółką jest ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	studenci i sportowcy	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	moje nazwisko to ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	kim ona jest? która ona jest?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	to Twoja dziewczyna	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	jest twoim przyjacielem ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	pisze teraz w pokoju	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	jest przyjacielem twojego ojca ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	pracuje w hotelu	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	co jest na stole?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	na stole w naszym pokoju	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	jest podręcznikiem do esperanta ~?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	jest na twoim stole	is on your table	grupo	alternativoj	prononco
level	havas amikinon	ma przyjaciela	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	ma na imię ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	młody i piękny	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	jest młoda i piękna	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	młodzi i piękni przyjaciele	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	są przyjaciółmi płci męskiej i żeńskiej	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	dom jej nauczyciela	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	przyszedł do domu	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	dom ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	proszę wejdź	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	cześć co robisz?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	co robisz? Co robisz?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	ale teraz chcę ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	chcę mówić	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	z trzema przyjaciółmi płci męskiej i żeńskiej	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	rozmawiałem z tobą	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	chce z tobą porozmawiać	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	czy masz przyjaciół płci męskiej i żeńskiej	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	on ma książkę	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	ma dobrą książkę	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	tak, mam	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	oni to lubią	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	ona czyta książkę	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	lubi czytać książki	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	tylko dobra książka	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	wiele dobrych książek	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	czytaj tylko dobre książki	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	lubi czytać dobre książki	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	chcesz przeczytać?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	chłopak pił kawę	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	chce się napić wody	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	ojciec i matka; rodzice	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	kłopot i siostra, rodzeństwo	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	twoi rodzice i rodzeństwo	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	jest w twoim domu	is in your home	grupo	alternativoj	prononco
level	jen la kafo	oto kawa	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	jeszcze nie piłem	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	jest jeszcze ciepły	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	ugotowane wczoraj	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Teraz gotowałem	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Dziękuję. więc powiedział.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	można pić i jeść	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	pił zimną kawę	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	jeszcze ciepłą kawę	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	pije też zimną kawę	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	można też pić zimną kawę	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	patrzy jej w oczy	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	najpiękniejsze oko	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	piękne oczy	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	spojrzał pięknymi oczami	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	jej piękne oczy	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	widzi i rozumie	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Widzę to ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	że ją kocha	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	czuje, że on ją kocha	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	pyta, czy to było duże	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	o łatwym pytaniu	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	powiedział o nowych pieniądzach	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	bardzo piękne oczy	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	wyglądał jak starszy brat	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	młodsza siostra o tym zapomniała	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	biernik (cel)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	nie zapomnij o końcówce biernika	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	z kim się widzisz? który widzisz?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Widzę przyjaciela	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	ma dobrych przyjaciół płci męskiej i żeńskiej	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	pracują nad starym domem	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	działa, pracowało, będzie działać	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	widzi, że jem	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	powiedział, że pojedzie	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	brzydkie i złe	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	co ona powiedziała?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	na co czekasz?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	wszedł do pokoju	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	treść jest bardzo trudna	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	przybył na spotkanie	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	zapraszamy na spotkanie	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	starzec dał napiwek	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	przybył i został powitany	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	nienawidzą, ale współpracują	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	pojechał do hotelu	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	ma łatwe podręczniki	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	jak się miała twoja matka?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	twój stary dom	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	jakie książki przeczytałeś?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	czy były dobre?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	co wczoraj zrobiłeś?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	w małym pokoju	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	mówił bardzo długo	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	przed szkołą, przed szkołą	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	przemawiał przed szkołą	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	później mówiłem o książce	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	chętnie poszedłem do szkoły	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	przez ulicę	through the street	grupo	alternativoj	prononco
level	iris tra la strato	przeszedł ulicą	went through the street	grupo	alternativoj	prononco
level	estis varma tago	był ciepły dzień	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	widzieli kawiarnię	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	widziałem czerwone ciasteczka	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	widziałem w nim ciasteczka	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	widziałem kawiarnię, a w niej ciasteczka	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	wejdź i zjedz!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	wejdźmy i zjedzmy	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	ma wystarczającą ilość pieniędzy	has sufficient money	grupo	alternativoj	prononco
