A.es content.tsv
Level	Esperanto	es	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Yo ... tú	I, you	grupo	alternativoj	prononco
level	estas, estis	(presente) es, soy, son (pasado) era, eran	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	yo soy ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	tu eres ~	you are ~	grupo	alternativoj	prononco
level	saluton	Hola	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	hola soy ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	mio tuyo	my, your	grupo	alternativoj	prononco
level	nomo	un nombre	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mi nombre, tu nombre	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	mi nombre es ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	tu nombre es ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(presente) hace, (pasado) hizo	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(presente) fue, fueron (futuro) será	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	un nombre, un nombre (objetivo)	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	mi amor	my love	grupo	alternativoj	prononco
level	vi fartas	estás haciendo ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	cómo	how	grupo	alternativoj	prononco
level	kiel vi fartas?	¿Cómo estás?	how are you doing?	grupo	alternativoj	prononco
level	kio	qué	what	grupo	alternativoj	prononco
level	kio estas via nomo?	¿cómo te llamas?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	Bien bien	good, well	grupo	alternativoj	prononco
level	fartas bone	lo está haciendo bien	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	lo estoy haciendo bien	I am doing well	grupo	alternativoj	prononco
level	kaj	y	and	grupo	alternativoj	prononco
level	bone, kaj vi?	¿bien, y usted?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	hasta ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(presente) ve, (pasado) vio	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(pasado) vio, (pasado) vio de nuevo	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	vi de nuevo, volveré a ver	saw again, will see again	grupo	alternativoj	prononco
