A.fa content.tsv
Level	Esperanto	fa	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	من ... شما	I, you	grupo	alternativoj	prononco
level	estas, estis	(حال) است، هستم، هستند (گذشته) بود، بودند	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	من هستم ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	تو هستی ~	you are ~	grupo	alternativoj	prononco
level	saluton	سلام	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	سلام من هستم ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	من، تو	my, your	grupo	alternativoj	prononco
level	nomo	یک نام	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	نام من، نام تو	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	نام من ~ است	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	نام شما ~ است	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(حال) انجام می دهد، (گذشته) انجام می دهد	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(حال) بود، بودند (آینده) خواهد بود	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	یک نام، یک نام (عینی).	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	عشق من	my love	grupo	alternativoj	prononco
level	vi fartas	شما انجام می دهید ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	چگونه	how	grupo	alternativoj	prononco
level	kiel vi fartas?	حال شما چطور است؟	how are you doing?	grupo	alternativoj	prononco
level	kio	چی	what	grupo	alternativoj	prononco
level	kio estas via nomo?	اسم شما چیست؟	what is your name?	grupo	alternativoj	prononco
level	bona, bone	خوب، خوب	good, well	grupo	alternativoj	prononco
level	fartas bone	به خوبی انجام می دهد	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	حالم خوبه	I am doing well	grupo	alternativoj	prononco
level	kaj	و	and	grupo	alternativoj	prononco
level	bone, kaj vi?	خوب، و شما؟	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	تا ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(حال) می بیند، (گذشته) می بیند	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(گذشته) دید، (گذشته) دوباره دید	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	دوباره دیدم، دوباره خواهم دید	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	دوباره دیدن، دوباره دیدن (هدف)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	دوباره می بینمت!	see you again!	grupo	alternativoj	prononco
level	dankon	متشکرم	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	متشکرم و دوباره می بینمت!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	به ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	به تو، به من	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(حال) سپاس، (گذشته) سپاسگزار	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	من از شما قدردانی می کنم	I appreciate to you	grupo	alternativoj	prononco
