A.cs content.tsv
Level	Esperanto	cs	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	já, ty	I, you	grupo	alternativoj	prononco
level	estas, estis	(přítomný) je, jsem, jsou (minulý) byl, byl	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Já jsem ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	jsi ~	you are ~	grupo	alternativoj	prononco
level	saluton	Ahoj	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	ahoj já jsem ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	moje tvoje	my, your	grupo	alternativoj	prononco
level	nomo	jméno	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mé jméno, vaše jméno	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	jmenuji se ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	vaše jméno je ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(přítomný) dělá, (minulý) dělal	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(současnost) byla, byla (budoucí) bude	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	jméno, (objektivní) jméno	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	moje láska	my love	grupo	alternativoj	prononco
level	vi fartas	děláš ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	jak	how	grupo	alternativoj	prononco
level	kiel vi fartas?	jak se máš?	how are you doing?	grupo	alternativoj	prononco
level	kio	co	what	grupo	alternativoj	prononco
level	kio estas via nomo?	jak se jmenuješ?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	velmi dobře	good, well	grupo	alternativoj	prononco
level	fartas bone	se daří dobře	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	Já jsem na tom dobře	I am doing well	grupo	alternativoj	prononco
level	kaj	a	and	grupo	alternativoj	prononco
level	bone, kaj vi?	dobře a ty?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	až ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(přítomný) vidí, (minulý) viděl	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(minulý) viděl, (minulý) zase viděl	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	viděl znovu, znovu uvidí	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	vidět-znovu, vidět-znovu (cíl)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	uvidíme se znova!	see you again!	grupo	alternativoj	prononco
level	dankon	Děkuji	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	děkuji a zase se uvidíme!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	do ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	tobě, mně	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(současnost) díky, (minulost) poděkoval	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Vážím si vás	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	Ano ne	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ano, děkuji	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	jí, bude jíst	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	nejím	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	ne, nejím	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	krásné, krásné	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	stojí za to (konec)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	ocenitelné, stojí za to poděkovat	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	celek, jako celek	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	vše, (objektivní) vše	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	vůbec ne, nemáš zač	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	úplně ne	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	odpustit, odpuštění	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	pro mě odpuštění	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Omlouvám se! (omluvte mě)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Omlouvám se, prosím	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	dobré ráno	a good morning	grupo	alternativoj	prononco
level	bonan matenon	dobré ráno	good morning	grupo	alternativoj	prononco
level	bonan nokton	dobrou noc	good night	grupo	alternativoj	prononco
level	bonan sonĝon	sladký sen	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	šťastnou cestu k vám	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	dobrý den!	good day!	grupo	alternativoj	prononco
level	ĉu ~	je to ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	daří se ti dobře? (jak se máte?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Ano jsem v pohodě	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	vůbec ne	no, not at all	grupo	alternativoj	prononco
level	tre, tro	moc, moc	very, too much	grupo	alternativoj	prononco
level	granda, grande	velký, z velké části	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	velmi dobré, příliš velké	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	jde ti to velmi dobře	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	ne moc dobře	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	učit se, učení	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	se dívá, divák	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	učí se, student (učící se člověk)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	je -ing, člověk, který dělá	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	student, člověk, který se naučil	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Jsem student.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ je můj přítel	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	on ona	he, she	grupo	alternativoj	prononco
level	sidi, sidas	sedět, sedět	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	sedí, seděl, bude sedět	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	on sedí a ona se učí	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	pokoj	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	učí se v místnosti	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	student a sportovec	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sport a sportovec	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	sportovec sportuje	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	on je student	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	je student a sportovec	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	nyní sedí	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	a teď se učí	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	sedí a učí se	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	nyní v místnosti	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	je na stole	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	papír a papíry	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	stůl a stoly	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	kniha a knihy	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	papíry a knihy	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	je to na stole.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	píše na psací stůl	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	knihy jsou ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	na stole	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	učebnici a učebnice	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	na stole je ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	otec a matka	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	otec a matka	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	matka mého přítele	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	v pokoji	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	není v místnosti	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	nyní pracují	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	jeho otec je dělník	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	pracuje v hotelu	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	matka učí	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ona je učitelkou	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	je matka?	is she a mother?	grupo	alternativoj	prononco
