A.no content.tsv
Level	Esperanto	no	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Jeg du	I, you	grupo	alternativoj	prononco
level	estas, estis	(nåtid) er, er, er (fortid) var, var	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	jeg er ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	du er ~	you are ~	grupo	alternativoj	prononco
level	saluton	Hallo	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	hei, jeg er ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	min din	my, your	grupo	alternativoj	prononco
level	nomo	et navn	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mitt navn, ditt navn	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	jeg heter ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	navnet ditt er ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(nåtid) gjør, (fortid) gjorde	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(nåværende) var, var (fremtiden) vil være	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	et navn, et (objektivt) navn	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	min kjærlighet	my love	grupo	alternativoj	prononco
level	vi fartas	du gjør ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	hvordan	how	grupo	alternativoj	prononco
level	kiel vi fartas?	hvordan går det?	how are you doing?	grupo	alternativoj	prononco
level	kio	hva	what	grupo	alternativoj	prononco
level	kio estas via nomo?	hva heter du?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	bra, vel	good, well	grupo	alternativoj	prononco
level	fartas bone	har det bra	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	Jeg har det bra	I am doing well	grupo	alternativoj	prononco
level	kaj	og	and	grupo	alternativoj	prononco
level	bone, kaj vi?	bra og du?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	til ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(nåtid) ser, (fortid) så	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(fortid) så, (fortid) så igjen	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	så igjen, vil se igjen	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	se-igjen, se-igjen (objektiv)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	ser deg igjen!	see you again!	grupo	alternativoj	prononco
level	dankon	Takk skal du ha	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	takk og se deg igjen!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	til ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	til deg, til meg	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(nåtid) takk, (fortid) takket	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Jeg setter pris på deg	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	Ja Nei	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ja, takk for deg	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	spiser, vil spise	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	Jeg spiser ikke	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	nei, jeg spiser ikke	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	vakkert, vakkert	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	verdt (avslutning)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	prisverdig, verdt å takke	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	helhet, som en helhet	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	alle, (objektive) alle	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	ikke i det hele tatt, du er velkommen	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	helt nei	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	å tilgi, en tilgivende	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	en tilgivende for meg	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Beklager! (unnskyld meg)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Jeg beklager, vær så snill	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	en god morgen	a good morning	grupo	alternativoj	prononco
level	bonan matenon	god morgen	good morning	grupo	alternativoj	prononco
level	bonan nokton	god natt	good night	grupo	alternativoj	prononco
level	bonan sonĝon	drøm søtt	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(ha) en god tur, til deg	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	god dag!	good day!	grupo	alternativoj	prononco
level	ĉu ~	er det ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	har du det bra? (hvordan har du det?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Ja jeg har det bra	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	Nei ikke i det hele tatt	no, not at all	grupo	alternativoj	prononco
level	tre, tro	veldig, for mye	very, too much	grupo	alternativoj	prononco
level	granda, grande	stort, stort sett	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	veldig bra, for stor	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	du har det veldig bra	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	ikke veldig bra	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	å lære, en læring	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	ser, en tilskuer	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	er læring, en student (en lærende person)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	er -ing, en person som gjør	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	en student, en person som har lært	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Jeg er en student.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ er min venn	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	han hun	he, she	grupo	alternativoj	prononco
level	sidi, sidas	å sitte, sitter	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	sitter, ble sittende, skal sitte	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	han sitter og hun lærer	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	et rom	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	lærer i et rom	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	en student og en idrettsmann	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sport og en idrettsmann	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	en idrettsmann driver med idrett	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	han er en student	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	han er student og idrettsmann	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	han sitter nå	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	og lærer nå	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	sitter og lærer	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	nå i et rom	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	er på et bord	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	et papir og papirer	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	et bord og bord	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	en bok og bøker	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	papirene og bøkene	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	den ligger på et bord.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	skriver på et skrivebord	is writing on a writing table	grupo	alternativoj	prononco
