C.sl content.tsv
Level	Esperanto	sl	en-us	Grupo	Alternativoj	Pronoco
level	doni	dati	to give	grupo	alternativoj	prononco
level	mi	Jaz mene	I, me	grupo	alternativoj	prononco
level	vi	ti	you	grupo	alternativoj	prononco
level	havi	imeti, nositi, nositi, imeti	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ona	she	grupo	alternativoj	prononco
level	li	on	he	grupo	alternativoj	prononco
level	ili	oni	they	grupo	alternativoj	prononco
level	ĝi	to	it	grupo	alternativoj	prononco
level	oni	eden, nekdo, nekdo	one, someone, somebody	grupo	alternativoj	prononco
level	ni	mi, mi	we, us	grupo	alternativoj	prononco
level	si	sebe	oneself	grupo	alternativoj	prononco
level	mem	sam od sebe	by oneself	grupo	alternativoj	prononco
level	ĝis ~	do ~, dokler ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	od ~	of ~	grupo	alternativoj	prononco
level	da ~	(veliko) od ~, (veliko) od ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(končnica) stvar, konkretna manifestacija	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	near, close to, soon, nearby	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(končnica) ponavljajoče se dejanje, trajno dejanje	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(pripona) sedanjik	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(pripona) preteklik	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	biti	to be	grupo	alternativoj	prononco
level	-os	(pripona) prihodnjik	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(predlog) pred ~, pred ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	narediti, narediti	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(predlog) tudi, preveč	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	po ~	after ~	grupo	alternativoj	prononco
level	mal-	(predpona) nasprotje	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(končnica) oseba kakšne lastnosti	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(pripona) ženski	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(končnica) aktivni sedanjik, je ~ing, nekdo, ki je ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(končnica) dejavni preteklik, was ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(pripona) aktivni prihodnjik, bo ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	in	and	grupo	alternativoj	prononco
level	aŭ	oz	or	grupo	alternativoj	prononco
level	alta	visok, visok	high, tall	grupo	alternativoj	prononco
level	jes	ja	yes	grupo	alternativoj	prononco
level	ne	ne, ne	not, no	grupo	alternativoj	prononco
level	tiom	toliko, tak znesek, tisti znesek	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	dobro	good	grupo	alternativoj	prononco
level	kiom	koliko koliko	how much, how many	grupo	alternativoj	prononco
level	ofte	pogosto, pogosto	often, frequently	grupo	alternativoj	prononco
level	iom	malo, raje, nekaj, nekoliko	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	nov, roman	new, novel	grupo	alternativoj	prononco
level	-at-	(končnica) trpni sedanjik	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(pripona) trpnopretekli deležnik	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(končnica) trpni prihodnjik	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	zelo, precej, zelo veliko	very, quite, very much	grupo	alternativoj	prononco
level	tro	preveč, pretirano, preveč	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	vendar, kljub temu, vendar, kljub temu	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Oh! ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	to ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	ker ~	because ~	grupo	alternativoj	prononco
level	ĉu	ali ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(pripona) mesto	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(pripona) abstraktno ime kvalitete	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	oboje ~	both ~	grupo	alternativoj	prononco
level	tuj	takoj, takoj, takoj	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	kot da ~	as if ~	grupo	alternativoj	prononco
level	kiam	kdaj	when	grupo	alternativoj	prononco
level	silenti	biti tiho, molčati	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	nikoli, nikoli, nikoli	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	torej, tako	therefore, so	grupo	alternativoj	prononco
level	kial	zakaj, zakaj	why, what for	grupo	alternativoj	prononco
level	kvankam	čeprav ~, medtem ko, čeprav	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(predlog) pri ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	več	more	grupo	alternativoj	prononco
level	plej	večina	most	grupo	alternativoj	prononco
level	diri	reči, povedati	to say, to tell	grupo	alternativoj	prononco
level	ol ~	kot ~	than ~	grupo	alternativoj	prononco
level	paroli	govoriti, govoriti	to speak, to talk	grupo	alternativoj	prononco
level	kia	kakšen, kakšen	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	takega, takega, takega	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	komaj, komaj, scarecely	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	poslati	to send	grupo	alternativoj	prononco
level	ĵus	pravkar (trenutek nazaj), pravkar	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(pripona) imperativ	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	zunaj ~	outside ~	grupo	alternativoj	prononco
level	ge-	(predpona) oba spola, oba spola	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(pripona) bi, moral bi, konjunktiv	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	kmalu	soon	grupo	alternativoj	prononco
level	almenaŭ	vsaj če nič drugega	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(pripona) vsebnik; država	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	učiti se	to learn	grupo	alternativoj	prononco
level	ek-	(predpona) začetek; nenaden začetek	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	če pod pogojem, da	if, provided that	grupo	alternativoj	prononco
level	eĉ	celo	even	grupo	alternativoj	prononco
level	amo	ljubezen	a love	grupo	alternativoj	prononco
level	jam	že, tako kmalu, kot zdaj	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Tukaj! Lo! Glej	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	to end, končati, zaključiti	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	tako, potem, torej	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ kdaj, (kar)koli, sploh, -kar koli	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	enostavno, enostavno	easy, facile	grupo	alternativoj	prononco
level	re-	(predpona) ponovno	(prefix)  re-	grupo	alternativoj	prononco
level	granda	velik, velik, velik	big, great, large	grupo	alternativoj	prononco
level	-ist-	(končnica) strokovno	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(predlog) zaradi ~, zaradi ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(pripona) voditelj, šef, vodja, šef	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	kaj	what	grupo	alternativoj	prononco
level	manĝi	jesti	to eat	grupo	alternativoj	prononco
level	nenio	nič, nič, nič	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	mlada	young	grupo	alternativoj	prononco
level	ĉio	vse	everything	grupo	alternativoj	prononco
level	riĉa	bogat, premožen, premožen	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	tista stvar, to	that thing, that	grupo	alternativoj	prononco
level	konstrui	zgraditi, zgraditi	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(predpona) glavni, vodilni, glavni	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(predlog) brez ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(predlog) s ~ (skupaj)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(predlog) razen ~, poleg ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	prijatelj	a friend	grupo	alternativoj	prononco
level	kies	čigav, kateri je, katerega	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(predlog) z ~ (metoda), z ~ (orodje)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	proti ~	against ~	grupo	alternativoj	prononco
level	el ~	iz ~, iz ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	danes	today	grupo	alternativoj	prononco
level	hieraŭ	včeraj	yesterday	grupo	alternativoj	prononco
level	nur	samo, samo, izključno	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	pomagati, pomagati, pomagati	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(prislov) daleč, stran	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	niti, niti	nor, neither	grupo	alternativoj	prononco
level	malamo	sovraštvo	a hate	grupo	alternativoj	prononco
level	preskaŭ	skoraj, skoraj	almost, nearly	grupo	alternativoj	prononco
level	tra ~	skozi ~	through ~	grupo	alternativoj	prononco
level	super	čez, zgoraj	over, above	grupo	alternativoj	prononco
level	trans ~	čez ~, čez ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	no, no, zdaj pa	well, well then, now	grupo	alternativoj	prononco
level	pri ~	približno ~	about ~	grupo	alternativoj	prononco
level	por ~	za ~, da bi za ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	jutri	tomorrow	grupo	alternativoj	prononco
level	nun	zdaj, trenutno	now, at present	grupo	alternativoj	prononco
level	laŭ ~	glede na ~, ob ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	vsak, vsak, vsi, vsi	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	kdo, kateri, kateri	who, which, which one	grupo	alternativoj	prononco
level	tiu	ta oseba, tisti ~, tisti, tamle	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	nekdo, nekdo, nekaj	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	nobody, nobody, nobody	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	do ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(pripona) ~sposoben	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	upati	to hope	grupo	alternativoj	prononco
level	unu	eno	one	grupo	alternativoj	prononco
level	du	dva	two	grupo	alternativoj	prononco
level	tri	tri	three	grupo	alternativoj	prononco
level	kvar	štiri	four	grupo	alternativoj	prononco
level	kvin	pet	five	grupo	alternativoj	prononco
level	ses	šest	six	grupo	alternativoj	prononco
level	sep	sedem	seven	grupo	alternativoj	prononco
level	ok	osem	eight	grupo	alternativoj	prononco
level	naŭ	devet	nine	grupo	alternativoj	prononco
level	dek	deset	ten	grupo	alternativoj	prononco
level	cent	sto	a hundred	grupo	alternativoj	prononco
level	mil	tisoč	a thousand	grupo	alternativoj	prononco
level	-obl-	(pripona) za množičnost, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(pripona) ~th, frakcija	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	od ljubezni	of love	grupo	alternativoj	prononco
level	anstataŭ ~	namesto ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(pripona) postati	(suffix)  become	grupo	alternativoj	prononco
level	voli	želeti, hoteti, biti pripravljen	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(pripona) vzrok za postati	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	slediti	to follow	grupo	alternativoj	prononco
level	ĝoje	z veseljem	gladly	grupo	alternativoj	prononco
level	legi	brati	to read	grupo	alternativoj	prononco
level	silenta	tiho	silent	grupo	alternativoj	prononco
level	la	the	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	(pripona) orodje, metoda	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	piti (brezalkoholno)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(pripona) majhen, malo	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(pripona) velik, velik	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(predlog) med ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(pripona) povezano vedenje	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(končnica) sklop, skupina	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(pripona) član skupine	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	zahvaliti se	to thank	grupo	alternativoj	prononco
level	-ind-	(pripona) vreden, vreden	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	še več, dlje in tako naprej, več	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	kako, kot, na kakšen način, kot npr	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	tak, na ta način, tako	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(predlog) v ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(predlog) poleg ~, poleg ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(predlog) pod, pod ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(predlog) na ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(predlog) nedoločnik prip., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(prislov) še vedno, še	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(predlog) okrog ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	ampak	but	grupo	alternativoj	prononco
level	ie	nekje	somewhere	grupo	alternativoj	prononco
level	kie	kje, na katerem mestu	where, at what place	grupo	alternativoj	prononco
level	silente	tiho	silently	grupo	alternativoj	prononco
