B.ur content.tsv
Level	Esperanto	ur	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	ہیلو!	hello!	grupo	alternativoj	prononco
level	mi estas ~	میں ہوں ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	تم کون ہو؟	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	میرا نام ~ ہے۔	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	میں خوش ہوں	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	میں بھی خوش ہوں۔	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	اکثر آتا ہے	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	اس رقص کی جگہ پر	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	کیا آپ اکثر اس ناچنے والی جگہ پر آتے ہیں؟	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	نہیں، کیا آپ؟	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	میں بھی نہیں	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ ایک دلچسپ نام ہے۔	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	کیا یہ ہے؟	is it?	grupo	alternativoj	prononco
level	ĉu ne?	ہے نا	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	کس طرح سے	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~ سے متعلق ہے۔	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	اس کا تعلق ایسپرانٹو سے ہے۔	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	کیا؟	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	میں نے اچھی طرح نہیں سنا	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ بہت بلند ہے۔	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	موسیقی بہت بلند ہے	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	میں نے کہا کہ ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	میں نے کہا کہ آپ کے نام کا تعلق ایسپرانٹو سے ہے۔	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	واقعی؟	really?	grupo	alternativoj	prononco
level	novaĵo por mi	میرے لیے ایک خبر	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	یہ میرے لیے ایک خبر ہے۔	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	کیا آپ نے ~ کے بارے میں سنا ہے؟	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	کیا آپ نے ایسپرانٹو کے بارے میں سنا ہے؟	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	میں یہ نہیں جانتا تھا ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	لیکن میں نہیں جانتا تھا کہ میرا نام اس سے متعلق ہے۔	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	حقیقت میں	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	کیسا ہے ~	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	رشتہ کیسا ہے	how is the relation?	grupo	alternativoj	prononco
level	ho!	اوہ!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	یہ ایک لمبی کہانی ہے	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	آپ کو بتائے گا	will tell you	grupo	alternativoj	prononco
level	se vi volas	اگر آپ چاہیں	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	اگر آپ چاہیں تو میں آپ کو بعد میں بتاؤں گا۔	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	اس جگہ (اس جگہ)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	بہت زیادہ شور	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	اس جگہ بہت زیادہ شور ہے۔	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	ہاں تم صحیح ہو	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	کیا ہم ڈانس کر سکتے ہیں؟	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	اچھا خیال ہے!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	ایک خوشگوار شام کے لیے آپ کا شکریہ	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	آپ کا شکریہ (آپ کا)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	یہ بہت اچھا تھا	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	ایک موسیقی ~ کو خوش کرتی ہے۔	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	موسیقی میرے لئے بہت خوش تھی	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	مجھے بھی	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	رقص بہت مضحکہ خیز ہے	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	آپ کے ساتھ رقص کرنے کے لئے	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	آپ کے ساتھ رقص کرنا بہت مضحکہ خیز تھا۔	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	یہ رہا میرا نام کارڈ	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	اگر تمہیں یہ چاہیئے	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	اگر آپ چاہیں تو میرا کارڈ یہ ہے۔	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	اس پر ~ بھی ہے۔	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	اس پر ایک پتہ بھی ہے۔	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	ایک ویب سائٹ کا پتہ ہے۔	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	ایسپرناٹو کورس والی سائٹ کا پتہ	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	شکریہ	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	میں آپ کو ایک ای میل بھیجوں گا۔	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	ٹھیک ہے!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	دوبارہ ملتے ہیں، اور شب بخیر!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	ملتے ہیں!	see you!	grupo	alternativoj	prononco
level	aperas en ~	~ میں ظاہر ہوتا ہے۔	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	ایک فوری میسنجر	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ فوری میسنجر میں ظاہر ہوتا ہے۔	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	کیا آپ وہ شخص ہیں؟	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	وہ شخص، جس نے میرے ساتھ ڈانس کیا تھا۔	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	ہفتہ کی رات	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	کیا آپ وہ شخص ہیں، جس نے ہفتہ کی رات میرے ساتھ ڈانس کیا؟	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	ہاں یہ میں ہوں	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	میں خوش ہوں کہ ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	مجھے خوشی ہے کہ آپ سائٹ پر آئے ہیں۔	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	کیا یہ آپ کو خوش کرتا ہے؟ (کیا یہ تمھیں اچھا لگتا ہے؟)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	ہاں، ہاں	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	یہ بہت خوبصورت ہے	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	دلچسپ لگتا ہے	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	یہ بہت خوبصورت ہے اور دلچسپ لگتا ہے۔	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ابھی تک نہیں ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	مکمل طور پر تیار نہیں ہے	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	یہ ابھی تک مکمل طور پر تیار نہیں ہے	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	لیکن جلد ہی یہ ہو جائے گا	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	میں سمجھتا ہوں (میں دیکھتا ہوں)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	لیکن پہلے سے ہی مدد کے بہت سے ٹولز موجود ہیں۔	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	ایک لغت	a dictionary	grupo	alternativoj	prononco
level	superrigardo	ایک جائزہ	an overview	grupo	alternativoj	prononco
level	ekzerco	ایک ایکسائز	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	مثال کے طور پر الفاظ، جائزہ، میسنجر اور عمل	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	گرامر کا ایک جائزہ	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	ایک فوری میسنجر اور مختلف مشقیں۔	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	یہ ایک اچھی شروعات ہے۔	it is a good start	grupo	alternativoj	prononco
level	pardonon	مجھے معاف کر دو میں معافی چاہتا ہوں۔	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	مجھے ~ کے ساتھ بات کرنی ہوگی۔	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	کسی دوسرے شخص سے بات کرنا	to speak with another person	grupo	alternativoj	prononco
