C.hi content.tsv
Level	Esperanto	hi	en-us	Grupo	Alternativoj	Pronoco
level	doni	दे देना	to give	grupo	alternativoj	prononco
level	mi	मैं, मैं	I, me	grupo	alternativoj	prononco
level	vi	आप	you	grupo	alternativoj	prononco
level	havi	रखना, पहनना, ले जाना, अपना होना	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	वह	she	grupo	alternativoj	prononco
level	li	वह	he	grupo	alternativoj	prononco
level	ili	वे	they	grupo	alternativoj	prononco
level	ĝi	यह	it	grupo	alternativoj	prononco
level	oni	एक, कोई, कोई	one, someone, somebody	grupo	alternativoj	prononco
level	ni	हम हमें	we, us	grupo	alternativoj	prononco
level	si	स्वयं	oneself	grupo	alternativoj	prononco
level	mem	अपने द्वारा	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~ तक, ~ तक	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	~ का	of ~	grupo	alternativoj	prononco
level	da ~	(बहुत) का ~, (बहुत) का ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	<suffix>वस्तु, ठोस अभिव्यक्ति	<suffix> thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	निकट, निकट, निकट, निकट	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	<suffix>दोहराव वाली कार्रवाई, स्थायी कार्रवाई	<suffix> repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	<suffix>वर्तमान - काल	<suffix> present tense	grupo	alternativoj	prononco
level	-is	<suffix>भूतकाल	<suffix> past tense	grupo	alternativoj	prononco
level	esti	होना	to be	grupo	alternativoj	prononco
level	-os	<suffix>भविष्यकाल	<suffix> future tense	grupo	alternativoj	prononco
level	antaŭ ~	<preposition>~ से पहले, ~ के सामने	<preposition> before ~, in front of ~	grupo	alternativoj	prononco
level	fari	बनाना, करना	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	<preposition>भी भी	<preposition> also, too	grupo	alternativoj	prononco
level	post ~	~ के बाद	after ~	grupo	alternativoj	prononco
level	mal-	<prefix>विलोम	<prefix> opposite	grupo	alternativoj	prononco
level	-ul-	<suffix>किसी विशेष गुण वाला व्यक्ति	<suffix> a person of some trait	grupo	alternativoj	prononco
level	-in-	<suffix>महिला	<suffix> female	grupo	alternativoj	prononco
level	-ant-	<suffix>सक्रिय वर्तमान, ~आईएनजी, कोई है जो ~आईएनजी	<suffix> active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	<suffix>सक्रिय अतीत, ~आईएनजी था	<suffix> active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	<suffix>सक्रिय भविष्य, ~आईएनजी होगा	<suffix> active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	और	and	grupo	alternativoj	prononco
level	aŭ	या	or	grupo	alternativoj	prononco
level	alta	उंचा लंबा	high, tall	grupo	alternativoj	prononco
level	jes	हाँ	yes	grupo	alternativoj	prononco
level	ne	नहीं नहीं	not, no	grupo	alternativoj	prononco
level	tiom	इतना, इतनी रकम, उतनी रकम	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	अच्छा	good	grupo	alternativoj	prononco
level	kiom	कितना कितने	how much, how many	grupo	alternativoj	prononco
level	ofte	प्रायः बारंबार	often, frequently	grupo	alternativoj	prononco
level	iom	थोड़ा, बल्कि, कुछ, कुछ हद तक	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	नया, उपन्यास	new, novel	grupo	alternativoj	prononco
