B.uk content.tsv
Level	Esperanto	uk	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	привіт!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Я ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	хто ти?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	мене звати ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	я радий	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Я теж радий	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	часто приходить	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	до цього танцювального місця	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	ти часто приходиш на це танцювальне місце?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	ні, ти?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	я також	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ цікава назва	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	є це?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	чи не так?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	яким чином?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	пов'язане з ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	це пов'язано з есперанто.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	що?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Я погано чув	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ занадто голосно	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	музика надто голосна	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Я сказав, що ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Я сказав, що ваше ім'я пов'язане з есперанто	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	насправді?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	новина для мене	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	це для мене новина	that's a news for me	grupo	alternativoj	prononco
