B.et content.tsv
Level	Esperanto	et	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Tere!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Olen ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	kes sa oled?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	minu nimi on ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	mul on hea meel	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Mul on ka hea meel	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	sageli tuleb	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	sellesse tantsupaika	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	kas sa käid tihti selles tantsukohas?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	ei, eks?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	mina ka mitte	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ on huvitav nimi	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	Kas see on?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	kas pole?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	millisel moel?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	on seotud ~-ga	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	see on seotud esperantoga.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	mida?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Ma ei kuulnud hästi	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ on liiga vali	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	muusika on liiga vali	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Ma ütlesin, et ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Ütlesin, et su nimi on seotud esperantoga	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	tõesti?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	minu jaoks uudis	a news for me	grupo	alternativoj	prononco
