B.lv content.tsv
Level	Esperanto	lv	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Sveiki!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Es esmu ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	kas tu esi?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	mani sauc ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	ES priecājos	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Es arī priecājos	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	bieži nāk	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	uz šo deju vietu	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	vai tu bieži nāk uz šo deju vietu?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	nē, vai ne?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	man arī nē	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ ir interesants vārds	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	vai tas ir?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	vai ne?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	kādā veidā?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	ir saistīts ar ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	tas ir saistīts ar esperanto valodu.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	kas?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Es slikti dzirdēju	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ ir pārāk skaļš	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	mūzika ir pārāk skaļa	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Es teicu, ka ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Es teicu, ka jūsu vārds ir saistīts ar esperanto valodu	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	tiešām?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	jaunums man	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	tas man ir jaunums	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	vai tu dzirdēji par ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	vai tu dzirdēji par esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
