A.et content.tsv
Level	Esperanto	et	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	mina, sina	I, you	grupo	alternativoj	prononco
level	estas, estis	(olevik) on, olen, on (minevik) oli, olid	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Olen ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	sa oled ~	you are ~	grupo	alternativoj	prononco
level	saluton	Tere	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	tere, ma olen ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	minu sinu	my, your	grupo	alternativoj	prononco
level	nomo	nimi	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	minu nimi, sinu nimi	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	minu nimi on ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	sinu nimi on ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(olevik) teeb, (minevik) tegi	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(olevik) oli, olid (tulevik) on	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	nimi, (objektiivne) nimi	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	mu armastus	my love	grupo	alternativoj	prononco
level	vi fartas	sa teed ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	kuidas	how	grupo	alternativoj	prononco
level	kiel vi fartas?	kuidas sul läheb?	how are you doing?	grupo	alternativoj	prononco
level	kio	mida	what	grupo	alternativoj	prononco
level	kio estas via nomo?	mis su nimi on?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	hästi, hästi	good, well	grupo	alternativoj	prononco
level	fartas bone	läheb hästi	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	mul läheb hästi	I am doing well	grupo	alternativoj	prononco
level	kaj	ja	and	grupo	alternativoj	prononco
level	bone, kaj vi?	hästi, aga sul?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	kuni ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(olevik) näeb, (minevik) nägi	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(minevik) nägi, (minevik) nägi uuesti	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	nägin veel, näen veel	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	uuesti nägemine, uuesti nägemine (eesmärk)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	näeme jälle!	see you again!	grupo	alternativoj	prononco
level	dankon	aitäh	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	tänan ja näeme jälle!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	kuni ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	sulle, mulle	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(olevik) tänas, (minevik) tänas	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Ma hindan sind	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	jah ei	yes, no	grupo	alternativoj	prononco
level	jes, dankon	jah, tänan sind	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	sööb, sööb	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	Ma ei söö	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	ei, ma ei söö	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	ilus, ilus	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	väärt (lõpp)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	tänuväärne, tänamist väärt	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	tervikuna, tervikuna	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	kõik, (objektiivne) kõik	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	üldse mitte, teretulnud	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	täiesti ei	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	andeks andma, andestav	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	mulle andestav	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Mul on kahju! (vabandust)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Palun vabandust	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	tere hommikust	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Tere hommikust	good morning	grupo	alternativoj	prononco
level	bonan nokton	head ööd	good night	grupo	alternativoj	prononco
level	bonan sonĝon	magus uni	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	() head reisi teile	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	head päeva!	good day!	grupo	alternativoj	prononco
level	ĉu ~	kas see on ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	Kas sul läheb hästi? (kuidas sul läheb?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	jah, mul on kõik korras	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	ei, üldse mitte	no, not at all	grupo	alternativoj	prononco
level	tre, tro	väga, liiga palju	very, too much	grupo	alternativoj	prononco
level	granda, grande	suur, suures osas	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	väga hea, liiga suur	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	sul läheb väga hästi	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	mitte eriti hästi	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	õppida, õppimine	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	vaatab, vaataja	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	õpib, õpilane (õppiv inimene)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, isik, kes teeb	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	õpilane, inimene, kes on õppinud	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Ma olen õpilane.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ on mu sõber	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	ta ta	he, she	grupo	alternativoj	prononco
level	sidi, sidas	istuma, istub	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	istub, istus, istub	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	ta istub ja ta õpib	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	tuba	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	õpib toas	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	üliõpilane ja sportlane	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sportlane ja sportlane	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	sportlane tegeleb spordiga	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	ta on üliõpilane	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	ta on üliõpilane ja sportlane	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	ta istub nüüd	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	ja nüüd õpib	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	istub ja õpib	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	nüüd toas	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	on laua peal	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	paber ja paberid	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	laud ja lauad	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	raamat ja raamatud	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	paberid ja raamatud	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	see on laua peal.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	kirjutab kirjutuslauale	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	raamatud on ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	laua peal	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	õpik ja õpikud	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	laual on ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	isa ja ema	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	isa ja ema	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	mu sõbra ema	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	toas	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	ei ole toas	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	nad nüüd töötavad	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	tema isa on tööline	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	ta töötab hotellis	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	ema õpetab	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ta on õpetaja	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	kas ta on ema?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	ei, ta on hotellipidaja	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	ei, ma ei tööta	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	mis on tema nimi?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	kes nüüd vastab?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	nende ema keel	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	kas su nimi on ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	istume ja vastame	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	tema töötool	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	selle nimi ei ole ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	tema keel on nende keel	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	meie isa ja ema	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	teie õpilane, teie õpilased	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	kas nad on sinu õpilased?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	Kas sa oled õpilane?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	kas sa oled toas?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Ma ei ole ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	esperantist ja naissoost esperantist	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	hotellituppa registreerunud	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	keeleteadlane ja naistöötaja	a linguist and a female worker	grupo	alternativoj	prononco
