A.ar content.tsv
Level	Esperanto	ar	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	I لك	I, you	grupo	alternativoj	prononco
level	estas, estis	(الحاضر) هو، أنا، هم (الماضي) كان، كان	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	أنا ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	أنت ~	you are ~	grupo	alternativoj	prononco
level	saluton	مرحبًا	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	مرحباً، أنا ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	بلدي الخاص بك	my, your	grupo	alternativoj	prononco
level	nomo	اسم	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	اسمي، اسمك	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	اسمي ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	اسمك ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(الحاضر) يفعل، (الماضي) يفعل	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(الحاضر) كان، وكان (المستقبل) سيكون	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	اسم، اسم (موضوع).	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	حبيبي	my love	grupo	alternativoj	prononco
level	vi fartas	أنت تفعل ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	كيف	how	grupo	alternativoj	prononco
level	kiel vi fartas?	كيف حالك؟	how are you doing?	grupo	alternativoj	prononco
level	kio	ماذا	what	grupo	alternativoj	prononco
level	kio estas via nomo?	ما اسمك؟	what is your name?	grupo	alternativoj	prononco
level	bona, bone	كذلك جيد	good, well	grupo	alternativoj	prononco
level	fartas bone	في حالة جيدة	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	أنا على ما يرام	I am doing well	grupo	alternativoj	prononco
level	kaj	و	and	grupo	alternativoj	prononco
level	bone, kaj vi?	بخير وأنت؟	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	حتى ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(الحاضر) يرى، (الماضي) رأى	(present) sees, (past) saw	grupo	alternativoj	prononco
