B.pa content.tsv
Level	Esperanto	pa	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	ਸਤ ਸ੍ਰੀ ਅਕਾਲ!	hello!	grupo	alternativoj	prononco
level	mi estas ~	ਮੈਂ ~ ਹਾਂ	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	ਤੂੰ ਕੌਣ ਹੈ?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	ਮੇਰਾ ਨਾਮ ~ ਹੈ	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	ਮੈਂ ਪ੍ਰਸੰਨ ਹਾਂ	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	ਮੈਂ ਵੀ ਖੁਸ਼ ਹਾਂ	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	ਅਕਸਰ ਆਉਂਦਾ ਹੈ	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	ਇਸ ਨੱਚਣ ਵਾਲੀ ਥਾਂ 'ਤੇ	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	ਕੀ ਤੁਸੀਂ ਅਕਸਰ ਇਸ ਨੱਚਣ ਵਾਲੀ ਥਾਂ 'ਤੇ ਆਉਂਦੇ ਹੋ?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	ਨਹੀਂ, ਕੀ ਤੁਸੀਂ?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ਮੈਂ ਵੀ ਨਹੀਂ	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ ਇੱਕ ਦਿਲਚਸਪ ਨਾਮ ਹੈ	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	ਕੀ ਇਹ ਹੈ?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	ਹੈ ਨਾ?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	ਕਿਸ ਤਰੀਕੇ ਨਾਲ?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~ ਨਾਲ ਸਬੰਧਤ ਹੈ	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	ਇਹ ਐਸਪੇਰਾਂਟੋ ਨਾਲ ਸਬੰਧਤ ਹੈ।	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	ਕੀ?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	ਮੈਂ ਚੰਗੀ ਤਰ੍ਹਾਂ ਨਹੀਂ ਸੁਣਿਆ	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ ਬਹੁਤ ਉੱਚੀ ਹੈ	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	ਸੰਗੀਤ ਬਹੁਤ ਉੱਚਾ ਹੈ	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	ਮੈਂ ਕਿਹਾ ਕਿ ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	ਮੈਂ ਕਿਹਾ ਕਿ ਤੁਹਾਡਾ ਨਾਮ ਐਸਪੇਰਾਂਤੋ ਨਾਲ ਸਬੰਧਤ ਹੈ	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	ਸੱਚਮੁੱਚ?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	ਮੇਰੇ ਲਈ ਇੱਕ ਖਬਰ	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	ਇਹ ਮੇਰੇ ਲਈ ਇੱਕ ਖਬਰ ਹੈ	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	ਕੀ ਤੁਸੀਂ ~ ਬਾਰੇ ਸੁਣਿਆ ਹੈ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	ਕੀ ਤੁਸੀਂ ਐਸਪੇਰਾਂਟੋ ਬਾਰੇ ਸੁਣਿਆ ਹੈ?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	ਮੈਨੂੰ ਇਹ ਨਹੀਂ ਪਤਾ ਸੀ ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	ਪਰ ਮੈਨੂੰ ਨਹੀਂ ਪਤਾ ਸੀ ਕਿ ਮੇਰਾ ਨਾਮ ਇਸ ਨਾਲ ਸਬੰਧਤ ਹੈ	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	ਵਾਸਤਵ ਵਿੱਚ	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	ਕਿਵੇਂ ਹੈ ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	ਰਿਸ਼ਤਾ ਕਿਵੇਂ ਹੈ?	how is the relation?	grupo	alternativoj	prononco
level	ho!	ਓਹ!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	ਇਹ ਇੱਕ ਲੰਬੀ ਕਹਾਣੀ ਹੈ	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	ਤੁਹਾਨੂੰ ਦੱਸੇਗਾ	will tell you	grupo	alternativoj	prononco
level	se vi volas	ਜੇਕਰ ਤੁਸੀਂ ਚਾਹੁੰਦੇ ਹੋ	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	ਜੇ ਤੁਸੀਂ ਚਾਹੋ ਤਾਂ ਮੈਂ ਤੁਹਾਨੂੰ ਬਾਅਦ ਵਿਚ ਦੱਸਾਂਗਾ	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	ਇਸ ਸਥਾਨ ਵਿੱਚ (ਇਸ ਸਥਾਨ ਵਿੱਚ)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	ਬਹੁਤ ਜ਼ਿਆਦਾ ਰੌਲਾ	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	ਇਸ ਸਥਾਨ ਵਿੱਚ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਰੌਲਾ ਹੈ	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	ਹਾਂ, ਤੁਸੀਂ ਸਹੀ ਹੋ	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	ਕੀ ਅਸੀਂ ਨੱਚਾਂਗੇ?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	ਚੰਗੇ ਵਿਚਾਰ!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	ਇੱਕ ਸੁਹਾਵਣੀ ਸ਼ਾਮ ਲਈ ਤੁਹਾਡਾ ਧੰਨਵਾਦ	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	ਧੰਨਵਾਦ (ਤੁਹਾਡੇ ਲਈ)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	ਇਹ ਬਹੁਤ ਵਧੀਆ ਸੀ	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	ਇੱਕ ਸੰਗੀਤ ~ ਨੂੰ ਪ੍ਰਸੰਨ ਕਰਦਾ ਹੈ	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	ਸੰਗੀਤ ਮੈਨੂੰ ਬਹੁਤ ਚੰਗਾ ਲੱਗਾ	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	ਮੈਨੂੰ ਵੀ	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	ਡਾਂਸ ਕਰਨਾ ਬਹੁਤ ਮਜ਼ਾਕੀਆ ਹੈ	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	ਤੁਹਾਡੇ ਨਾਲ ਨੱਚਣ ਲਈ	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	ਤੁਹਾਡੇ ਨਾਲ ਨੱਚਣਾ ਬਹੁਤ ਮਜ਼ਾਕੀਆ ਸੀ	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	ਇਹ ਮੇਰਾ ਨਾਮ ਕਾਰਡ ਹੈ	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	ਜੇਕਰ ਤੁਸੀਂ ਇਹ ਚਾਹੁੰਦੇ ਹੋ	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	ਇਹ ਮੇਰਾ ਕਾਰਡ ਹੈ, ਜੇਕਰ ਤੁਸੀਂ ਚਾਹੁੰਦੇ ਹੋ	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	ਇਸ 'ਤੇ ~ ਵੀ ਹੈ	on it there's also ~	grupo	alternativoj	prononco
