A.bg content.tsv
Level	Esperanto	bg	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	аз, ти	I, you	grupo	alternativoj	prononco
level	estas, estis	(настояще) е, съм, са (минало) беше, бяха	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	аз съм ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	ти си ~	you are ~	grupo	alternativoj	prononco
level	saluton	Здравейте	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	здравей, аз съм ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	моя, твоя	my, your	grupo	alternativoj	prononco
level	nomo	име	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	моето име, твоето име	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	моето име е ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	твоето име е ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(настояще) прави, (минало) направи	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(настояще) беше, бяха (бъдеще) ще бъде	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	име, (обективно) име	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	моя любов	my love	grupo	alternativoj	prononco
level	vi fartas	вие правите ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	как	how	grupo	alternativoj	prononco
level	kiel vi fartas?	как си?	how are you doing?	grupo	alternativoj	prononco
level	kio	Какво	what	grupo	alternativoj	prononco
level	kio estas via nomo?	Как се казваш?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	добре, добре	good, well	grupo	alternativoj	prononco
level	fartas bone	се справя добре	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	добре съм	I am doing well	grupo	alternativoj	prononco
level	kaj	и	and	grupo	alternativoj	prononco
level	bone, kaj vi?	добре, а ти?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	докато ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(настояще) вижда, (минало) видях	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(минало) видях, (минало) видях отново	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	видях отново, ще видя отново	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	виждам-отново, виждам-отново (обективно)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	ще се видим отново!	see you again!	grupo	alternativoj	prononco
level	dankon	Благодаря ти	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	благодаря и до нови срещи!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	към ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	на теб, на мен	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(настояще) благодаря, (минало) благодаря	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Оценявам те	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	да не	yes, no	grupo	alternativoj	prononco
level	jes, dankon	да, благодаря ти	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	яде, ще яде	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	аз не ям	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	не, не ям	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	красиво, красиво	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	струва си (край)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	оценено, струва си да благодарим	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	цяло, като цяло	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	всички, (обективни) всички	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	съвсем не, няма за какво	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	напълно не	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	да прощавам, прощаващ	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	прошка за мен	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Съжалявам! (Извинете)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Съжалявам, моля	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	добро утро	a good morning	grupo	alternativoj	prononco
level	bonan matenon	добро утро	good morning	grupo	alternativoj	prononco
level	bonan nokton	лека нощ	good night	grupo	alternativoj	prononco
level	bonan sonĝon	Сладки сънища	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(имам) добро пътуване, за вас	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	добър ден!	good day!	grupo	alternativoj	prononco
level	ĉu ~	дали е ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	Добре ли си? (Как си?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	да добре съм	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	нищо подобно	no, not at all	grupo	alternativoj	prononco
level	tre, tro	много, твърде много	very, too much	grupo	alternativoj	prononco
level	granda, grande	голям, до голяма степен	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	много добър, твърде голям	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	много добре се справяш	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	не много добре	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	да уча, учение	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	гледа, зрител	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	учи се, ученик (учещ човек)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	е -ing, човек, който прави	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	ученик, човек, който се е научил	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Аз съм ученик.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ ми е приятел	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	той Тя	he, she	grupo	alternativoj	prononco
level	sidi, sidas	да седи, седи	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	седи, седеше, ще седи	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	той седи, а тя учи	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	стая	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	учи в стая	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	ученик и спортист	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	спорт и спортист	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	спортистът спортува	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	той е студент	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	той е студент и спортист	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	сега той седи	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	и сега се учи	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	седи и се учи	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	сега в стая	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	е на маса	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	хартия и документи	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	маса и маси	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	книга и книги	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	вестниците и книгите	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	е на маса.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	пише на маса за писане	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	книгите са ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	на масата	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	учебник и учебниците	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	на масата има ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	баща и майка	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	бащата и майката	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	майката на моя приятел	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	в стаята	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	не е в стаята	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	сега работят	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	баща му е работник	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	той работи в хотел	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	майката учи	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	тя е учителка	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	майка ли е	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	не, тя е хотелиер	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	не, не работя	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	какво е нейното име?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	кой отговаря сега?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	езика на майка си	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	твоето име е ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	седим и отговаряме	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	нейния работен стол	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	името му не е ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	нейният език е техният език	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	нашите баща и майка	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	вашият ученик, вашите ученици	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	твои ученици ли са?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	студент ли си?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	в стаята ли си	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Аз не съм ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	есперантист и есперантистка	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	се регистрира за хотелската стая	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	лингвист и работничка	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	приятелката му е ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	студенти и спортисти	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	моето фамилно име е ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	коя е тя? коя е тя	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	е твоя приятелка	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	твой приятел ли е ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	сега пише в стаята	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	е приятелят на баща ти ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	работи в хотел	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	какво има на масата?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	на масата в нашата стая	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	е учебникът по есперанто ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	е на вашата маса	is on your table	grupo	alternativoj	prononco
level	havas amikinon	има приятел	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	нейното име е ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	млад и красив	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	е млада и красива	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	млади и красиви приятели	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	са приятели мъж и жена	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	дом на нейния учител	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	дойде в дома	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	домът на ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	Моля влезте	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Здравей какво правиш?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	какво правиш? какво правиш?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	но сега искам ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	искам да говоря	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	с трима приятели мъж и жена	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	говорих с теб	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	иска да говори с теб	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	имаш ли приятели мъже и жени	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	той има книга	he has a book	grupo	alternativoj	prononco
